location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kayseri","Kayserİ",7,35.5,38.65,5.3455,5.936061,5.9461,6.052641
"Kayseri","Kayserİ",6.5,36.05,39.3,5.8637,6.51151,6.0401,6.147651
"Kayseri","Kayserİ",7,36.4,39.75,4.4617,4.95462,5.7652,5.869671
"Kayseri","Kayserİ",8,35.6,38.1,9.9139,11.00917,6.5907,6.70404
"Kayseri","Kayserİ",6.5,36.5,39.5,3.2684,3.629487,5.4616,5.562662
"Kayseri","Kayserİ",6,36.1,38,.85244,.9466159,4.2682,4.354413
"Kayseri","Kayserİ",8,35.35,39.6,10.934,12.14197,6.6966,6.811026
"Kayseri","Kayserİ",6.5,37.35,39.4,1.8226,2.023957,4.9195,5.014159
"Kayseri","Kayserİ",7.5,37.05,38.95,8.3404,9.261831,6.4063,6.517719
"Kayseri","Kayserİ",6,36.1,39.7,1.2785,1.419746,4.608,4.698732
"Kayseri","Kayserİ",7,37.05,39.05,4.9401,5.485873,5.8667,5.972367
"Kayseri","Kayserİ",7.5,35.95,40.25,5.1703,5.741505,5.9125,6.018643
"Kayseri","Kayserİ",7,35.25,38.55,4.0893,4.541078,5.6791,5.782665
"Kayseri","Kayserİ",7.5,36.45,39.3,13.563,15.06141,6.9332,7.049965
"Kayseri","Kayserİ",8,37.3,39.45,10.062,11.17363,6.6066,6.720172
"Kayseri","Kayserİ",7,34.85,38.25,2.8263,3.138544,5.3234,5.422805
"Kayseri","Kayserİ",6.5,36.25,39.65,2.8095,3.119888,5.3177,5.417116
"Kayseri","Kayserİ",6.5,36.65,39.35,3.5897,3.986283,5.552,5.654082
"Kayseri","Kayserİ",7.5,37.35,39.35,6.305,7.001565,6.1145,6.222794
"Kayseri","Kayserİ",6,37.05,39.75,.84502,.9383762,4.2611,4.347178
"Kayseri","Kayserİ",8,35.1,38.35,9.574,10.63172,6.5532,6.666175
"Kayseri","Kayserİ",7.5,35.25,40,5.2877,5.871875,5.9351,6.041536
"Kayseri","Kayserİ",6,37.6,39.25,.74032,.8221092,4.1541,4.238691
"Kayseri","Kayserİ",7.5,34.7,39.5,5.2286,5.806246,5.9238,6.030069
"Kayseri","Kayserİ",8,36.65,37.95,9.2282,10.24771,6.5138,6.626387
"Kayseri","Kayserİ",7.5,35.95,39.95,6.3935,7.099842,6.1288,6.237292
"Kayseri","Kayserİ",7.5,35.9,40.2,5.3164,5.903746,5.9406,6.047064
"Kayseri","Kayserİ",7,36.55,39.35,7.1186,7.905049,6.24,6.349722
"Kayseri","Kayserİ",8,37,39.05,13.361,14.8371,6.9165,7.033166
"Kayseri","Kayserİ",7.5,36.35,39,27.621,30.67252,7.7488,7.873477
"Kayseri","Kayserİ",6.5,35.85,38.95,7.1817,7.975121,6.2492,6.359012
"Kayseri","Kayserİ",6,37.1,38.5,.9843,1.093044,4.3868,4.474602
"Kayseri","Kayserİ",8,37.3,38.1,8.4892,9.427071,6.425,6.536638
"Kayseri","Kayserİ",6.5,36.45,37.95,1.6904,1.877152,4.8523,4.946064
"Kayseri","Kayserİ",8,36.2,40.2,8.8041,9.77676,6.4637,6.57571
"Kayseri","Kayserİ",7,37.35,38.1,2.7947,3.103453,5.3127,5.412078
"Kayseri","Kayserİ",8,35.25,39.75,9.7491,10.82616,6.5727,6.68583
"Kayseri","Kayserİ",8,36.55,37.95,9.3648,10.39941,6.5295,6.642262
"Kayseri","Kayserİ",6.5,36.1,39.85,2.1465,2.383641,5.0677,5.164149
"Kayseri","Kayserİ",6,36.65,38.25,1.0398,1.154675,4.4326,4.521015
"Kayseri","Kayserİ",7,35.35,38.35,3.8212,4.243359,5.6127,5.715528
"Kayseri","Kayserİ",6.5,36.95,40.1,1.4483,1.608305,4.7161,4.808152
"Kayseri","Kayserİ",6.5,36.7,39.4,3.1963,3.549421,5.4402,5.541051
