location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kilis","KİLİS",6.5,36.4,37,1.995,2.215404,5.0011,5.096684
"Kilis","KİLİS",7,36.55,37.35,3.535,3.92554,5.5371,5.639048
"Kilis","KİLİS",6.5,37.8,36.85,5.7103,6.341163,6.0131,6.120337
"Kilis","KİLİS",8,38.3,37.45,9.8082,10.89179,6.5792,6.692392
"Kilis","KİLİS",7.5,36.8,37.1,8.3951,9.322575,6.4132,6.524709
"Kilis","KİLİS",8,37.95,37.5,10.602,11.77329,6.6631,6.777234
"Kilis","KİLİS",6,39,36.45,.66443,.737835,4.0679,4.151363
"Kilis","KİLİS",6,37.7,36.95,2.9159,3.238043,5.3529,5.452652
"Kilis","KİLİS",6,36.6,36.45,1.2175,1.352007,4.5661,4.656283
"Kilis","KİLİS",7,37.05,36.65,9.3739,10.40951,6.5306,6.643312
"Kilis","KİLİS",7,39.05,36.8,2.826,3.138211,5.3232,5.422704
"Kilis","KİLİS",6.5,37.75,37.75,1.6533,1.835953,4.8326,4.926109
"Kilis","KİLİS",7,39,37.15,2.7486,3.05226,5.2971,5.396234
"Kilis","KİLİS",6.5,36.1,37,1.5922,1.768103,4.7993,4.892367
"Kilis","KİLİS",7,36.8,36.35,5.3672,5.960158,5.9502,6.056782
"Kilis","KİLİS",6.5,36.35,36.15,1.7484,1.94156,4.8823,4.976498
"Kilis","KİLİS",8,36.1,36.95,9.1734,10.18686,6.5075,6.619958
"Kilis","KİLİS",6.5,36.75,36.5,3.0453,3.381739,5.3941,5.494346
"Kilis","KİLİS",8,37.6,37.3,13.548,15.04476,6.932,7.048726
"Kilis","KİLİS",8,37.2,36.7,27.765,30.83242,7.755,7.879695
"Kilis","KİLİS",6.5,37.6,36.75,13.124,14.57391,6.8967,7.013161
"Kilis","KİLİS",8,38.8,36.7,9.5056,10.55576,6.5455,6.658409
"Kilis","KİLİS",8,38.7,36.2,9.3269,10.35732,6.5252,6.637878
"Kilis","KİLİS",8,36.95,37.05,14.778,16.41064,7.0287,7.14647
"Kilis","KİLİS",7,37.6,37.5,4.154,4.612926,5.6945,5.798277
