location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kirikkale","Kirikkale",8,33.8,40.8,9.7836,10.86447,6.5765,6.689664
"Kirikkale","Kirikkale",7,33.4,40.55,4.597,5.104868,5.7948,5.899678
"Kirikkale","Kirikkale",6,32,39.6,.73726,.8187111,4.1507,4.235324
"Kirikkale","Kirikkale",6,34.6,38.95,.67821,.7531374,4.0842,4.167843
"Kirikkale","Kirikkale",6,33.8,40.75,.87832,.9753551,4.2927,4.379225
"Kirikkale","Kirikkale",7.5,33.55,39.35,11.372,12.62836,6.7394,6.854216
"Kirikkale","Kirikkale",7,34.45,39.15,3.494,3.880011,5.5258,5.627642
"Kirikkale","Kirikkale",6,33.8,39.25,1.4733,1.636067,4.7311,4.823298
"Kirikkale","Kirikkale",7.5,32.75,40.55,6.6307,7.363247,6.1664,6.27528
"Kirikkale","Kirikkale",8,33.25,39.45,18.713,20.78038,7.2957,7.416033
"Kirikkale","Kirikkale",7,32.15,40.2,3.2923,3.656027,5.4686,5.569732
"Kirikkale","Kirikkale",6.5,32.25,39.5,1.8554,2.060381,4.9356,5.030377
"Kirikkale","Kirikkale",6,35,39.5,.68112,.7563689,4.0876,4.171286
"Kirikkale","Kirikkale",8,32.95,39.9,18.417,20.45168,7.2774,7.397642
"Kirikkale","Kirikkale",6,33.8,38.8,.81772,.9080601,4.2343,4.320071
"Kirikkale","Kirikkale",7,33.8,39.55,8.6284,9.581649,6.4423,6.554068
"Kirikkale","Kirikkale",7,33.2,39.55,9.586,10.64504,6.5546,6.667532
"Kirikkale","Kirikkale",6.5,35.15,39.9,1.3932,1.547118,4.6823,4.773942
"Kirikkale","Kirikkale",7,32.9,41.05,2.7528,3.056924,5.2985,5.397687
"Kirikkale","Kirikkale",6.5,33.3,38.75,1.7069,1.895475,4.861,4.954814
"Kirikkale","Kirikkale",7.5,32.9,40.75,6.0394,6.706622,6.0703,6.178158
"Kirikkale","Kirikkale",8,32.85,39.55,15.196,16.87482,7.0599,7.178012
"Kirikkale","Kirikkale",7,34.3,40.95,2.7601,3.065031,5.301,5.400208
"Kirikkale","Kirikkale",8,33.4,39.85,53.5,59.41058,8.5549,8.686865
"Kirikkale","Kirikkale",7.5,33.3,40.45,8.6752,9.633619,6.448,6.559872
"Kirikkale","Kirikkale",6,33.55,40.05,3.9471,4.383168,5.6444,5.747563
"Kirikkale","Kirikkale",7.5,35.15,39.65,5.0115,5.565161,5.8811,5.986924
"Kirikkale","Kirikkale",6,34.55,40.5,.78226,.8686826,4.1984,4.28366
"Kirikkale","Kirikkale",7,32.45,38.8,2.8272,3.139544,5.3237,5.423109
"Kirikkale","Kirikkale",7.5,33.15,40.8,6.1072,6.781912,6.0817,6.189717
"Kirikkale","Kirikkale",8,35,40.15,8.6521,9.607967,6.4452,6.557011
"Kirikkale","Kirikkale",8,33.9,39.7,19.994,22.2029,7.3716,7.492696
"Kirikkale","Kirikkale",6,33.25,38.85,.88452,.9822401,4.2985,4.385075
"Kirikkale","Kirikkale",7.5,33.25,39.5,14.214,15.78434,6.9852,7.102603
"Kirikkale","Kirikkale",8,34.8,40.35,8.9979,9.991971,6.4869,6.599135
"Kirikkale","Kirikkale",7.5,33,40.55,7.2484,8.04919,6.2589,6.368752
"Kirikkale","Kirikkale",8,33.8,40.35,14.045,15.59667,6.9719,7.089152
"Kirikkale","Kirikkale",7.5,32.2,38.95,5.0483,5.606027,5.8885,5.994354
"Kirikkale","Kirikkale",6,33.35,38.8,.84533,.9387205,4.2614,4.347481
"Kirikkale","Kirikkale",7.5,32.95,38.6,5.1327,5.699751,5.9052,6.011212
"Kirikkale","Kirikkale",6.5,34.65,38.85,1.3639,1.514581,4.6639,4.755263
"Kirikkale","Kirikkale",8,34.95,40.4,8.3954,9.322907,6.4132,6.524747
"Kirikkale","Kirikkale",8,33.25,39.85,32.54,36.13496,7.9443,8.07082
"Kirikkale","Kirikkale",8,32.75,39.3,12.139,13.48009,6.8107,6.926348
"Kirikkale","Kirikkale",8,32.45,40.15,11.15,12.38183,6.7179,6.832517
"Kirikkale","Kirikkale",6.5,34,40.2,3.2089,3.563413,5.444,5.544859
"Kirikkale","Kirikkale",7.5,34.2,39.8,9.6781,10.74732,6.5648,6.677898
"Kirikkale","Kirikkale",8,32.85,39.1,11.115,12.34296,6.7145,6.829061
"Kirikkale","Kirikkale",6.5,32.45,39.5,2.1811,2.422064,5.0824,5.178964
"Kirikkale","Kirikkale",7,33.55,38.85,3.6517,4.055133,5.5686,5.670877
"Kirikkale","Kirikkale",8,34.35,40.45,10.411,11.56119,6.6435,6.757358
"Kirikkale","Kirikkale",7,32.65,38.9,3.2235,3.579626,5.4483,5.549254
"Kirikkale","Kirikkale",7.5,34.6,40.65,5.3304,5.919292,5.9433,6.04975
"Kirikkale","Kirikkale",7,34,39.65,7.2884,8.093609,6.2646,6.374555
"Kirikkale","Kirikkale",6.5,33.3,39.65,8.9944,9.988084,6.4864,6.598716
"Kirikkale","Kirikkale",7,33.45,40.9,3.251,3.610164,5.4565,5.557486
"Kirikkale","Kirikkale",6,32.75,39.9,1.665,1.848946,4.8389,4.932444
"Kirikkale","Kirikkale",7.5,35.05,39.75,5.2882,5.87243,5.9352,6.041633
"Kirikkale","Kirikkale",7.5,32.7,40.55,6.5023,7.220662,6.1462,6.254871
"Kirikkale","Kirikkale",6.5,32.9,39.4,3.0832,3.423826,5.4058,5.506259
"Kirikkale","Kirikkale",6.5,33.9,41,1.4645,1.626295,4.7258,4.817992
"Kirikkale","Kirikkale",7,32.25,40.7,2.8097,3.12011,5.3178,5.417183
"Kirikkale","Kirikkale",7,32.7,39.75,5.6887,6.317177,6.0092,6.116438
"Kirikkale","Kirikkale",8,32.05,39.75,9.418,10.45848,6.5356,6.648388
"Kirikkale","Kirikkale",6.5,32.4,39.7,2.2195,2.464706,5.0984,5.195163
"Kirikkale","Kirikkale",8,33.4,40.3,16.031,17.80207,7.1201,7.238733
"Kirikkale","Kirikkale",6.5,34.75,40.25,1.6787,1.86416,4.8461,4.939813
"Kirikkale","Kirikkale",7.5,32.55,39.05,6.0449,6.712729,6.0712,6.1791
"Kirikkale","Kirikkale",6.5,33.15,40.05,5.3915,5.987143,5.9548,6.061401
"Kirikkale","Kirikkale",7.5,33.05,39,6.9409,7.707717,6.2138,6.323156
"Kirikkale","Kirikkale",7.5,34.2,40.4,7.2603,8.062405,6.2606,6.370482
"Kirikkale","Kirikkale",6.5,34.75,40.1,1.7631,1.957884,4.8898,4.98407
"Kirikkale","Kirikkale",6.5,35,39.75,1.5314,1.700586,4.7649,4.857639
"Kirikkale","Kirikkale",7,34.8,38.95,2.6941,2.991739,5.2783,5.377194
"Kirikkale","Kirikkale",6.5,33.85,38.75,1.6517,1.834177,4.8317,4.92524
"Kirikkale","Kirikkale",6,33.1,39.7,3.309,3.674572,5.4735,5.574646
"Kirikkale","Kirikkale",8,32.8,39.65,15.274,16.96144,7.0657,7.183811
"Kirikkale","Kirikkale",7,34.15,40.35,4.5239,5.023692,5.7789,5.883565
"Kirikkale","Kirikkale",6,34.4,39.3,.9819,1.090378,4.3848,4.472544
"Kirikkale","Kirikkale",6,35.1,40.05,.6478,.7193677,4.0479,4.131075
"Kirikkale","Kirikkale",7,33.55,39.4,7.7706,8.629081,6.3317,6.44234
"Kirikkale","Kirikkale",7,32.25,40.15,3.5589,3.95208,5.5436,5.645642
"Kirikkale","Kirikkale",8,32.85,38.9,9.8024,10.88535,6.5785,6.691749
"Kirikkale","Kirikkale",6.5,34.05,40.75,1.7409,1.933231,4.8785,4.972613
"Kirikkale","Kirikkale",6,34.7,40.45,.73478,.8159571,4.148,4.232586
"Kirikkale","Kirikkale",7,33.95,38.85,3.4276,3.806275,5.5073,5.608915
"Kirikkale","Kirikkale",6.5,32.05,39.15,1.4262,1.583764,4.7027,4.794571
"Kirikkale","Kirikkale",6.5,33.25,40.95,1.5742,1.748115,4.7892,4.882209
"Kirikkale","Kirikkale",6.5,33.8,40,5.6364,6.259099,5.9998,6.106944
"Kirikkale","Kirikkale",6.5,34.25,38.95,1.7264,1.917129,4.8711,4.96506
"Kirikkale","Kirikkale",6.5,33.35,40.95,1.5854,1.760552,4.7955,4.888542
"Kirikkale","Kirikkale",7,32.55,39.95,4.7783,5.306198,5.8334,5.938671
"Kirikkale","Kirikkale",8,32.75,40.5,10.861,12.0609,6.6893,6.803676
"Kirikkale","Kirikkale",8,34,41,8.5007,9.439841,6.4264,6.538088
"Kirikkale","Kirikkale",6.5,33.75,39.5,4.8133,5.345064,5.8407,5.946046
"Kirikkale","Kirikkale",7.5,32.2,40.6,5.212,5.787812,5.9206,6.026827
"Kirikkale","Kirikkale",8,34.65,39.8,10.576,11.74442,6.6605,6.774548
"Kirikkale","Kirikkale",8,34.75,39.4,9.4791,10.52633,6.5425,6.655386
"Kirikkale","Kirikkale",6.5,32.25,39.2,1.6311,1.811301,4.8206,4.913979
"Kirikkale","Kirikkale",7,32.35,40.5,3.2444,3.602835,5.4545,5.555516
"Kirikkale","Kirikkale",7.5,31.8,39.55,5.0315,5.58737,5.8851,5.990968
"Kirikkale","Kirikkale",6.5,33.7,40.65,2.1144,2.347995,5.054,5.150215
"Kirikkale","Kirikkale",7.5,33.2,38.9,6.5718,7.29784,6.1572,6.265963
"Kirikkale","Kirikkale",8,34.7,39.35,9.5677,10.62472,6.5525,6.665462
"Kirikkale","Kirikkale",7,34.65,40.1,3.6588,4.063017,5.5705,5.672784
"Kirikkale","Kirikkale",7.5,34.3,40.8,5.4377,6.038447,5.9634,6.070133
"Kirikkale","Kirikkale",6.5,33.05,39.75,5.7103,6.341163,6.0131,6.120337
"Kirikkale","Kirikkale",6,33.85,38.9,.89987,.9992859,4.3126,4.399405
"Kirikkale","Kirikkale",8,34.25,40.5,10.543,11.70777,6.6571,6.771129
"Kirikkale","Kirikkale",6.5,33.85,40.8,1.7552,1.949111,4.8858,4.980008
"Kirikkale","Kirikkale",8,34.9,39.35,8.7896,9.760658,6.4619,6.573939
"Kirikkale","Kirikkale",6.5,32.6,40,2.6603,2.954205,5.2664,5.365214
"Kirikkale","Kirikkale",6.5,34.15,38.75,1.5316,1.700808,4.7651,4.857755
"Kirikkale","Kirikkale",6,34.3,39.55,1.2855,1.42752,4.6128,4.703488
"Kirikkale","Kirikkale",7,33.25,40.85,3.3561,3.726876,5.487,5.588384
"Kirikkale","Kirikkale",8,32.25,40.15,10.035,11.14365,6.6038,6.717247
"Kirikkale","Kirikkale",6,32.25,40.05,.89765,.9968207,4.3106,4.397345
"Kirikkale","Kirikkale",6,34.5,40.8,.65386,.7260972,4.0553,4.13852
"Kirikkale","Kirikkale",6.5,33.1,39.05,2.2604,2.510125,5.1152,5.212147
"Kirikkale","Kirikkale",7,33.1,40.25,6.326,7.024885,6.1179,6.226251
"Kirikkale","Kirikkale",8,34.6,39.95,10.801,11.99427,6.6833,6.797602
"Kirikkale","Kirikkale",7,33.15,39.85,12.44,13.81435,6.8377,6.953533
"Kirikkale","Kirikkale",6.5,32.1,39.3,1.5587,1.730902,4.7805,4.87338
"Kirikkale","Kirikkale",8,31.9,40.05,8.6942,9.654718,6.4503,6.56222
"Kirikkale","Kirikkale",8,34.95,39.25,8.4265,9.357444,6.4172,6.528703
"Kirikkale","Kirikkale",7.5,33.4,38.9,6.6901,7.42921,6.1756,6.284601
"Kirikkale","Kirikkale",7.5,33.05,39.25,8.8114,9.784866,6.4646,6.576601
"Kirikkale","Kirikkale",8,34.7,40.75,8.1769,9.080269,6.3854,6.496576
"Kirikkale","Kirikkale",6,34.8,39.45,.7749,.8605095,4.1908,4.275923
"Kirikkale","Kirikkale",8,33.45,40.25,17.274,19.1824,7.2045,7.324009
"Kirikkale","Kirikkale",6.5,33.5,39.8,28.915,32.10947,7.8031,7.92832
"Kirikkale","Kirikkale",8,33,41.05,8.369,9.293591,6.4099,6.521379
"Kirikkale","Kirikkale",6.5,32.85,40.5,2.1851,2.426506,5.0841,5.180663
"Kirikkale","Kirikkale",8,32,40.15,8.9481,9.936669,6.4809,6.593159
"Kirikkale","Kirikkale",7,34.35,39.95,4.867,5.404697,5.8518,5.957268
"Kirikkale","Kirikkale",6.5,33.4,39.65,10.78,11.97095,6.6812,6.795468
"Kirikkale","Kirikkale",6,33.05,38.9,.89483,.9936891,4.308,4.394723
"Kirikkale","Kirikkale",6,34,41,.65922,.7320494,4.0617,4.145055
"Kirikkale","Kirikkale",6,33.7,39.25,1.554,1.725683,4.7778,4.870687
"Kirikkale","Kirikkale",7.5,35.1,39.85,5.1654,5.736063,5.9116,6.017677
"Kirikkale","Kirikkale",7,33.1,39.85,10.971,12.18305,6.7003,6.814734
"Kirikkale","Kirikkale",8,32.65,38.7,8.4485,9.381874,6.4199,6.531493
"Kirikkale","Kirikkale",6.5,32.65,39.75,2.9268,3.250147,5.3564,5.456226
"Kirikkale","Kirikkale",7.5,33.65,39.65,20.439,22.69706,7.3969,7.518285
"Kirikkale","Kirikkale",7,33.8,38.65,3.0151,3.348202,5.3846,5.484758
"Kirikkale","Kirikkale",6,32.15,39.75,.84832,.9420408,4.2643,4.350402
"Kirikkale","Kirikkale",8,34.45,40.35,10.442,11.59561,6.6467,6.760606
"Kirikkale","Kirikkale",7.5,34.1,39.15,7.2374,8.036974,6.2573,6.367152
"Kirikkale","Kirikkale",6.5,33.55,40.4,3.068,3.406947,5.4011,5.501497
"Kirikkale","Kirikkale",6,33.25,39.05,1.1403,1.266278,4.5104,4.599799
"Kirikkale","Kirikkale",7.5,31.85,39.9,5.2358,5.814241,5.9252,6.031473
"Kirikkale","Kirikkale",7.5,34.25,39.45,8.1652,9.067276,6.3838,6.495049
"Kirikkale","Kirikkale",7,33.75,41.1,2.757,3.061588,5.3,5.399138
"Kirikkale","Kirikkale",7.5,31.9,40,5.3291,5.917849,5.943,6.049501
"Kirikkale","Kirikkale",6.5,33.15,38.65,1.5352,1.704806,4.7671,4.859844
"Kirikkale","Kirikkale",8,32.2,40.5,8.8652,9.84461,6.471,6.583145
"Kirikkale","Kirikkale",6,34.35,38.9,.73924,.8209099,4.1529,4.237504
"Kirikkale","Kirikkale",6,32.95,38.8,.78333,.8698708,4.1995,4.28478
