location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kirklareli","Kirklarelİ",8,27.35,40.15,8.3436,9.265385,6.4067,6.518129
"Kirklareli","Kirklarelİ",8,28.65,41.15,8.7731,9.742335,6.4599,6.57192
"Kirklareli","Kirklarelİ",7.5,27.6,40.6,6.6507,7.385457,6.1695,6.278427
"Kirklareli","Kirklarelİ",8,27.55,40.3,8.8772,9.857936,6.4725,6.5846
"Kirklareli","Kirklarelİ",6.5,27.8,40.95,2.5429,2.823835,5.2242,5.322523
"Kirklareli","Kirklarelİ",7.5,27.1,41.65,20.209,22.44165,7.3839,7.505123
"Kirklareli","Kirklarelİ",7.5,26.6,41.25,12.468,13.84544,6.8401,6.956032
"Kirklareli","Kirklarelİ",6.5,26.45,40.55,1.8085,2.0083,4.9126,5.007108
"Kirklareli","Kirklarelİ",7.5,26.3,41.25,9.0269,10.02417,6.4903,6.602601
"Kirklareli","Kirklarelİ",6,28.55,41.9,.7067,.7847749,4.1169,4.201013
"Kirklareli","Kirklarelİ",6.5,27.7,40.75,2.2205,2.465817,5.0988,5.195582
"Kirklareli","Kirklarelİ",8,28.7,41.7,8.6339,9.587757,6.4429,6.554752
"Kirklareli","Kirklarelİ",6.5,27.6,41.05,3.39,3.764521,5.4967,5.598166
"Kirklareli","Kirklarelİ",7,26.25,41.2,5.0267,5.58204,5.8842,5.989998
"Kirklareli","Kirklarelİ",7.5,26.4,40.8,7.2646,8.06718,6.2612,6.371106
"Kirklareli","Kirklarelİ",8,28.7,41.25,8.6906,9.650721,6.4499,6.561775
"Kirklareli","Kirklarelİ",6,26.4,41.15,1.5439,1.714467,4.7721,4.864877
"Kirklareli","Kirklarelİ",6.5,27.9,41.5,3.0013,3.332878,5.3802,5.480349
"Kirklareli","Kirklarelİ",7.5,27.55,41.3,13.591,15.09251,6.9354,7.052276
"Kirklareli","Kirklarelİ",7,28.6,41.9,2.9418,3.266804,5.3612,5.461127
"Kirklareli","Kirklarelİ",6,27.5,41.35,3.0797,3.41994,5.4048,5.505165
"Kirklareli","Kirklarelİ",8,28.75,41.45,8.5848,9.533233,6.4369,6.548636
"Kirklareli","Kirklarelİ",7,27.6,41.35,8.1885,9.09315,6.3869,6.498089
"Kirklareli","Kirklarelİ",7.5,28.75,41.85,5.0165,5.570714,5.8821,5.987936
"Kirklareli","Kirklarelİ",6,27.25,40.3,.74027,.8220536,4.154,4.238636
"Kirklareli","Kirklarelİ",6.5,28.25,41.7,2.008,2.22984,5.007,5.102648
"Kirklareli","Kirklarelİ",7.5,26.25,40.95,7.4307,8.25163,6.2848,6.394969
"Kirklareli","Kirklarelİ",6,28.25,41.75,.93688,1.040385,4.3459,4.433095
"Kirklareli","Kirklarelİ",8,28.65,41.65,8.8613,9.84028,6.4706,6.582672
"Kirklareli","Kirklarelİ",6,27.95,40.6,.80694,.8960892,4.2236,4.30915
"Kirklareli","Kirklarelİ",7,27.7,40.75,4.2038,4.668228,5.7063,5.810146
"Kirklareli","Kirklarelİ",6.5,28.45,41.75,1.7075,1.896141,4.8613,4.955131
"Kirklareli","Kirklarelİ",7.5,26.3,40.6,6.0887,6.761368,6.0786,6.186574
"Kirklareli","Kirklarelİ",6,27.15,41.55,7.9657,8.845736,6.3578,6.468695
"Kirklareli","Kirklarelİ",8,28.45,41,9.2775,10.30246,6.5195,6.632141
"Kirklareli","Kirklarelİ",7,27.2,41.2,12.27,13.62557,6.8225,6.938254
"Kirklareli","Kirklarelİ",6,28.2,41.65,1.0172,1.129578,4.4142,4.502383
"Kirklareli","Kirklarelİ",6.5,27.3,40.6,2.1543,2.392303,5.0711,5.167508
"Kirklareli","Kirklarelİ",7.5,28.1,41.45,7.7369,8.591658,6.3271,6.437728
"Kirklareli","Kirklarelİ",6,26.9,41.5,6.3636,7.066638,6.124,6.232414
"Kirklareli","Kirklarelİ",6,26.3,41.3,1.4944,1.659498,4.7435,4.835905
"Kirklareli","Kirklarelİ",8,28.35,41.1,9.9391,11.03715,6.5934,6.7068
"Kirklareli","Kirklarelİ",7,27.4,40.7,4.4681,4.961727,5.7666,5.871109
"Kirklareli","Kirklarelİ",7,27.8,40.25,2.7833,3.090794,5.3089,5.408182
"Kirklareli","Kirklarelİ",7.5,28.45,41.65,6.0151,6.679637,6.0662,6.173986
"Kirklareli","Kirklarelİ",8,26.8,40.3,9.0365,10.03484,6.4914,6.603746
"Kirklareli","Kirklarelİ",6.5,26.25,40.7,1.8793,2.086921,4.9471,5.042035
"Kirklareli","Kirklarelİ",7,27.5,41,6.2335,6.922165,6.1027,6.210947
"Kirklareli","Kirklarelİ",7.5,26.4,41.6,10.013,11.11922,6.6014,6.714859
"Kirklareli","Kirklarelİ",6.5,26.3,41,2.4826,2.756873,5.2019,5.299911
"Kirklareli","Kirklarelİ",6.5,27.9,40.75,1.9926,2.212739,5,5.095579
"Kirklareli","Kirklarelİ",7.5,27.75,41.7,9.7861,10.86725,6.5767,6.689942
"Kirklareli","Kirklarelİ",6.5,26.1,41.35,2.4391,2.708567,5.1855,5.283294
"Kirklareli","Kirklarelİ",7.5,26.45,40.85,7.7355,8.590103,6.3269,6.437536
"Kirklareli","Kirklarelİ",6.5,27.55,40.95,3.0891,3.430378,5.4077,5.508102
"Kirklareli","Kirklarelİ",6.5,26.05,40.7,1.6933,1.880373,4.8538,4.947607
"Kirklareli","Kirklarelİ",6,28.7,41.15,.67156,.7457527,4.0764,4.159927
"Kirklareli","Kirklarelİ",8,26.85,41,16.625,18.4617,7.1612,7.280206
"Kirklareli","Kirklarelİ",7,28.5,41.3,3.3261,3.693561,5.4784,5.579653
"Kirklareli","Kirklarelİ",7,26.9,41.1,8.7535,9.720571,6.4575,6.569518
"Kirklareli","Kirklarelİ",6.5,26.8,40.35,1.6459,1.827736,4.8286,4.922081
"Kirklareli","Kirklarelİ",7,28.5,40.8,2.9107,3.232269,5.3511,5.450942
"Kirklareli","Kirklarelİ",8,28.35,40.95,9.5536,10.60906,6.5509,6.663864
"Kirklareli","Kirklarelİ",6.5,27.2,40.7,2.4807,2.754763,5.2012,5.299191
"Kirklareli","Kirklarelİ",6,27.55,42,1.357,1.506919,4.6595,4.750813
"Kirklareli","Kirklarelİ",6.5,26.1,41.55,2.4267,2.694797,5.1807,5.278509
"Kirklareli","Kirklarelİ",6,27.6,40.4,.76844,.8533358,4.184,4.269079
"Kirklareli","Kirklarelİ",6,26,41.1,.98196,1.090445,4.3848,4.472595
"Kirklareli","Kirklarelİ",8,27.5,42,13.4,14.88041,6.9197,7.036427
"Kirklareli","Kirklarelİ",8,26.55,41.75,15.589,17.31124,7.0886,7.206958
"Kirklareli","Kirklarelİ",7,26.85,41.7,9.6476,10.71345,6.5614,6.674476
"Kirklareli","Kirklarelİ",6.5,28.45,41.1,1.6933,1.880373,4.8538,4.947607
"Kirklareli","Kirklarelİ",7,27.75,40.85,4.4862,4.981827,5.7706,5.875165
"Kirklareli","Kirklarelİ",6.5,27.2,40.8,2.8715,3.188738,5.3383,5.437965
"Kirklareli","Kirklarelİ",7.5,26.8,40.15,5.0392,5.595921,5.8867,5.992521
"Kirklareli","Kirklarelİ",8,26.15,40.9,10.805,11.99872,6.6837,6.798007
"Kirklareli","Kirklarelİ",6.5,26.95,40.2,1.4673,1.629405,4.7275,4.819683
"Kirklareli","Kirklarelİ",6.5,26.1,41.5,2.4463,2.716563,5.1882,5.286062
"Kirklareli","Kirklarelİ",8,26.6,41.45,19.492,21.64544,7.3424,7.463201
"Kirklareli","Kirklarelİ",8,27.85,40.5,9.3676,10.40251,6.5299,6.642585
"Kirklareli","Kirklarelİ",7,28.3,41.25,3.7766,4.193831,5.6013,5.703953
"Kirklareli","Kirklarelİ",7,26.4,41.9,4.8698,5.407806,5.8524,5.95785
"Kirklareli","Kirklarelİ",8,26.6,41.9,14.145,15.70771,6.9798,7.097129
"Kirklareli","Kirklarelİ",7.5,26.25,41.95,7.2929,8.098606,6.2653,6.375206
"Kirklareli","Kirklarelİ",7,28.4,41.3,3.5507,3.942975,5.5414,5.643384
"Kirklareli","Kirklarelİ",7.5,26,41.15,6.9421,7.70905,6.2139,6.323338
"Kirklareli","Kirklarelİ",6.5,27.25,41.1,5.1944,5.768268,5.9172,6.02338
"Kirklareli","Kirklarelİ",6.5,26.05,41.4,2.3338,2.591634,5.1446,5.241953
"Kirklareli","Kirklarelİ",8,28.75,41.5,8.5789,9.526681,6.4361,6.547899
"Kirklareli","Kirklarelİ",6,27.25,41.1,2.7429,3.04593,5.2951,5.394258
"Kirklareli","Kirklarelİ",8,27.35,41.65,22.776,25.29225,7.5223,7.644881
"Kirklareli","Kirklarelİ",6,28.3,41.9,.84009,.9329016,4.2563,4.34234
"Kirklareli","Kirklarelİ",8,27.15,41.5,48.001,53.30406,8.4195,8.550256
"Kirklareli","Kirklarelİ",8,27.05,40.8,13.58,15.08029,6.9345,7.051369
"Kirklareli","Kirklarelİ",8,26.25,41.2,13.015,14.45287,6.8875,7.00385
"Kirklareli","Kirklarelİ",7,27.3,40.55,3.8891,4.31876,5.6299,5.73292
"Kirklareli","Kirklarelİ",7,26.85,41.1,8.4139,9.343451,6.4156,6.527102
"Kirklareli","Kirklarelİ",7,28.45,40.6,2.7407,3.043487,5.2944,5.393495
"Kirklareli","Kirklarelİ",6,27.6,40.45,.80692,.896067,4.2235,4.30913
"Kirklareli","Kirklarelİ",6.5,28.75,41.8,1.4016,1.556446,4.6876,4.779234
"Kirklareli","Kirklarelİ",7,28.6,40.85,2.8253,3.137434,5.323,5.422467
"Kirklareli","Kirklarelİ",8,28.75,41.65,8.5058,9.445504,6.4271,6.53873
"Kirklareli","Kirklarelİ",6.5,26.65,40.45,1.754,1.947779,4.8852,4.979389
"Kirklareli","Kirklarelİ",7.5,26.25,40.25,4.9147,5.457667,5.8616,5.967144
"Kirklareli","Kirklarelİ",7,28.8,41.05,2.7033,3.001956,5.2815,5.380432
"Kirklareli","Kirklarelİ",7.5,28.75,41.75,5.1017,5.665326,5.8991,6.005049
"Kirklareli","Kirklarelİ",6,26.15,41.75,1.1432,1.269499,4.5126,4.601981
"Kirklareli","Kirklarelİ",8,26.75,41.6,22.051,24.48715,7.4847,7.606924
"Kirklareli","Kirklarelİ",7,26.65,41.55,8.9739,9.96532,6.484,6.596259
"Kirklareli","Kirklarelİ",7.5,28.6,40.95,5.2567,5.83745,5.9292,6.035536
"Kirklareli","Kirklarelİ",8,26.1,41.3,12.035,13.3646,6.8013,6.916813
"Kirklareli","Kirklarelİ",6,27.9,41.1,1.2942,1.437181,4.6186,4.709369
"Kirklareli","Kirklarelİ",8,27.8,41.5,15.2,16.87927,7.0602,7.17831
"Kirklareli","Kirklarelİ",6,27.7,40.7,1.0097,1.12125,4.4081,4.49612
"Kirklareli","Kirklarelİ",6.5,26.95,40.4,1.7533,1.947001,4.8849,4.979028
"Kirklareli","Kirklarelİ",6,26.55,41.5,2.3092,2.564316,5.1348,5.232058
"Kirklareli","Kirklarelİ",6.5,26.05,41.25,2.2719,2.522895,5.1198,5.216873
"Kirklareli","Kirklarelİ",7.5,27.85,40.7,6.5787,7.305502,6.1582,6.267058
"Kirklareli","Kirklarelİ",6,28.4,41.75,.82904,.9206308,4.2455,4.331405
