location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kirsehir","KirŞEhİR",8,34.7,39.35,15.08,16.74601,7.0513,7.169338
"Kirsehir","KirŞEhİR",6.5,35.1,40.35,1.7204,1.910467,4.868,4.961919
"Kirsehir","KirŞEhİR",6,33.8,40.3,1.2544,1.392984,4.5917,4.682178
"Kirsehir","KirŞEhİR",6.5,35.1,39.95,2.1787,2.419399,5.0814,5.177943
"Kirsehir","KirŞEhİR",7,33.65,40.7,3.1598,3.508889,5.4293,5.529944
"Kirsehir","KirŞEhİR",6,32.55,40.25,.61586,.683899,4.0082,4.090808
"Kirsehir","KirŞEhİR",7,33.55,40.25,4.552,5.054896,5.785,5.889787
"Kirsehir","KirŞEhİR",6,33.55,39.8,2.0676,2.296025,5.0336,5.12956
"Kirsehir","KirŞEhİR",7.5,35,40.6,5.3889,5.984255,5.9543,6.060908
"Kirsehir","KirŞEhİR",7,33.5,39.9,6.1867,6.870195,6.095,6.203125
"Kirsehir","KirŞEhİR",6,33.85,40.5,.97031,1.077508,4.3749,4.462542
"Kirsehir","KirŞEhİR",7,33.45,40.7,3.0263,3.36064,5.3881,5.488324
"Kirsehir","KirŞEhİR",6,33.45,38.6,.73765,.8191442,4.1512,4.235754
"Kirsehir","KirŞEhİR",6.5,35.2,38.9,1.6202,1.799197,4.8147,4.907969
"Kirsehir","KirŞEhİR",7,35.15,39.85,4.1155,4.570173,5.6854,5.789014
"Kirsehir","KirŞEhİR",6,35,40.6,.70068,.7780898,4.1101,4.194102
"Kirsehir","KirŞEhİR",7,34.65,40.7,3.0916,3.433154,5.4084,5.508882
"Kirsehir","KirŞEhİR",8,33.2,40.25,10.468,11.62449,6.6494,6.763323
"Kirsehir","KirŞEhİR",6.5,32.6,39.75,1.5679,1.741119,4.7857,4.87863
"Kirsehir","KirŞEhİR",6,35,39.15,1.0344,1.148679,4.4282,4.516596
"Kirsehir","KirŞEhİR",8,32.6,39.85,8.9353,9.922455,6.4794,6.591619
"Kirsehir","KirŞEhİR",6.5,32.5,40.15,1.36,1.51025,4.6614,4.75275
"Kirsehir","KirŞEhİR",6.5,35.2,39.35,2.0347,2.25949,5.019,5.11479
"Kirsehir","KirŞEhİR",6,33.75,40.4,1.072,1.190433,4.4582,4.546958
"Kirsehir","KirŞEhİR",7.5,34.6,40.65,5.7758,6.413899,6.0247,6.13208
"Kirsehir","KirŞEhİR",6,34.1,39.05,1.5909,1.76666,4.7985,4.891637
"Kirsehir","KirŞEhİR",6,33.7,40.5,.93386,1.037031,4.3432,4.43039
"Kirsehir","KirŞEhİR",6,34,40.8,.71276,.7915044,4.1237,4.207918
"Kirsehir","KirŞEhİR",6.5,33.6,39.85,4.138,4.595159,5.6908,5.794437
"Kirsehir","KirŞEhİR",7,34.4,38.75,3.8459,4.270788,5.619,5.721887
"Kirsehir","KirŞEhİR",8,33.25,40.45,9.6384,10.70323,6.5604,6.673441
"Kirsehir","KirŞEhİR",6,35.5,39.2,.7208,.8004326,4.1327,4.217
