location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kocaeli","Kocaelİ",6,30.4,41.85,.71148,.790083,4.1223,4.206463
"Kocaeli","Kocaelİ",7.5,30.6,41.15,8.6843,9.643725,6.4491,6.560997
"Kocaeli","Kocaelİ",7.5,29.75,39.65,5.829,6.472977,6.0341,6.141529
"Kocaeli","Kocaelİ",6,29.15,39.7,.7043,.7821097,4.1142,4.198264
"Kocaeli","Kocaelİ",7,31.5,40.7,3.0402,3.376076,5.3925,5.492733
"Kocaeli","Kocaelİ",6,28.3,41,.64996,.7217664,4.0505,4.133736
"Kocaeli","Kocaelİ",6.5,31.3,41.35,1.5149,1.682263,4.7554,4.848004
"Kocaeli","Kocaelİ",8,29.6,39.85,10.605,11.77662,6.6635,6.777544
"Kocaeli","Kocaelİ",7,29.25,39.75,3.2097,3.564301,5.4442,5.5451
"Kocaeli","Kocaelİ",7,29.5,40.05,4.5453,5.047456,5.7836,5.888307
"Kocaeli","Kocaelİ",7.5,31.3,40.75,6.0848,6.757037,6.078,6.185911
"Kocaeli","Kocaelİ",6,28.7,40.3,.82067,.9113361,4.2373,4.323038
"Kocaeli","Kocaelİ",6,29.55,41.7,.83397,.9261054,4.2503,4.336299
"Kocaeli","Kocaelİ",7.5,28.6,40.2,5.5521,6.165485,5.9845,6.091471
"Kocaeli","Kocaelİ",6,29.6,39.5,.66595,.7395229,4.0697,4.153196
"Kocaeli","Kocaelİ",8,28.5,41.45,8.2744,9.18854,6.3979,6.50923
"Kocaeli","Kocaelİ",6,29.3,39.8,.81413,.9040735,4.2308,4.316448
"Kocaeli","Kocaelİ",7.5,29.1,40.7,8.7869,9.75766,6.4616,6.573609
"Kocaeli","Kocaelİ",6,28.45,40.6,.7366,.8179781,4.15,4.234596
"Kocaeli","Kocaelİ",7.5,29.15,39.85,5.9113,6.564369,6.0484,6.155996
"Kocaeli","Kocaelİ",7.5,28.75,40.25,6.0793,6.750929,6.077,6.184974
"Kocaeli","Kocaelİ",8,29.8,40.6,32.67,36.27932,7.9491,8.075656
"Kocaeli","Kocaelİ",8,28.7,40.05,8.9787,9.97065,6.4846,6.596835
"Kocaeli","Kocaelİ",6,29.2,40.55,1.5385,1.708471,4.769,4.861756
"Kocaeli","Kocaelİ",8,28.7,41.05,9.959,11.05925,6.5956,6.708975
"Kocaeli","Kocaelİ",7.5,30.45,40.45,11.28,12.52619,6.7305,6.845271
"Kocaeli","Kocaelİ",6.5,29,40.5,2.4244,2.692243,5.1798,5.277619
"Kocaeli","Kocaelİ",8,30.75,39.95,10.062,11.17363,6.6067,6.720172
"Kocaeli","Kocaelİ",6.5,30.4,39.9,2.0457,2.271705,5.0239,5.119752
"Kocaeli","Kocaelİ",8,30,40.45,23.718,26.33832,7.5696,7.692589
"Kocaeli","Kocaelİ",8,30.15,40.35,18.423,20.45834,7.2778,7.398018
"Kocaeli","Kocaelİ",7,29,40,3.4556,3.837368,5.5152,5.616851
"Kocaeli","Kocaelİ",6.5,29.15,41.8,1.4696,1.631959,4.7288,4.82107
"Kocaeli","Kocaelİ",7.5,29.55,41.85,5.4877,6.093971,5.9727,6.079508
"Kocaeli","Kocaelİ",7,28.6,40.45,3.3427,3.711995,5.4832,5.584493
"Kocaeli","Kocaelİ",6.5,28.4,41,1.5077,1.674268,4.7513,4.843771
"Kocaeli","Kocaelİ",8,29.15,40.95,13.389,14.86819,6.9189,7.035509
"Kocaeli","Kocaelİ",7.5,28.8,41.4,5.753,6.38858,6.0207,6.128006
"Kocaeli","Kocaelİ",6.5,30.9,40,1.778,1.97443,4.8974,4.991688
"Kocaeli","Kocaelİ",6.5,30.05,41.15,4.2052,4.669783,5.7066,5.810478
"Kocaeli","Kocaelİ",8,29.4,41.6,10.156,11.27802,6.6167,6.730301
"Kocaeli","Kocaelİ",7.5,28.45,40.5,5.5216,6.131616,5.9789,6.085821
"Kocaeli","Kocaelİ",7,30.3,39.55,2.9824,3.31189,5.3742,5.47428
"Kocaeli","Kocaelİ",6,29.1,41.4,.92602,1.028325,4.3362,4.423332
"Kocaeli","Kocaelİ",7,28.95,41.2,3.8991,4.329865,5.6324,5.735459
"Kocaeli","Kocaelİ",8,30.3,40.8,23.508,26.10512,7.5592,7.682105
"Kocaeli","Kocaelİ",7.5,30.45,40.05,7.6063,8.44663,6.3093,6.41968
"Kocaeli","Kocaelİ",6,30.95,40.45,1.0882,1.208422,4.4708,4.559753
"Kocaeli","Kocaelİ",7,31.2,40.1,3.1335,3.479683,5.4213,5.521871
"Kocaeli","Kocaelİ",6.5,29.4,39.45,1.3534,1.502921,4.6572,4.748483
"Kocaeli","Kocaelİ",6.5,30.75,39.65,1.4699,1.632292,4.729,4.821251
"Kocaeli","Kocaelİ",6.5,30.05,41.05,5.417,6.01546,5.9596,6.066229
"Kocaeli","Kocaelİ",7,29.65,40.9,10.69,11.87101,6.6721,6.786283
"Kocaeli","Kocaelİ",6,29.05,39.65,.65288,.725009,4.0541,4.137321
"Kocaeli","Kocaelİ",6,30.6,41.3,1.1661,1.294929,4.5294,4.61904
"Kocaeli","Kocaelİ",8,30,41.45,12.325,13.68664,6.8275,6.943218
"Kocaeli","Kocaelİ",8,29.05,41,12.275,13.63112,6.823,6.938706
"Kocaeli","Kocaelİ",7,30.65,41.25,4.5705,5.07544,5.7891,5.893864
"Kocaeli","Kocaelİ",7.5,29.5,40.8,14.183,15.74991,6.9828,7.100147
"Kocaeli","Kocaelİ",6.5,30,40.85,12.854,14.27409,6.8737,6.989968
"Kocaeli","Kocaelİ",7.5,29.05,41.85,4.9949,5.546727,5.8778,5.983556
"Kocaeli","Kocaelİ",7,28.75,41.7,2.7206,3.021167,5.2875,5.386495
"Kocaeli","Kocaelİ",8,29.95,41.7,10.1,11.21583,6.6107,6.724277
"Kocaeli","Kocaelİ",6.5,31.25,40.2,1.6228,1.802084,4.8161,4.909406
"Kocaeli","Kocaelİ",7.5,29.65,39.85,6.7393,7.483845,6.1832,6.292266
"Kocaeli","Kocaelİ",7,30.5,40.5,6.8857,7.646419,6.2055,6.314779
"Kocaeli","Kocaelİ",7.5,30.95,40.2,6.6065,7.336374,6.1626,6.271461
