location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Konya","Konya",6.5,31.75,37.5,4.6416,5.154395,5.8044,5.909396
"Konya","Konya",6.5,32.65,37.2,4.3334,4.812146,5.7363,5.840455
"Konya","Konya",6,32.7,36,.62498,.6940266,4.0197,4.102488
"Konya","Konya",6,32.5,37.35,3.0346,3.369857,5.3907,5.490959
"Konya","Konya",6,32.35,38.25,.83011,.921819,4.2466,4.332469
"Konya","Konya",7,30.85,36.9,3.3138,3.679902,5.4748,5.576054
"Konya","Konya",6,32.25,36.4,1.0351,1.149456,4.4288,4.51717
"Konya","Konya",6.5,33.05,36.65,1.9225,2.134894,4.9676,5.062779
"Konya","Konya",6,33.2,36.45,.71817,.7975121,4.1297,4.214039
"Konya","Konya",6,33.7,37.3,.66133,.7343925,4.0642,4.147615
"Konya","Konya",7,31.7,36.25,3.3853,3.759301,5.4954,5.596815
"Konya","Konya",7.5,31.4,37.3,9.5652,10.62195,6.5522,6.665178
"Konya","Konya",8,32.05,36.45,11.677,12.96705,6.7682,6.883411
"Konya","Konya",8,32.35,36.65,13.823,15.35014,6.9542,7.071257
"Konya","Konya",7,31,37.55,3.7087,4.11843,5.5836,5.686096
"Konya","Konya",7,33.15,37.35,4.1832,4.645352,5.7015,5.805252
"Konya","Konya",7.5,32.3,37,16.883,18.7482,7.1786,7.297802
"Konya","Konya",7,31.8,36.3,3.6087,4.007382,5.5571,5.659256
"Konya","Konya",7.5,33.2,36.25,5.0015,5.554056,5.8791,5.984896
"Konya","Konya",6,31.95,38.1,.99811,1.108379,4.3984,4.486361
"Konya","Konya",7,31.5,37.25,6.624,7.355807,6.1653,6.274224
"Konya","Konya",6,31,36.35,.65816,.7308723,4.0604,4.143766
"Konya","Konya",7,32.5,36.25,3.4166,3.79406,5.5042,5.605781
"Konya","Konya",8,32.5,38.2,9.9048,10.99906,6.5897,6.703041
"Konya","Konya",7.5,32.25,37.6,13.376,14.85375,6.9177,7.034421
"Konya","Konya",8,31.25,36.25,8.7438,9.709799,6.4564,6.568327
"Konya","Konya",7,32.7,36.95,6.0849,6.757148,6.078,6.185928
"Konya","Konya",6,31.05,36.6,.79479,.8825969,4.2113,4.296688
"Konya","Konya",8,32.25,38.15,10.554,11.71999,6.6582,6.772269
"Konya","Konya",6,32.6,37.25,2.5147,2.792519,5.2138,5.312008
"Konya","Konya",8,30.8,37.95,8.4792,9.415966,6.4238,6.535376
"Konya","Konya",6,31.5,37.05,1.7444,1.937118,4.8803,4.974428
"Konya","Konya",6.5,31.7,36.15,1.5936,1.769658,4.8001,4.893153
"Konya","Konya",7,31.3,38,3.515,3.903331,5.5316,5.633499
"Konya","Konya",6.5,32.85,37.1,3.0655,3.404171,5.4003,5.500712
"Konya","Konya",7,31.7,37.55,7.1046,7.889503,6.238,6.347651
"Konya","Konya",6.5,31.2,37.45,2.3938,2.658262,5.1681,5.265707
"Konya","Konya",7,32.75,36.25,3.2062,3.560415,5.4432,5.544044
"Konya","Konya",6,32.05,37.95,1.2498,1.387876,4.5886,4.678987
"Konya","Konya",8,33.15,38.1,8.8667,9.846276,6.4712,6.583327
"Konya","Konya",6,33.3,36.9,.85665,.9512911,4.2723,4.358493
"Konya","Konya",7.5,31.75,36.3,6.2815,6.975468,6.1106,6.218914
"Konya","Konya",7,33.05,37.65,4.1003,4.553293,5.6818,5.785335
"Konya","Konya",6,30.65,37.75,.65144,.7234098,4.0523,4.135554
"Konya","Konya",6,32.65,36.8,1.495,1.660165,4.7438,4.836261
"Konya","Konya",7,31.65,38.1,3.726,4.137641,5.5882,5.690673
"Konya","Konya",8,32.4,38.15,10.396,11.54453,6.6419,6.755783
"Konya","Konya",8,33.45,36.5,8.3536,9.27649,6.408,6.51941
"Konya","Konya",6,33.55,36.6,.63258,.7024662,4.0292,4.112108
"Konya","Konya",8,32.6,36.45,10.886,12.08867,6.6919,6.806199
"Konya","Konya",6,32.6,36,.63911,.7097177,4.0373,4.120294
"Konya","Konya",7,31.15,37.95,3.3738,3.746531,5.4921,5.593503
"Konya","Konya",7.5,32.35,36.25,6.1786,6.8612,6.0936,6.201766
"Konya","Konya",7,31.2,37.55,4.3259,4.803817,5.7346,5.838723
