location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kucukcekmece","KÜÇÜKÇEkmece",7,29.35,41.8,3.9023,4.333419,5.6332,5.73627
"Kucukcekmece","KÜÇÜKÇEkmece",6,27.3,41.7,.63311,.7030548,4.0299,4.112775
"Kucukcekmece","KÜÇÜKÇEkmece",7,28.75,41.25,12.688,14.08975,6.8594,6.975488
"Kucukcekmece","KÜÇÜKÇEkmece",6,29.3,40.9,2.3423,2.601073,5.148,5.245351
"Kucukcekmece","KÜÇÜKÇEkmece",7.5,27.25,40.45,5.0636,5.623017,5.8915,5.997428
"Kucukcekmece","KÜÇÜKÇEkmece",8,28.9,40.9,35.351,39.25651,8.0442,8.171666
"Kucukcekmece","KÜÇÜKÇEkmece",7,27.9,40.6,4.3661,4.848458,5.7437,5.847974
"Kucukcekmece","KÜÇÜKÇEkmece",7.5,28.85,40.2,7.2779,8.081948,6.2631,6.373035
"Kucukcekmece","KÜÇÜKÇEkmece",8,29.45,41.45,13.15,14.60279,6.8989,7.015372
"Kucukcekmece","KÜÇÜKÇEkmece",7.5,27.55,41.45,6.0851,6.75737,6.078,6.185962
"Kucukcekmece","KÜÇÜKÇEkmece",6.5,30.1,40.9,1.8183,2.019182,4.9174,5.012014
"Kucukcekmece","KÜÇÜKÇEkmece",7,30.05,40.1,2.7255,3.026608,5.2892,5.388205
"Kucukcekmece","KÜÇÜKÇEkmece",8,27.8,41.75,9.6828,10.75254,6.5653,6.678425
"Kucukcekmece","KÜÇÜKÇEkmece",6,28.85,41.55,1.7192,1.909134,4.8673,4.961289
"Kucukcekmece","KÜÇÜKÇEkmece",6.5,28.95,41.5,3.6595,4.063795,5.5706,5.672972
"Kucukcekmece","KÜÇÜKÇEkmece",8,28.45,39.85,8.8297,9.805188,6.4668,6.578831
"Kucukcekmece","KÜÇÜKÇEkmece",6.5,29.95,40.9,2.0516,2.278257,5.0265,5.122404
"Kucukcekmece","KÜÇÜKÇEkmece",6.5,27.8,40.3,1.7588,1.953109,4.8877,4.981861
"Kucukcekmece","KÜÇÜKÇEkmece",6,29.45,41.6,1.1491,1.27605,4.5169,4.606404
"Kucukcekmece","KÜÇÜKÇEkmece",8,29.2,40.8,19.081,21.18903,7.3179,7.438533
"Kucukcekmece","KÜÇÜKÇEkmece",6.5,29.3,40.9,4.5056,5.00337,5.7749,5.879496
"Kucukcekmece","KÜÇÜKÇEkmece",7,28.05,41.85,3.5217,3.910771,5.5335,5.635361
"Kucukcekmece","KÜÇÜKÇEkmece",7,28.95,41.25,11.453,12.71831,6.7471,6.862038
"Kucukcekmece","KÜÇÜKÇEkmece",6,29.4,41.1,1.9836,2.202744,4.9959,5.091426
"Kucukcekmece","KÜÇÜKÇEkmece",7.5,29.85,40.35,5.9821,6.642991,6.0605,6.168297
"Kucukcekmece","KÜÇÜKÇEkmece",7.5,28.85,40.95,38.447,42.69455,8.1462,8.274588
"Kucukcekmece","KÜÇÜKÇEkmece",7.5,28.35,41.05,14.819,16.45617,7.0318,7.149599
"Kucukcekmece","KÜÇÜKÇEkmece",7.5,30.05,41.7,5.4746,6.079423,5.9703,6.077059
"Kucukcekmece","KÜÇÜKÇEkmece",6,28.15,40.35,1.0686,1.186657,4.4556,4.544251
"Kucukcekmece","KÜÇÜKÇEkmece",8,30.15,40.5,9.0199,10.0164,6.4895,6.601765
"Kucukcekmece","KÜÇÜKÇEkmece",7.5,27.9,41.95,5.5719,6.187473,5.9882,6.095124
"Kucukcekmece","KÜÇÜKÇEkmece",6.5,29.55,40.75,2.8701,3.187183,5.3379,5.437499
