location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kutahya","KÜTahya",7.5,30.9,38.05,5.4338,6.034116,5.9627,6.069398
"Kutahya","KÜTahya",7.5,31.4,39.9,5.0269,5.582263,5.8842,5.990039
"Kutahya","KÜTahya",7.5,29.1,38.85,7.3133,8.12126,6.2682,6.378153
"Kutahya","KÜTahya",8,29.15,38.15,8.9085,9.892694,6.4762,6.588387
"Kutahya","KÜTahya",7.5,28.7,39.4,5.5771,6.193247,5.9891,6.096081
"Kutahya","KÜTahya",7,31.6,38.4,2.7104,3.00984,5.2839,5.382925
"Kutahya","KÜTahya",6.5,30.85,40.25,1.3712,1.522688,4.6685,4.75995
"Kutahya","KÜTahya",8,29.2,38.7,11.649,12.93596,6.7656,6.88076
"Kutahya","KÜTahya",8,30.8,38.55,12.21,13.55894,6.8172,6.932815
"Kutahya","KÜTahya",6,29.25,39.25,1.2912,1.433849,4.6165,4.707345
"Kutahya","KÜTahya",6,28.55,38.9,.68289,.7583344,4.0896,4.173374
"Kutahya","KÜTahya",7,30.85,39.8,3.7329,4.145304,5.59,5.692493
"Kutahya","KÜTahya",7,31.3,39.75,3.1002,3.442704,5.4111,5.51156
"Kutahya","KÜTahya",7.5,31.2,38.5,6.122,6.798347,6.0842,6.192225
"Kutahya","KÜTahya",6.5,30.6,40.25,1.4501,1.610304,4.7172,4.80925
"Kutahya","KÜTahya",7,29.4,39.05,6.0181,6.682968,6.0667,6.174502
"Kutahya","KÜTahya",8,29,39.15,10.977,12.18972,6.7009,6.815335
"Kutahya","KÜTahya",7.5,30.35,38.15,6.5862,7.313831,6.1594,6.268247
"Kutahya","KÜTahya",6,29.85,38.55,1.6854,1.8716,4.8497,4.943397
"Kutahya","KÜTahya",8,31.15,39.05,11.502,12.77272,6.7517,6.866745
"Kutahya","KÜTahya",8,30.55,39.5,14.768,16.39954,7.0279,7.145705
"Kutahya","KÜTahya",7,30.9,38.05,3.0267,3.361084,5.3882,5.488451
"Kutahya","KÜTahya",8,30.6,40.3,8.335,9.255835,6.4056,6.517026
"Kutahya","KÜTahya",7,30.2,38.2,4.0303,4.47556,5.6649,5.768236
"Kutahya","KÜTahya",6.5,30.05,40.35,1.4019,1.556779,4.6877,4.779422
"Kutahya","KÜTahya",7,29,39.5,3.6326,4.033923,5.5635,5.66573
"Kutahya","KÜTahya",6.5,29,39.35,2.0063,2.227952,5.0062,5.10187
"Kutahya","KÜTahya",7,31.55,39.25,3.144,3.491343,5.4245,5.525101
"Kutahya","KÜTahya",7,30.7,39.15,6.9678,7.737589,6.2178,6.327217
"Kutahya","KÜTahya",6,29.75,39.45,1.9437,2.158436,4.9775,5.072809
"Kutahya","KÜTahya",8,28.85,39.5,9.504,10.55398,6.5453,6.658226
"Kutahya","KÜTahya",7.5,30,37.95,5.7077,6.338276,6.0126,6.119869
"Kutahya","KÜTahya",7.5,30.05,40.3,5.2226,5.799583,5.9226,6.028899
"Kutahya","KÜTahya",6.5,30.25,38.5,3.2194,3.575073,5.4471,5.548022
"Kutahya","KÜTahya",6,29,39.7,.79223,.8797541,4.2087,4.294041
"Kutahya","KÜTahya",6.5,30.6,37.95,1.5483,1.719353,4.7746,4.867412
"Kutahya","KÜTahya",7,30.4,39.9,3.9849,4.425144,5.6537,5.757003
"Kutahya","KÜTahya",8,30.25,40.2,9.066,10.06759,6.4949,6.607258
"Kutahya","KÜTahya",6.5,30.55,40,1.8162,2.01685,4.9164,5.010965
"Kutahya","KÜTahya",6,28.4,39,.62148,.6901399,4.0153,4.098023
"Kutahya","KÜTahya",7.5,30.4,38.45,8.729,9.693363,6.4546,6.566508
"Kutahya","KÜTahya",6.5,30.55,39.7,2.5122,2.789743,5.2129,5.311071
"Kutahya","KÜTahya",6,28.55,39.5,.64528,.7165693,4.0449,4.127962
"Kutahya","KÜTahya",7.5,31.2,38.65,6.5026,7.220995,6.1462,6.254919
"Kutahya","KÜTahya",7,29.65,38.15,3.598,3.9955,5.5542,5.656345
"Kutahya","KÜTahya",8,29.25,38.5,10.926,12.13308,6.6958,6.810223
"Kutahya","KÜTahya",7.5,30.35,39.6,9.6193,10.68202,6.5583,6.67129
"Kutahya","KÜTahya",6,30.95,39.05,1.3816,1.534237,4.675,4.766589
"Kutahya","KÜTahya",7,30.1,39.2,19.207,21.32895,7.3255,7.446146
"Kutahya","KÜTahya",6,29.2,38.1,.70204,.7796,4.1116,4.195668
"Kutahya","KÜTahya",7.5,31.25,39,6.8142,7.56702,6.1946,6.303838
"Kutahya","KÜTahya",7.5,30.4,39.35,13.569,15.06808,6.9336,7.050461
"Kutahya","KÜTahya",7.5,29.55,38.85,11.019,12.23636,6.705,6.819529
"Kutahya","KÜTahya",7.5,29.45,38.15,5.9968,6.659315,6.063,6.170835
"Kutahya","KÜTahya",7.5,30.7,39.25,10.763,11.95208,6.6795,6.793739
"Kutahya","KÜTahya",6,30.9,38.65,1.2033,1.336238,4.5561,4.646134
"Kutahya","KÜTahya",7.5,31.45,39.55,5.561,6.175369,5.9862,6.093114
"Kutahya","KÜTahya",7.5,31.75,38.7,4.9612,5.509304,5.871,5.976688
"Kutahya","KÜTahya",7.5,29.45,37.95,5.2936,5.878427,5.9363,6.042675
"Kutahya","KÜTahya",8,30.15,39.6,15.048,16.71047,7.049,7.166935
"Kutahya","KÜTahya",6.5,29.8,39.85,2.2039,2.447383,5.0919,5.188612
"Kutahya","KÜTahya",8,29.2,38.15,9.0367,10.03506,6.4915,6.60377
"Kutahya","KÜTahya",6.5,30.35,38.2,2.0752,2.304464,5.0369,5.132942
"Kutahya","KÜTahya",8,31.1,38.25,9.2244,10.24349,6.5134,6.625942
"Kutahya","KÜTahya",7.5,30.15,40.25,5.3966,5.992806,5.9558,6.062368
"Kutahya","KÜTahya",7,31.05,39,4.6571,5.171607,5.8078,5.912754
"Kutahya","KÜTahya",7,29.95,39.4,8.7057,9.667489,6.4517,6.563638
"Kutahya","KÜTahya",8,30.1,39.75,12.773,14.18414,6.8668,6.982924
"Kutahya","KÜTahya",7.5,31.5,38.35,5.0541,5.612467,5.8896,5.99552
"Kutahya","KÜTahya",8,31.05,38.85,11.986,13.31019,6.7968,6.912295
"Kutahya","KÜTahya",6.5,28.55,38.95,1.4914,1.656167,4.7417,4.834122
"Kutahya","KÜTahya",7.5,29.15,38.5,6.5534,7.277407,6.1543,6.263036
"Kutahya","KÜTahya",6.5,30.3,37.9,1.5551,1.726905,4.7785,4.871318
"Kutahya","KÜTahya",6.5,29.3,38.9,2.8187,3.130105,5.3208,5.420235
"Kutahya","KÜTahya",8,29.15,38.35,9.7542,10.83183,6.5732,6.686397
"Kutahya","KÜTahya",6.5,31.5,39.75,1.4184,1.575102,4.6979,4.789733
"Kutahya","KÜTahya",6,29.05,39.95,.69078,.767096,4.0988,4.182624
"Kutahya","KÜTahya",7.5,28.95,39,6.7278,7.471075,6.1814,6.290479
"Kutahya","KÜTahya",7,30.25,37.85,2.958,3.284794,5.3664,5.466394
"Kutahya","KÜTahya",6,29.45,37.95,.68312,.7585898,4.0899,4.173645
"Kutahya","KÜTahya",7.5,29,39.4,6.5982,7.327157,6.1613,6.270148
"Kutahya","KÜTahya",8,30.15,40.25,8.8306,9.806188,6.4669,6.578941
"Kutahya","KÜTahya",6.5,29.45,40.1,1.5658,1.738787,4.7845,4.877434
"Kutahya","KÜTahya",6,30.25,40.15,.77091,.8560787,4.1866,4.271701
"Kutahya","KÜTahya",7,29.45,38.55,4.7188,5.240124,5.8209,5.926023
"Kutahya","KÜTahya",6.5,30.9,38.8,2.7407,3.043487,5.2944,5.393495
"Kutahya","KÜTahya",7,30.45,39.95,3.7582,4.173399,5.5965,5.699143
"Kutahya","KÜTahya",7,28.4,38.9,2.7066,3.00562,5.2826,5.381591
"Kutahya","KÜTahya",7.5,31.05,39.15,7.9043,8.777552,6.3496,6.460464
