location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Malatya","Malatya",6.5,37.6,37.2,1.5355,1.705139,4.7673,4.860018
"Malatya","Malatya",6,37.5,39.55,.66031,.7332598,4.063,4.146379
"Malatya","Malatya",7.5,37.6,37.2,5.4348,6.035226,5.9629,6.069587
"Malatya","Malatya",6,38.55,39.5,.67222,.7464856,4.0771,4.160716
"Malatya","Malatya",6,37.65,38.85,1.6274,1.807192,4.8186,4.911942
"Malatya","Malatya",6,38.4,38.8,1.6236,1.802972,4.8165,4.909847
"Malatya","Malatya",6.5,38.15,39.3,1.886,2.094362,4.9503,5.04528
"Malatya","Malatya",8,37.1,39.15,9.6081,10.66958,6.557,6.670028
"Malatya","Malatya",7,37.1,39.5,2.7047,3.00351,5.282,5.380924
"Malatya","Malatya",6,38.1,38.4,8.6791,9.637951,6.4485,6.560354
"Malatya","Malatya",6.5,37.2,38.3,3.015,3.348092,5.3845,5.484726
"Malatya","Malatya",6,38.5,38.7,1.6903,1.877041,4.8522,4.94601
"Malatya","Malatya",6.5,38.55,38.9,2.5516,2.833496,5.2274,5.325746
"Malatya","Malatya",8,36.6,37.95,9.0602,10.06115,6.4942,6.606568
"Malatya","Malatya",7.5,37.25,37.95,8.3033,9.220633,6.4016,6.512954
"Malatya","Malatya",6,37.45,37.45,.87071,.9669044,4.2856,4.371996
"Malatya","Malatya",7,39,38.45,4.2424,4.711092,5.7153,5.81926
"Malatya","Malatya",8,37.85,38.25,36.924,41.00329,8.097,8.224943
"Malatya","Malatya",8,38.75,37.85,11.702,12.99481,6.7706,6.885774
"Malatya","Malatya",6,38.1,39.25,.95122,1.056309,4.3584,4.445837
"Malatya","Malatya",6.5,38.65,38.85,2.4934,2.768866,5.2059,5.303997
"Malatya","Malatya",6,39.15,38.5,.92169,1.023517,4.3324,4.419411
"Malatya","Malatya",6,36.65,38.7,.77462,.8601986,4.1905,4.275627
"Malatya","Malatya",7.5,38.5,38.5,11.785,13.08698,6.7783,6.893585
"Malatya","Malatya",7.5,36.85,39.1,5.5335,6.144831,5.9811,6.088028
"Malatya","Malatya",7,37.55,38.2,8.763,9.731119,6.4587,6.570683
"Malatya","Malatya",7,38.5,38.75,5.7574,6.393466,6.0215,6.128793
"Malatya","Malatya",7,37,38.15,4.3673,4.849791,5.744,5.848248
"Malatya","Malatya",8,38.5,37.1,8.2699,9.183543,6.3973,6.508648
"Malatya","Malatya",7.5,36.75,37.65,5.4165,6.014904,5.9595,6.066134
"Malatya","Malatya",6,39.35,38.6,.76188,.846051,4.1771,4.262077
"Malatya","Malatya",7.5,38.75,37.15,4.9085,5.450782,5.8603,5.965865
"Malatya","Malatya",7.5,36.95,38.4,7.381,8.196439,6.2778,6.387879
"Malatya","Malatya",6,38.1,37.05,.63769,.7081408,4.0355,4.11852
"Malatya","Malatya",6,38.8,39.35,.70096,.7784007,4.1104,4.194425
"Malatya","Malatya",7.5,38.3,39.1,7.4188,8.238415,6.2831,6.393275
"Malatya","Malatya",7.5,38.3,37.7,8.2666,9.179878,6.3969,6.508222
"Malatya","Malatya",8,36.95,38.35,11.572,12.85045,6.7584,6.873439
"Malatya","Malatya",6.5,36.7,39.05,1.4907,1.65539,4.7413,4.833705
"Malatya","Malatya",8,38.5,39.4,9.147,10.15754,6.5044,6.616849
"Malatya","Malatya",6.5,37.9,37.1,1.4552,1.615968,4.7203,4.812355
"Malatya","Malatya",6.5,37.4,38.65,3.3827,3.756414,5.4946,5.596067
"Malatya","Malatya",6.5,38.6,39.4,1.561,1.733456,4.7818,4.874695
"Malatya","Malatya",8,38.65,39.25,9.6402,10.70523,6.5606,6.673644
"Malatya","Malatya",6.5,36.85,39.15,1.527,1.6957,4.7625,4.855078
"Malatya","Malatya",6,37.05,37.35,.67655,.751294,4.0822,4.165874
"Malatya","Malatya",7,36.65,38.65,3.2897,3.65314,5.4678,5.568965
"Malatya","Malatya",7.5,37,37.7,6.2,6.884964,6.0972,6.205353
"Malatya","Malatya",8,39.5,38.2,8.7495,9.716128,6.4571,6.569027
"Malatya","Malatya",8,37.15,39.2,9.5179,10.56942,6.5469,6.659809
"Malatya","Malatya",6.5,39,38.15,2.194,2.436389,5.0878,5.184434
"Malatya","Malatya",7.5,38.65,39.15,6.389,7.094845,6.1281,6.236559
"Malatya","Malatya",7.5,38.15,38.05,14.902,16.54835,7.038,7.15591
"Malatya","Malatya",6,36.3,38.3,.63066,.7003341,4.0268,4.109687
"Malatya","Malatya",7,39.45,37.75,2.7633,3.068584,5.3021,5.401311
"Malatya","Malatya",8,38.15,38.05,21.133,23.46773,7.4355,7.557198
"Malatya","Malatya",7,37.5,37.95,6.1098,6.784799,6.0822,6.190158
"Malatya","Malatya",7,38.15,39.1,4.4673,4.960839,5.7664,5.870929
"Malatya","Malatya",7,37.3,38.05,5.5383,6.150161,5.982,6.088918
"Malatya","Malatya",8,36.5,38.4,9.0266,10.02384,6.4903,6.602565
"Malatya","Malatya",7,38.45,38.75,6.0117,6.675861,6.0656,6.173401
"Malatya","Malatya",7.5,37.9,37.35,6.2201,6.907285,6.1005,6.208713
"Malatya","Malatya",8,38.35,38.55,19.799,21.98636,7.3603,7.481319
"Malatya","Malatya",6.5,37.65,37.65,2.4685,2.741215,5.1966,5.294553
"Malatya","Malatya",6.5,38.75,38.55,2.8416,3.155535,5.3284,5.427961
"Malatya","Malatya",6.5,38.75,37.15,1.3476,1.49648,4.6535,4.744719
"Malatya","Malatya",7.5,38.65,37.85,7.9682,8.848512,6.3581,6.469028
"Malatya","Malatya",6,38.5,37.15,.65643,.7289512,4.0584,4.141659
"Malatya","Malatya",8,37.95,37,8.1366,9.035516,6.3801,6.491307
