location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Maltepe","Maltepe",6,28.45,41.5,1.1574,1.285267,4.523,4.612594
"Maltepe","Maltepe",8,29.45,41.15,21.558,23.93969,7.4585,7.580459
"Maltepe","Maltepe",7.5,28.3,40.15,6.142,6.820557,6.0876,6.195606
"Maltepe","Maltepe",7.5,28.45,41.95,5.6065,6.225895,5.9944,6.10148
"Maltepe","Maltepe",8,27.6,41.55,8.2896,9.20542,6.3998,6.51119
"Maltepe","Maltepe",7,29.85,41.8,3.4746,3.858467,5.5205,5.622203
"Maltepe","Maltepe",7.5,30.55,41.2,5.7684,6.405682,6.0234,6.130759
"Maltepe","Maltepe",7.5,28.05,41.65,5.8177,6.460428,6.0321,6.139528
"Maltepe","Maltepe",8,28.65,41.95,9.4658,10.51156,6.541,6.653866
"Maltepe","Maltepe",6.5,28,40.65,2.0054,2.226953,5.0058,5.101458
"Maltepe","Maltepe",7.5,29.7,41.5,8.1868,9.091262,6.3866,6.497867
"Maltepe","Maltepe",8,28.5,39.85,8.8388,9.815294,6.4679,6.579938
"Maltepe","Maltepe",6.5,27.75,41.75,1.3712,1.522688,4.6685,4.75995
"Maltepe","Maltepe",7.5,27.95,40.9,6.7505,7.496283,6.1849,6.294004
"Maltepe","Maltepe",8,30.15,41.35,10.97,12.18194,6.7002,6.814634
"Maltepe","Maltepe",6,28.55,40.65,1.7444,1.937118,4.8803,4.974428
"Maltepe","Maltepe",6.5,30.05,39.85,1.4051,1.560333,4.6897,4.78143
"Maltepe","Maltepe",7.5,28.75,40.55,10.943,12.15196,6.6975,6.811929
"Maltepe","Maltepe",6,29.85,40.55,1.3557,1.505475,4.6587,4.749972
"Maltepe","Maltepe",7.5,27.85,41,6.3306,7.029993,6.1186,6.227006
"Maltepe","Maltepe",7,30.05,40.8,4.8352,5.369384,5.8452,5.950636
"Maltepe","Maltepe",6,29.7,41.6,1.1224,1.246401,4.497,4.586225
"Maltepe","Maltepe",7,28.6,41.3,6.0864,6.758814,6.0782,6.186183
"Maltepe","Maltepe",7.5,29.9,40.3,6.9851,7.756801,6.2204,6.329821
"Maltepe","Maltepe",7,28.5,40.65,5.9103,6.563259,6.0482,6.155821
"Maltepe","Maltepe",6.5,28.6,41.05,4.3448,4.824805,5.7389,5.843081
"Maltepe","Maltepe",7.5,28.9,41.25,13.813,15.33903,6.9535,7.070445
"Maltepe","Maltepe",6,30.35,40.8,.93265,1.035687,4.3421,4.429304
"Maltepe","Maltepe",8,30.3,40.75,10.703,11.88545,6.6734,6.787614
"Maltepe","Maltepe",8,28.85,41.4,15.678,17.41008,7.095,7.213421
"Maltepe","Maltepe",6,29.3,40.25,1.2815,1.423078,4.61,4.700773
"Maltepe","Maltepe",6,29.35,40.1,1.024,1.13713,4.4198,4.508027
"Maltepe","Maltepe",7,28.35,42,2.9515,3.277576,5.3643,5.464284
"Maltepe","Maltepe",8,29.5,39.75,8.7006,9.661826,6.4511,6.563009
"Maltepe","Maltepe",6,30.7,40.45,.64809,.7196897,4.0483,4.131433
"Maltepe","Maltepe",7,30.3,40.25,3.1826,3.534208,5.4361,5.536896
"Maltepe","Maltepe",7.5,30.25,40.05,5.2813,5.864768,5.9339,6.0403
"Maltepe","Maltepe",7,28.35,41.55,4.0657,4.514871,5.6734,5.776916
"Maltepe","Maltepe",7,30.2,39.9,2.7494,3.053149,5.2973,5.396511
"Maltepe","Maltepe",6.5,27.95,40.3,1.6452,1.826959,4.8282,4.9217
"Maltepe","Maltepe",6,30.3,41,.989,1.098263,4.3908,4.47862
"Maltepe","Maltepe",6,29,39.65,.64182,.7127271,4.0406,4.12367
"Maltepe","Maltepe",7,28.2,41.85,3.0973,3.439484,5.4102,5.510658
"Maltepe","Maltepe",7.5,30.05,42,5.156,5.725625,5.9097,6.015823
"Maltepe","Maltepe",6,30.15,41.75,.75936,.8432527,4.1745,4.259374
"Maltepe","Maltepe",7,27.95,40.9,3.8768,4.305101,5.6268,5.72979
"Maltepe","Maltepe",7,30.55,40.2,2.7754,3.082021,5.3062,5.405473
"Maltepe","Maltepe",8,29.9,40.65,13.408,14.88929,6.9204,7.037096
"Maltepe","Maltepe",6,29.6,41.1,2.4902,2.765313,5.2047,5.302788
"Maltepe","Maltepe",6.5,29.95,41.4,2.3812,2.64427,5.1632,5.260763
"Maltepe","Maltepe",7.5,29.25,41.85,6.6459,7.380126,6.1688,6.277672
"Maltepe","Maltepe",7,27.75,41.15,3.3167,3.683123,5.4757,5.576903
"Maltepe","Maltepe",6.5,29.05,40,1.9376,2.151662,4.9746,5.069933
"Maltepe","Maltepe",8,28.4,40.25,10.799,11.99205,6.6831,6.797399
"Maltepe","Maltepe",8,27.9,40.8,10.334,11.47568,6.6354,6.749251
"Maltepe","Maltepe",6.5,28,41.05,2.1036,2.336002,5.0493,5.145485
"Maltepe","Maltepe",7,30.1,41.7,3.3676,3.739646,5.4903,5.591712
"Maltepe","Maltepe",7.5,28.3,41.65,6.4546,7.167692,6.1386,6.247197
"Maltepe","Maltepe",7.5,29.1,40.05,6.8153,7.568242,6.1948,6.304008
"Maltepe","Maltepe",7,29.1,39.85,3.2634,3.623934,5.4601,5.561177
"Maltepe","Maltepe",7,29.8,40.2,3.9011,4.332086,5.6329,5.735966
"Maltepe","Maltepe",6.5,29.4,40.45,3.4794,3.863797,5.5218,5.623551
"Maltepe","Maltepe",6,30.6,41.2,.74387,.8260514,4.1579,4.242582
"Maltepe","Maltepe",6,30.4,40.25,.71115,.7897165,4.1219,4.206088
"Maltepe","Maltepe",6.5,29.25,41.4,3.8946,4.324868,5.6313,5.734317
"Maltepe","Maltepe",7,29.4,42,3.2826,3.645255,5.4658,5.566868
"Maltepe","Maltepe",8,30.3,41,10.86,12.05979,6.6893,6.803576
"Maltepe","Maltepe",6,27.9,40.55,.84194,.934956,4.2581,4.344158
"Maltepe","Maltepe",7.5,28.45,41.8,6.1769,6.859312,6.0934,6.201481
"Maltepe","Maltepe",7,29.15,40.25,4.9343,5.479432,5.8655,5.971177
"Maltepe","Maltepe",8,28.4,41.4,12.402,13.77215,6.8343,6.950134
"Maltepe","Maltepe",6,30.5,40.8,.82005,.9106476,4.2367,4.322415
"Maltepe","Maltepe",8,27.45,41.3,8.2313,9.140678,6.3924,6.503653
"Maltepe","Maltepe",6.5,29.5,40.95,6.6578,7.393341,6.1706,6.279542
"Maltepe","Maltepe",8,29.9,40.9,14.449,16.0453,7.0035,7.121069
"Maltepe","Maltepe",7.5,30.05,40.95,8.3254,9.245174,6.4044,6.515795
"Maltepe","Maltepe",6.5,30.8,41.4,1.3584,1.508474,4.6604,4.751718
"Maltepe","Maltepe",8,28.6,40.85,17.996,19.98416,7.2511,7.371017
"Maltepe","Maltepe",8,30.35,41.1,10.467,11.62337,6.6492,6.763219
"Maltepe","Maltepe",7.5,29.45,40.8,17.104,18.99362,7.1933,7.312681
"Maltepe","Maltepe",8,28.75,41.85,10.248,11.38018,6.6264,6.740132
"Maltepe","Maltepe",7.5,29.9,40.55,8.2666,9.179878,6.3969,6.508222
"Maltepe","Maltepe",7.5,28.9,41.7,7.5229,8.354015,6.2977,6.408009
"Maltepe","Maltepe",6.5,28.1,40.6,2.1307,2.366096,5.061,5.157314
"Maltepe","Maltepe",7.5,30.5,40.3,5.32,5.907743,5.9413,6.047755
"Maltepe","Maltepe",7,28,41.05,4.0063,4.448908,5.659,5.762312
"Maltepe","Maltepe",6,28.6,40.95,2.3407,2.599296,5.1473,5.244712
"Maltepe","Maltepe",8,29.55,41.2,18.273,20.29177,7.2685,7.388598
"Maltepe","Maltepe",7,29.9,40.9,5.7747,6.412678,6.0245,6.131883
"Maltepe","Maltepe",7,30.85,40.6,2.7039,3.002622,5.2817,5.380643
"Maltepe","Maltepe",8,29.75,41.15,15.739,17.47782,7.0994,7.217832
"Maltepe","Maltepe",6,29.4,41.95,.82668,.9180101,4.2432,4.329053
"Maltepe","Maltepe",6.5,29.5,39.8,1.5512,1.722574,4.7763,4.86908
"Maltepe","Maltepe",8,27.65,40.5,8.7456,9.711798,6.4566,6.568548
"Maltepe","Maltepe",7.5,28.15,40.25,6.1187,6.794683,6.0837,6.191666
"Maltepe","Maltepe",8,28.9,40.65,20.618,22.89584,7.407,7.528435
