location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Manisa","ManİSa",7,27.1,39.2,3.7064,4.115876,5.583,5.685485
"Manisa","ManİSa",7,29.15,39,3.3381,3.706887,5.4819,5.583154
"Manisa","ManİSa",6,28.35,39.7,.68134,.7566131,4.0878,4.171546
"Manisa","ManİSa",7,27.3,38.8,5.8087,6.450434,6.0305,6.137932
"Manisa","ManİSa",7,28.55,37.45,3.0526,3.389845,5.3963,5.496651
"Manisa","ManİSa",6,26.8,37.6,.64684,.7183017,4.0468,4.12989
"Manisa","ManİSa",8,27.65,38.15,17.561,19.50111,7.2232,7.342905
"Manisa","ManİSa",6,28.95,38.75,1.0647,1.182326,4.4525,4.541137
"Manisa","ManİSa",6.5,28.6,37.4,1.471,1.633513,4.7297,4.821914
"Manisa","ManİSa",7,26.45,38.65,3.0529,3.390179,5.3964,5.496746
"Manisa","ManİSa",7.5,28.1,39.2,8.2768,9.191205,6.3982,6.509539
"Manisa","ManİSa",8,27.8,39.4,10.781,11.97206,6.6813,6.79557
"Manisa","ManİSa",6,26.7,37.8,.69103,.7673737,4.099,4.182916
"Manisa","ManİSa",6.5,28.65,38.15,2.7354,3.037602,5.2926,5.391653
"Manisa","ManİSa",7,27.45,38.05,5.5364,6.148051,5.9817,6.088566
"Manisa","ManİSa",7,28.65,38.1,4.8724,5.410694,5.8529,5.95839
"Manisa","ManİSa",7.5,28.25,37.65,6.7336,7.477515,6.1823,6.29138
"Manisa","ManİSa",7.5,27.25,37.95,7.5188,8.349463,6.2971,6.407432
"Manisa","ManİSa",7,27.45,39.15,4.6279,5.139182,5.8015,5.90642
"Manisa","ManİSa",8,26.85,37.7,8.8743,9.854716,6.4721,6.584249
"Manisa","ManİSa",8,29.4,38.35,9.0147,10.01063,6.4888,6.601144
"Manisa","ManİSa",8,28.55,38.85,14.367,15.95424,6.9972,7.114657
"Manisa","ManİSa",6.5,27.1,38.6,2.7659,3.071471,5.303,5.402207
"Manisa","ManİSa",6.5,28.55,38.45,3.7889,4.20749,5.6045,5.707158
"Manisa","ManİSa",6,29,38.75,1.0127,1.124581,4.4105,4.498631
"Manisa","ManİSa",6,28.25,38.8,2.577,2.861702,5.2367,5.335101
"Manisa","ManİSa",6,28.95,38.8,1.043,1.158229,4.4352,4.523624
"Manisa","ManİSa",6.5,27.35,37.6,1.7693,1.964769,4.893,4.987247
"Manisa","ManİSa",6,29.3,37.8,.64346,.7145482,4.0426,4.125707
"Manisa","ManİSa",6.5,28.05,37.4,1.6205,1.79953,4.8148,4.908135
"Manisa","ManİSa",6,29.15,39.25,.70115,.7786117,4.1106,4.194643
"Manisa","ManİSa",6,27.85,37.7,1.0693,1.187434,4.4561,4.544809
"Manisa","ManİSa",6,27.45,39.7,.67089,.7450086,4.0756,4.159126
"Manisa","ManİSa",7.5,28.45,39.6,5.5426,6.154936,5.9828,6.089714
"Manisa","ManİSa",6,28.7,39.4,.79941,.8877273,4.216,4.301446
"Manisa","ManİSa",7,27.6,39.55,3.3248,3.692118,5.478,5.579273
"Manisa","ManİSa",7,27.35,38.6,6.9677,7.737478,6.2177,6.327201
"Manisa","ManİSa",7,29.4,38.35,3.0865,3.427491,5.4069,5.50729
"Manisa","ManİSa",7.5,27.2,38.2,8.6064,9.557219,6.4395,6.551331
"Manisa","ManİSa",7,27.65,38.1,6.8713,7.630428,6.2033,6.312584
"Manisa","ManİSa",6,28.6,38.85,1.4794,1.642841,4.7347,4.826958
"Manisa","ManİSa",8,29.1,39.45,8.3368,9.257833,6.4058,6.517257
"Manisa","ManİSa",6.5,27.7,37.7,2.1739,2.414068,5.0793,5.175899
"Manisa","ManİSa",8,27.35,39.45,9.7002,10.77186,6.5673,6.680373
"Manisa","ManİSa",7,28.95,39.05,3.6822,4.089003,5.5767,5.679047
"Manisa","ManİSa",6.5,29.4,38.6,1.5848,1.759886,4.7952,4.888204
"Manisa","ManİSa",7.5,26.8,38,6.0465,6.714506,6.0715,6.179374
"Manisa","ManİSa",6,27.45,37.6,.86104,.9561661,4.2764,4.36273
"Manisa","ManİSa",8,27.45,39.7,8.5913,9.54045,6.4377,6.549448
"Manisa","ManİSa",7.5,28.55,39.65,5.2734,5.855995,5.9324,6.038773
"Manisa","ManİSa",7.5,28.4,38.15,10.45,11.6045,6.6476,6.761443
"Manisa","ManİSa",6,27.4,38.4,2.1575,2.395857,5.0724,5.168882
"Manisa","ManİSa",7.5,27.25,37.35,5.0791,5.640229,5.8946,6.000535
"Manisa","ManİSa",8,27.45,38.7,17.795,19.76096,7.2383,7.358105
"Manisa","ManİSa",6,29,39.1,.84496,.9383096,4.261,4.347119
"Manisa","ManİSa",6.5,27.2,38.95,2.5353,2.815395,5.2214,5.3197
"Manisa","ManİSa",8,27.7,37.35,8.8817,9.862933,6.473,6.585145
"Manisa","ManİSa",6,28.55,38.55,1.9503,2.165766,4.9806,5.075912
"Manisa","ManİSa",7,27.5,39.8,2.7274,3.028718,5.2898,5.388868
"Manisa","ManİSa",7,29.25,39.15,2.983,3.312556,5.3744,5.474473
"Manisa","ManİSa",8,27.6,38.9,16.708,18.55387,7.1668,7.285893
"Manisa","ManİSa",6,28.6,37.6,.80603,.8950787,4.2226,4.308222
"Manisa","ManİSa",6.5,28.45,38.8,3.7435,4.157075,5.5927,5.695284
"Manisa","ManİSa",8,28.85,39.35,9.3671,10.40196,6.5298,6.642528
"Manisa","ManİSa",7.5,26.55,37.85,5.105,5.668991,5.8997,6.005707
"Manisa","ManİSa",6.5,28.45,38.65,4.3484,4.828803,5.7397,5.84391
"Manisa","ManİSa",7.5,28.7,38.1,7.963,8.842737,6.3574,6.468334
"Manisa","ManİSa",8,27.85,39.05,15.164,16.83929,7.0576,7.175625
"Manisa","ManİSa",7,27.9,38.95,7.452,8.275283,6.2878,6.397994
"Manisa","ManİSa",6.5,29,39.1,1.798,1.99664,4.9074,5.001826
"Manisa","ManİSa",6,28.9,37.5,.65501,.7273743,4.0566,4.139926
"Manisa","ManİSa",7.5,29.35,38.6,5.7252,6.357709,6.0157,6.123019
"Manisa","ManİSa",7.5,29.65,38.45,4.9171,5.460332,5.8621,5.967638
"Manisa","ManİSa",7,29.05,38.45,3.9806,4.420369,5.6527,5.755933
"Manisa","ManİSa",7,28.25,37.2,2.7027,3.001289,5.2813,5.380221
"Manisa","ManİSa",7,28.6,37.55,3.2336,3.590842,5.4513,5.552285
"Manisa","ManİSa",7.5,27.45,38.65,12.641,14.03755,6.8553,6.971357
"Manisa","ManİSa",8,26.95,38.65,11.741,13.03812,6.7742,6.88945
"Manisa","ManİSa",8,28.55,37.4,8.7098,9.672042,6.4522,6.564144
"Manisa","ManİSa",8,27.65,38.5,26.837,29.8019,7.7147,7.839099
"Manisa","ManİSa",7.5,28.95,38.55,7.4592,8.283278,6.2888,6.399015
"Manisa","ManİSa",6.5,27.95,37.95,3.2246,3.580848,5.4487,5.549585
"Manisa","ManİSa",7,28.15,39.65,3.1172,3.461582,5.4163,5.516836
"Manisa","ManİSa",7,26.75,39.25,3.032,3.36697,5.3899,5.490134
"Manisa","ManİSa",7,28.35,38.5,9.6809,10.75043,6.5651,6.678212
"Manisa","ManİSa",6.5,29.25,39.4,1.3433,1.491705,4.6507,4.741918
"Manisa","ManİSa",6.5,29.45,38.5,1.5345,1.704029,4.7667,4.859438
"Manisa","ManİSa",7.5,27.9,37.7,7.2702,8.073398,6.262,6.371919
"Manisa","ManİSa",7.5,28.4,39.15,7.9748,8.855841,6.359,6.46991
"Manisa","ManİSa",7.5,29.35,37.9,5.1368,5.704304,5.9059,6.012025
"Manisa","ManİSa",7,27.75,37.25,2.825,3.137101,5.3229,5.422366
"Manisa","ManİSa",8,27.45,37.6,9.9886,11.09212,6.5988,6.712204
"Manisa","ManİSa",8,27.7,38.2,19.515,21.67098,7.3437,7.464567
"Manisa","ManİSa",7.5,27.45,38.95,9.5777,10.63583,6.5536,6.666594
"Manisa","ManİSa",6,27.85,38.25,3.5743,3.969182,5.5478,5.64987
"Manisa","ManİSa",6.5,28.65,39.15,2.1681,2.407628,5.0769,5.173422
"Manisa","ManİSa",8,28.15,37.8,12.249,13.60225,6.8206,6.936353
"Manisa","ManİSa",7.5,26.55,39.25,5.0233,5.578265,5.8835,5.989311
"Manisa","ManİSa",7,28.25,37.85,4.7869,5.315748,5.8352,5.940488
"Manisa","ManİSa",7,29.3,39.2,2.856,3.171525,5.3332,5.43279
"Manisa","ManİSa",8,26.85,38.4,11.023,12.2408,6.7054,6.819927
"Manisa","ManİSa",7,27.15,38.9,4.7062,5.226132,5.8182,5.923326
"Manisa","ManİSa",6,29,38.8,.99382,1.103615,4.3948,4.482723
"Manisa","ManİSa",7,28.95,38.25,4.1341,4.590827,5.6898,5.793499
"Manisa","ManİSa",8,28.45,38.65,17.85,19.82203,7.2418,7.361651
"Manisa","ManİSa",6,28,39.75,.67601,.7506943,4.0816,4.165232
"Manisa","ManİSa",7.5,27.55,39.65,5.4717,6.076203,5.9697,6.076516
"Manisa","ManİSa",7,28.45,39.8,2.6987,2.996847,5.2799,5.378815
"Manisa","ManİSa",7,29.3,37.75,2.7449,3.048151,5.2958,5.394952
"Manisa","ManİSa",6.5,27.75,38.6,10.506,11.66668,6.6533,6.767284
"Manisa","ManİSa",6.5,27.35,39.7,1.4304,1.588428,4.7052,4.797166
"Manisa","ManİSa",6.5,27.95,39.2,2.6772,2.972972,5.2724,5.371221
"Manisa","ManİSa",8,27.7,38.3,23.03,25.57431,7.5352,7.657919
"Manisa","ManİSa",6,26.8,37.55,.62676,.6960033,4.022,4.10475
"Manisa","ManİSa",7.5,26.5,38.65,5.623,6.244218,5.9974,6.104498
"Manisa","ManİSa",7,27.8,38.7,13.884,15.41788,6.9591,7.0762
"Manisa","ManİSa",8,28.45,39.7,8.5653,9.511579,6.4345,6.546199
"Manisa","ManİSa",6.5,29.45,38.45,1.5316,1.700808,4.7651,4.857755
"Manisa","ManİSa",7.5,29.25,37.85,5.273,5.855551,5.9323,6.038695
"Manisa","ManİSa",7,27.6,39.4,3.7919,4.210822,5.6052,5.707938
"Manisa","ManİSa",6,28.25,39.55,.80132,.8898483,4.2179,4.303406
"Manisa","ManİSa",6.5,29.15,38.9,1.7835,1.980538,4.9001,4.994486
"Manisa","ManİSa",7.5,26.5,38.2,5.4723,6.076869,5.9699,6.076629
"Manisa","ManİSa",6,28.25,39.65,.72577,.8059517,4.1382,4.222571
"Manisa","ManİSa",7.5,26.8,38.9,6.3688,7.072413,6.1248,6.233264
"Manisa","ManİSa",7.5,27.4,38.8,10.599,11.76996,6.6628,6.776924
"Manisa","ManİSa",6,28.45,38,1.3765,1.528573,4.6718,4.763339
"Manisa","ManİSa",8,29.4,38.65,9.0515,10.05149,6.4932,6.605533
"Manisa","ManİSa",7.5,27.6,38.8,13.078,14.52283,6.8928,7.00924
"Manisa","ManİSa",7.5,28.55,38.15,9.2302,10.24994,6.5141,6.626621
"Manisa","ManİSa",8,29.1,38.45,10.599,11.76996,6.6628,6.776924
"Manisa","ManİSa",8,29,37.75,9.1382,10.14777,6.5034,6.61581
"Manisa","ManİSa",7,27.85,37.4,3.1792,3.530432,5.4351,5.535862
"Manisa","ManİSa",7,27.35,39.45,3.402,3.777847,5.5001,5.601608
"Manisa","ManİSa",7,27.05,37.85,3.6319,4.033145,5.5633,5.665542
"Manisa","ManİSa",6,29.05,39.05,.84001,.9328127,4.2562,4.342261
"Manisa","ManİSa",7.5,28.6,37.8,6.8253,7.579346,6.1963,6.305543
"Manisa","ManİSa",7.5,28.25,38.75,14.568,16.17744,7.0127,7.130317
"Manisa","ManİSa",6,28.95,39.3,.76133,.8454403,4.1765,4.261488
"Manisa","ManİSa",8,26.55,38.95,8.9656,9.956102,6.483,6.595263
"Manisa","ManİSa",7.5,26.75,37.85,5.5613,6.175702,5.9862,6.09317
"Manisa","ManİSa",7,26.65,39.25,2.8951,3.214945,5.3461,5.445796
"Manisa","ManİSa",7,28.95,39.35,3.1145,3.458584,5.4155,5.516
"Manisa","ManİSa",7,26.75,39.5,2.6879,2.984854,5.2761,5.375007
"Manisa","ManİSa",7.5,27.95,38.25,17.358,19.27568,7.21,7.329568
"Manisa","ManİSa",7,27.05,38.25,4.5837,5.090098,5.7919,5.896764
"Manisa","ManİSa",7.5,28.95,38.3,7.2435,8.043748,6.2582,6.36804
"Manisa","ManİSa",7,28.4,38.85,6.6795,7.417439,6.174,6.282943
"Manisa","ManİSa",6.5,26.8,39.2,1.6235,1.802861,4.8165,4.909792
"Manisa","ManİSa",8,26.9,38.95,10.546,11.7111,6.6574,6.77144
"Manisa","ManİSa",7,27.95,39.65,3.1465,3.494119,5.4252,5.525869
"Manisa","ManİSa",8,28.25,39.05,14.309,15.88983,6.9927,7.110102
"Manisa","ManİSa",6,29.3,37.75,.62765,.6969916,4.0231,4.105878
"Manisa","ManİSa",8,28.2,39.4,10.647,11.82326,6.6677,6.78187
"Manisa","ManİSa",7.5,28.8,38.5,8.4665,9.401863,6.4222,6.533772
"Manisa","ManİSa",6,26.4,39.1,.61948,.687919,4.0128,4.095462
"Manisa","ManİSa",7.5,28.75,37.35,4.9464,5.492869,5.868,5.97366
"Manisa","ManİSa",7.5,26.95,39.5,5.2091,5.784592,5.92,6.02626
"Manisa","ManİSa",6,27.4,37.5,.76712,.8518699,4.1826,4.267674
"Manisa","ManİSa",8,28.35,38.05,14.597,16.20965,7.0149,7.13256
"Manisa","ManİSa",8,27.8,39,16.029,17.79985,7.12,7.238591
"Manisa","ManİSa",7,27.75,39.6,3.2508,3.609942,5.4564,5.557426
"Manisa","ManİSa",6,27.75,37.7,1.0543,1.170777,4.4442,4.532784
"Manisa","ManİSa",8,26.3,38.25,8.2762,9.190539,6.3981,6.509462
"Manisa","ManİSa",7,27.55,37.75,4.1821,4.644131,5.7012,5.80499
"Manisa","ManİSa",7,27.25,37.85,4.0362,4.482112,5.6663,5.769687
"Manisa","ManİSa",8,27.85,38.15,19.324,21.45888,7.3324,7.453175
"Manisa","ManİSa",8,28,39.05,15.208,16.88815,7.0608,7.178906
"Manisa","ManİSa",6.5,27.5,37.4,1.5519,1.723351,4.7767,4.869482
"Manisa","ManİSa",6,27.75,38.05,1.902,2.112129,4.9579,5.052988
"Manisa","ManİSa",6.5,26.95,38.75,2.262,2.511901,5.1158,5.212806
"Manisa","ManİSa",6,28.6,38.15,1.4232,1.580432,4.7008,4.792713
"Manisa","ManİSa",8,29.45,38.3,8.773,9.742225,6.4599,6.571908
"Manisa","ManİSa",7,28.15,37.25,2.8205,3.132103,5.3214,5.420844
"Manisa","ManİSa",8,27.25,38.3,14.367,15.95424,6.9972,7.114657
"Manisa","ManİSa",6.5,29,38.6,2.1861,2.427616,5.0845,5.181087
"Manisa","ManİSa",6,26.6,38.25,.78278,.8692601,4.199,4.284204
"Manisa","ManİSa",6.5,27.95,38.65,12.998,14.43399,6.886,7.002392
"Manisa","ManİSa",7,27,39.15,3.6296,4.030591,5.5627,5.66492
"Manisa","ManİSa",6,27.55,38.4,2.9845,3.314222,5.3749,5.474956
"Manisa","ManİSa",6,27.85,37.9,1.4602,1.62152,4.7232,4.81539
"Manisa","ManİSa",7,27,39.1,3.7406,4.153854,5.592,5.694521
"Manisa","ManİSa",6,27.9,37.65,1.0037,1.114587,4.4031,4.49108
"Manisa","ManİSa",6,28.55,37.3,.63192,.7017334,4.0284,4.111276
"Manisa","ManİSa",6.5,28.25,39.65,1.5678,1.741008,4.7856,4.878573
"Manisa","ManİSa",6.5,28,37.3,1.489,1.653502,4.7403,4.832693
"Manisa","ManİSa",6.5,27.9,37.6,1.984,2.203189,4.9961,5.091611
"Manisa","ManİSa",7.5,28.65,37.7,6.2492,6.9396,6.1053,6.213558
"Manisa","ManİSa",6.5,27.4,37.95,2.5809,2.866033,5.2381,5.33653
"Manisa","ManİSa",7.5,29.45,38.1,5.1756,5.74739,5.9135,6.019687
"Manisa","ManİSa",8,28.95,38.6,11.628,12.91264,6.7637,6.878768
"Manisa","ManİSa",7,28.25,37.7,4.0613,4.509984,5.6724,5.775841
"Manisa","ManİSa",8,29.1,37.8,8.9915,9.984864,6.4861,6.598369
"Manisa","ManİSa",8,28.4,37.5,9.4437,10.48702,6.5385,6.651337
"Manisa","ManİSa",7.5,28.95,38.9,6.881,7.6412,6.2048,6.314063
