location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Mersin","MersİN",8,34.6,37.7,10.84,12.03758,6.6873,6.801554
"Mersin","MersİN",7.5,33.6,37,7.0618,7.841974,6.2317,6.341296
"Mersin","MersİN",6.5,35.95,36.05,1.3873,1.540566,4.6787,4.770209
"Mersin","MersİN",6.5,33.25,37,1.6164,1.794977,4.8126,4.905866
"Mersin","MersİN",8,35.25,36.3,12.495,13.87542,6.8425,6.958436
"Mersin","MersİN",6,34.4,36.5,2.5907,2.876916,5.2416,5.340112
"Mersin","MersİN",7,34.15,36.5,6.5154,7.235209,6.1483,6.25697
"Mersin","MersİN",6.5,34.15,36.25,2.6473,2.939769,5.2618,5.36057
"Mersin","MersİN",7,35.9,37.2,3.2891,3.652473,5.4677,5.568789
"Mersin","MersİN",7.5,35.75,36.3,6.0437,6.711397,6.071,6.178894
"Mersin","MersİN",6,35.3,37.85,.72557,.8057296,4.1379,4.222348
"Mersin","MersİN",7.5,34.95,37.3,10.047,11.15697,6.6051,6.718548
"Mersin","MersİN",7,35.55,36,3.2304,3.587288,5.4504,5.551326
"Mersin","MersİN",6.5,35.85,37.2,1.7466,1.939561,4.8814,4.975567
"Mersin","MersİN",6.5,33,36.6,1.362,1.512471,4.6626,4.75404
"Mersin","MersİN",6.5,35.65,36.95,2.2218,2.46726,5.0993,5.196126
"Mersin","MersİN",8,34.6,37.2,19.035,21.13795,7.3152,7.435742
"Mersin","MersİN",7.5,34.15,36.3,8.7195,9.682814,6.4534,6.565339
"Mersin","MersİN",6,33.25,37.25,.70504,.7829315,4.115,4.199112
"Mersin","MersİN",6,35.5,37.1,1.1919,1.323579,4.548,4.63791
"Mersin","MersİN",6.5,33.95,37.75,1.6829,1.868824,4.8483,4.942061
"Mersin","MersİN",6,34.85,37.65,1.0296,1.143348,4.4244,4.51265
"Mersin","MersİN",7,35.95,37.2,3.1893,3.541648,5.4381,5.53893
"Mersin","MersİN",8,33.95,36.8,14.915,16.56278,7.0391,7.156896
"Mersin","MersİN",7.5,34.15,36.55,11.166,12.3996,6.7194,6.834094
"Mersin","MersİN",8,34.4,36.7,27.038,30.02511,7.7236,7.847999
"Mersin","MersİN",6,33.7,36.75,1.1765,1.306478,4.5369,4.62669
"Mersin","MersİN",6.5,36,37.25,1.5509,1.72224,4.7761,4.868907
"Mersin","MersİN",7.5,35.95,37.35,5.4622,6.065653,5.968,6.074736
"Mersin","MersİN",6,35.15,36.6,2.0139,2.236392,5.0096,5.105343
"Mersin","MersİN",7.5,33.15,36.2,4.9046,5.446451,5.8595,5.96506
"Mersin","MersİN",6.5,33.55,37.05,2.0262,2.250051,5.0152,5.11094
"Mersin","MersİN",6.5,34.15,37.05,4.045,4.491884,5.6684,5.771848
"Mersin","MersİN",8,33.85,36.55,12.854,14.27409,6.8737,6.989968
"Mersin","MersİN",6.5,34.15,36.35,2.9971,3.328214,5.3789,5.479003
"Mersin","MersİN",7.5,35.65,37.55,5.7983,6.438885,6.0287,6.136086
"Mersin","MersİN",8,34.65,36.95,37.35,41.47636,8.111,8.239016
"Mersin","MersİN",7,35.1,37.65,3.8351,4.258795,5.6163,5.719111
"Mersin","MersİN",6.5,35.35,36.65,3.0706,3.409834,5.402,5.502313
"Mersin","MersİN",8,35.65,37.1,11.053,12.27411,6.7084,6.822913
"Mersin","MersİN",8,33.05,36.75,8.4484,9.381763,6.4199,6.531481
"Mersin","MersİN",7,35.15,37.05,6.924,7.688951,6.2112,6.320598
"Mersin","MersİN",7,34.8,36.4,7.3761,8.190997,6.2771,6.387178
"Mersin","MersİN",7.5,34.05,36.35,8.5637,9.509801,6.4343,6.545999
"Mersin","MersİN",7,34.7,36.3,6.3252,7.023996,6.1177,6.226119
"Mersin","MersİN",7,33.15,37.3,2.8163,3.127439,5.32,5.419422
"Mersin","MersİN",7,35.35,37.2,4.9475,5.494091,5.8682,5.973885
