location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Mugla","MuĞLa",7,28.85,37.35,3.0517,3.388846,5.3961,5.496367
"Mugla","MuĞLa",6,28.1,36.75,1.503,1.669049,4.7485,4.840998
"Mugla","MuĞLa",6,28.05,37.1,1.8759,2.083146,4.9454,5.040385
"Mugla","MuĞLa",7,28.2,38.2,2.754,3.058257,5.2989,5.398102
"Mugla","MuĞLa",6.5,28.25,36.8,2.63,2.920557,5.2557,5.354359
"Mugla","MuĞLa",6,27.65,37.4,2.3672,2.628724,5.1578,5.255242
"Mugla","MuĞLa",7.5,27,37,14.21,15.77989,6.985,7.102287
"Mugla","MuĞLa",7,26.8,36.65,5.2828,5.866434,5.9342,6.04059
"Mugla","MuĞLa",7.5,29.1,37.15,4.9369,5.482319,5.8661,5.971711
"Mugla","MuĞLa",8,26.55,36.15,9.133,10.142,6.5028,6.615197
"Mugla","MuĞLa",7.5,26.5,36.5,6.6267,7.358805,6.1658,6.27465
"Mugla","MuĞLa",7,26.3,37.4,3.6096,4.008382,5.5573,5.659501
"Mugla","MuĞLa",8,28.55,38,8.2888,9.204531,6.3997,6.511087
"Mugla","MuĞLa",6.5,28.1,37.6,2.3579,2.618396,5.1541,5.251559
"Mugla","MuĞLa",6.5,27,37.65,2.5968,2.88369,5.2438,5.342336
"Mugla","MuĞLa",7,28.25,36.05,3.0208,3.354532,5.3864,5.486574
"Mugla","MuĞLa",8,26.6,36.05,8.8339,9.809853,6.4673,6.579342
"Mugla","MuĞLa",6.5,26.95,37.2,4.3777,4.86134,5.7463,5.850629
"Mugla","MuĞLa",6.5,26.8,37.65,2.2993,2.553322,5.1309,5.228049
"Mugla","MuĞLa",7.5,28.15,37.65,7.1362,7.924594,6.2426,6.352321
"Mugla","MuĞLa",7,26.95,38.1,3.1521,3.500338,5.4269,5.527587
"Mugla","MuĞLa",6,26.7,36.95,1.5423,1.71269,4.7712,4.863953
"Mugla","MuĞLa",6,26.5,36.7,1.0719,1.190321,4.4582,4.546878
"Mugla","MuĞLa",7,27.8,37.05,10.516,11.67779,6.6543,6.768325
