location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Mus","MuŞ",8,43.35,39,11.18,12.41514,6.7208,6.835472
"Mus","MuŞ",8,42.05,39,29.469,32.72468,7.8257,7.951118
"Mus","MuŞ",7,41.3,38.3,3.2389,3.596728,5.4529,5.553872
"Mus","MuŞ",6.5,43.85,39.6,1.3708,1.522243,4.6683,4.759694
"Mus","MuŞ",6.5,43.5,39.25,1.8856,2.093918,4.9501,5.045087
"Mus","MuŞ",7.5,41.6,38.8,9.2978,10.325,6.5219,6.634502
"Mus","MuŞ",7,41.95,39.7,5.1434,5.711633,5.9072,6.013332
"Mus","MuŞ",6,43.15,39.65,.99015,1.09954,4.3918,4.4796
"Mus","MuŞ",6,43.25,38.65,.98715,1.096208,4.3892,4.47704
"Mus","MuŞ",7,43.5,38.85,3.5677,3.961853,5.546,5.64806
"Mus","MuŞ",6,42.45,39.1,7.2852,8.090055,6.2642,6.374092
"Mus","MuŞ",7,41.9,39.55,6.1236,6.800124,6.0845,6.192496
"Mus","MuŞ",8,42.1,40.2,9.2421,10.26315,6.5154,6.628012
"Mus","MuŞ",7,41.25,38.65,3.8324,4.255796,5.6156,5.718416
"Mus","MuŞ",8,42.1,38.1,9.9432,11.04171,6.5939,6.707248
"Mus","MuŞ",6.5,41.25,39.55,1.9947,2.215071,5.0009,5.096546
"Mus","MuŞ",6.5,42.25,39.85,2.4093,2.675475,5.1741,5.271758
"Mus","MuŞ",7,41.05,39.9,2.8968,3.216833,5.3466,5.446358
"Mus","MuŞ",7,42.15,40.15,3.3357,3.704222,5.4812,5.582455
"Mus","MuŞ",6,42.15,38.4,1.2799,1.421301,4.609,4.699685
"Mus","MuŞ",7.5,43.05,38.2,5.8376,6.482527,6.0356,6.143049
"Mus","MuŞ",7.5,41.65,40.15,5.5134,6.12251,5.9774,6.084297
"Mus","MuŞ",8,41.45,38.5,10.92,12.12642,6.6952,6.80962
"Mus","MuŞ",7,43.85,38.95,2.9109,3.232491,5.3512,5.451007
"Mus","MuŞ",6.5,41.25,38.5,1.8333,2.03584,4.9248,5.019478
"Mus","MuŞ",7.5,41.25,39.85,5.7804,6.419008,6.0255,6.1329
"Mus","MuŞ",7,42.45,40.2,3.1887,3.540982,5.438,5.538748
"Mus","MuŞ",7.5,42.95,38.2,6.0235,6.688965,6.0676,6.17543
"Mus","MuŞ",8,42.1,39.5,17.644,19.59328,7.2286,7.348317
"Mus","MuŞ",7.5,43.5,38.15,4.9063,5.448339,5.8598,5.965411
"Mus","MuŞ",7,42.4,39.2,18.784,20.85922,7.3,7.420405
"Mus","MuŞ",7.5,43.7,38.35,4.9237,5.467661,5.8634,5.968997
"Mus","MuŞ",6,41.2,39.35,1.0022,1.112921,4.4018,4.489816
"Mus","MuŞ",6,40.8,39.65,.65598,.7284514,4.0578,4.14111
