location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Nevsehir","NevŞEhİR",7.5,33.2,38.55,6.0891,6.761812,6.0787,6.186643
"Nevsehir","NevŞEhİR",7,35.6,39.25,3.2295,3.586289,5.4501,5.551056
"Nevsehir","NevŞEhİR",6.5,34.2,37.7,2.0612,2.288918,5.0307,5.126703
"Nevsehir","NevŞEhİR",8,36.1,38.15,8.284,9.199201,6.3991,6.510468
"Nevsehir","NevŞEhİR",7,34.85,38.55,11.427,12.68943,6.7446,6.859533
"Nevsehir","NevŞEhİR",6,34.85,38.1,1.7687,1.964103,4.8927,4.98694
"Nevsehir","NevŞEhİR",6,33.05,37.95,.64081,.7116055,4.0394,4.122413
"Nevsehir","NevŞEhİR",7,35.55,38.3,4.0637,4.51265,5.6729,5.776427
"Nevsehir","NevŞEhİR",6.5,35.1,38.75,3.641,4.043251,5.5657,5.667997
"Nevsehir","NevŞEhİR",6.5,34.5,37.4,1.579,1.753445,4.7919,4.884928
"Nevsehir","NevŞEhİR",6.5,35.4,38.15,2.2661,2.516454,5.1175,5.214492
"Nevsehir","NevŞEhİR",6,35.1,37.9,1.1021,1.223858,4.4816,4.570599
"Nevsehir","NevŞEhİR",6,36.05,38.75,.68449,.7601112,4.0915,4.175257
"Nevsehir","NevŞEhİR",8,34.7,39.4,11.001,12.21637,6.7033,6.817733
"Nevsehir","NevŞEhİR",6.5,34.8,39.65,1.6175,1.796198,4.8132,4.906475
"Nevsehir","NevŞEhİR",6,34.5,39.65,.76894,.853891,4.1846,4.26961
"Nevsehir","NevŞEhİR",8,35.3,38.15,12.232,13.58337,6.8192,6.934812
"Nevsehir","NevŞEhİR",6,33.6,38.2,1.1093,1.231853,4.4871,4.576169
"Nevsehir","NevŞEhİR",8,35.35,38.05,11.315,12.56506,6.7339,6.848681
"Nevsehir","NevŞEhİR",6,35.75,38.05,.77327,.8586994,4.1891,4.2742
"Nevsehir","NevŞEhİR",7.5,33.85,39.7,5.1714,5.742726,5.9127,6.01886
"Nevsehir","NevŞEhİR",7,35.2,38.05,4.6318,5.143512,5.8024,5.907268
"Nevsehir","NevŞEhİR",6.5,34.2,39.35,2.1827,2.423841,5.083,5.179644
"Nevsehir","NevŞEhİR",6.5,34.45,39.6,1.7297,1.920794,4.8728,4.966784
"Nevsehir","NevŞEhİR",7.5,34.45,38.6,42.216,46.87994,8.2607,8.390111
"Nevsehir","NevŞEhİR",6.5,33.5,38.25,2.1555,2.393636,5.0715,5.168023
"Nevsehir","NevŞEhİR",7.5,34.75,39.8,5.1542,5.723626,5.9094,6.015467
"Nevsehir","NevŞEhİR",7.5,34,38.7,12.154,13.49675,6.8121,6.927717
"Nevsehir","NevŞEhİR",8,34.95,38.45,19.85,22.04299,7.3632,7.484304
