location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Nigde","NİĞDe",8,33.75,37,9.2598,10.28281,6.5175,6.630078
"Nigde","NİĞDe",8,35.4,38.8,9.1166,10.12379,6.5008,6.613258
"Nigde","NİĞDe",6,34.2,37.25,1.1663,1.295151,4.5295,4.619187
"Nigde","NİĞDe",7,35.2,37.5,4.1967,4.660344,5.7046,5.808462
"Nigde","NİĞDe",6.5,33.95,37.4,2.6726,2.967864,5.2707,5.369589
"Nigde","NİĞDe",7.5,34,38.5,9.5191,10.57075,6.547,6.659945
"Nigde","NİĞDe",7.5,33.5,37.25,6.1221,6.798458,6.0842,6.192242
"Nigde","NİĞDe",7.5,35.75,37.3,5.0541,5.612467,5.8896,5.99552
"Nigde","NİĞDe",8,35.45,38.05,11.098,12.32409,6.7128,6.827378
"Nigde","NİĞDe",7.5,34.9,37.7,10.498,11.6578,6.6525,6.766452
"Nigde","NİĞDe",8,32.9,37.35,8.1915,9.096481,6.3872,6.49848
"Nigde","NİĞDe",6.5,34.3,37.5,3.6598,4.064128,5.5707,5.673053
"Nigde","NİĞDe",8,33.95,38.6,12.836,14.2541,6.8722,6.988406
"Nigde","NİĞDe",8,32.9,38.25,8.8728,9.85305,6.472,6.584067
"Nigde","NİĞDe",8,35.9,37.55,8.3768,9.302253,6.4109,6.522375
"Nigde","NİĞDe",6.5,35,37.1,1.7715,1.967212,4.8941,4.988372
"Nigde","NİĞDe",7.5,35.65,37.9,6.1384,6.816559,6.087,6.194998
"Nigde","NİĞDe",7,34.6,38.25,10.006,11.11144,6.6007,6.714097
"Nigde","NİĞDe",6.5,34.05,37.25,2.3119,2.567314,5.1359,5.233148
"Nigde","NİĞDe",8,34.9,38.35,15.004,16.66161,7.0457,7.163623
"Nigde","NİĞDe",6,35.9,38.5,.63609,.706364,4.0336,4.116517
"Nigde","NİĞDe",6.5,32.95,37.5,1.4766,1.639732,4.733,4.82528
"Nigde","NİĞDe",7.5,34.55,37.25,7.7,8.550681,6.3221,6.432656
"Nigde","NİĞDe",7,36,38.25,2.7659,3.071471,5.303,5.402207
