location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Ordu","Ordu",6.5,37.05,40.6,9.3514,10.38453,6.528,6.640714
"Ordu","Ordu",6,38,40.15,.87175,.9680593,4.2865,4.372987
"Ordu","Ordu",6,37.95,41.45,.8924,.9909906,4.3058,4.392458
"Ordu","Ordu",7.5,36.15,39.85,5.5561,6.169928,5.9853,6.09221
"Ordu","Ordu",7,37.9,41.45,3.7347,4.147303,5.5904,5.692968
"Ordu","Ordu",6.5,37.2,41.4,2.9254,3.248593,5.3559,5.455768
"Ordu","Ordu",7,36.8,40.95,12.995,14.43066,6.8858,7.002134
"Ordu","Ordu",6.5,35.7,41.35,1.5926,1.768547,4.7995,4.892592
"Ordu","Ordu",7,38,41.85,2.795,3.103786,5.3128,5.41218
"Ordu","Ordu",6,35.45,41.1,.6819,.757235,4.0885,4.172207
"Ordu","Ordu",6,35.35,40.45,.6313,.7010448,4.0276,4.110494
"Ordu","Ordu",6.5,37.25,40.7,9.0836,10.08714,6.497,6.609349
"Ordu","Ordu",6,37.95,41.85,.65398,.7262304,4.0554,4.138667
"Ordu","Ordu",7.5,36.55,41.3,9.0453,10.04461,6.4925,6.604795
"Ordu","Ordu",7,35.7,40.25,3.133,3.479128,5.4211,5.521717
"Ordu","Ordu",8,36.75,39.9,10.587,11.75663,6.6616,6.775685
"Ordu","Ordu",6,36.05,40.55,1.1445,1.270942,4.5135,4.602957
"Ordu","Ordu",6.5,35.9,40.75,2.1514,2.389083,5.0698,5.16626
"Ordu","Ordu",8,37.65,40.05,10.832,12.0287,6.6864,6.800744
"Ordu","Ordu",7,35.65,40.55,3.3268,3.694339,5.4786,5.579858
"Ordu","Ordu",7,36.65,39.55,2.8343,3.147428,5.326,5.425504
"Ordu","Ordu",6.5,37.9,40.65,2.6746,2.970085,5.2714,5.370299
"Ordu","Ordu",6,37.35,40.7,3.703,4.112101,5.5821,5.684583
"Ordu","Ordu",7,37.35,41.3,5.8541,6.50085,6.0384,6.14596
"Ordu","Ordu",6,36.95,41.95,.72369,.8036419,4.1359,4.220244
"Ordu","Ordu",7,37.95,39.8,2.9443,3.269581,5.362,5.461941
"Ordu","Ordu",7.5,38.6,40.45,5.2053,5.780372,5.9193,6.025517
"Ordu","Ordu",7,37.85,40.25,4.1558,4.614925,5.695,5.798708
"Ordu","Ordu",6.5,36.5,40.75,4.6464,5.159726,5.8055,5.910438
"Ordu","Ordu",8,36.55,41.7,10.123,11.24137,6.6132,6.726755
"Ordu","Ordu",7,38.25,41.75,2.7144,3.014282,5.2853,5.384326
"Ordu","Ordu",6,36.25,40.05,.91441,1.015432,4.3258,4.412782
"Ordu","Ordu",7,36.7,40.35,6.5403,7.26286,6.1522,6.260949
"Ordu","Ordu",6,36.4,40.85,1.9879,2.20752,4.9979,5.093412
"Ordu","Ordu",6.5,38.65,40.4,1.3949,1.549006,4.6834,4.775015
"Ordu","Ordu",7.5,38.05,40.5,7.1514,7.941473,6.2448,6.35456
"Ordu","Ordu",7.5,37.45,39.85,6.2221,6.909506,6.1008,6.209046
"Ordu","Ordu",6,35.55,40.05,.61567,.683688,4.008,4.090563
"Ordu","Ordu",6,38.05,41.1,1.0427,1.157896,4.4349,4.52338
"Ordu","Ordu",8,37.65,39.65,8.6085,9.559551,6.4398,6.551592
"Ordu","Ordu",8,36.7,40.65,23.471,26.06403,7.5574,7.680249
"Ordu","Ordu",6.5,36.15,41.35,2.117,2.350882,5.0551,5.15135
"Ordu","Ordu",6,36.1,40.15,.90995,1.01048,4.3218,4.408699
"Ordu","Ordu",8,35.45,41.3,8.3825,9.308582,6.4116,6.523102
"Ordu","Ordu",7,36.05,41.75,2.9768,3.305671,5.3725,5.472475
"Ordu","Ordu",6,35.5,40.6,.72001,.7995554,4.1318,4.216112
"Ordu","Ordu",6.5,36.85,41.9,1.6263,1.805971,4.818,4.911336
"Ordu","Ordu",8,36.4,40.7,16.432,18.24738,7.1479,7.26688
"Ordu","Ordu",8,38.05,40,9.2461,10.26759,6.5159,6.628479
"Ordu","Ordu",7.5,36.8,41.15,12.854,14.27409,6.8737,6.989968
"Ordu","Ordu",7,36.1,41.8,2.9362,3.260586,5.3594,5.4593
"Ordu","Ordu",7.5,38.2,41.5,5.5979,6.216345,5.9929,6.099903
"Ordu","Ordu",7.5,38.1,41.1,6.8984,7.660522,6.2074,6.316711
"Ordu","Ordu",6.5,37.35,39.75,1.6978,1.88537,4.8562,4.949997
"Ordu","Ordu",7,37.9,41.4,3.8626,4.289333,5.6233,5.726165
"Ordu","Ordu",7,37.85,40.3,4.304,4.779498,5.7295,5.833651
"Ordu","Ordu",7.5,36.35,41.1,9.3809,10.41728,6.5314,6.644119
"Ordu","Ordu",6.5,36.5,40.9,4.5027,5.00015,5.7742,5.878849
"Ordu","Ordu",8,37.25,41.5,12.31,13.66999,6.8261,6.941866
"Ordu","Ordu",7,35.35,40.75,2.8503,3.165196,5.3313,5.430882
"Ordu","Ordu",6,37.1,42,.68984,.7660522,4.0977,4.181527
"Ordu","Ordu",8,36.3,40.7,14.9,16.54612,7.0379,7.155758
"Ordu","Ordu",6,37.9,40.2,.97152,1.078852,4.376,4.463591
"Ordu","Ordu",7.5,36.95,40.8,47.101,52.30463,8.396,8.526544
"Ordu","Ordu",8,37.75,39.95,9.8965,10.98985,6.5888,6.70213
"Ordu","Ordu",6,38.35,41.55,.66102,.7340482,4.0639,4.14724
"Ordu","Ordu",7,36.25,40.3,4.498,4.994931,5.7732,5.877801
"Ordu","Ordu",8,38.25,41.25,9.7093,10.78197,6.5683,6.68139
"Ordu","Ordu",8,36.45,41.9,8.8495,9.827176,6.4691,6.581239
"Ordu","Ordu",7.5,36.05,41,7.6971,8.547461,6.3217,6.432257
"Ordu","Ordu",7,38.05,41.6,3.1728,3.523325,5.4332,5.533913
"Ordu","Ordu",6.5,36.5,39.85,1.7838,1.980871,4.9003,4.994638
"Ordu","Ordu",8,38,40.7,12.103,13.44012,6.8075,6.923056
"Ordu","Ordu",6,36.9,41.9,.75861,.8424198,4.1737,4.258568
"Ordu","Ordu",7.5,36.15,41.4,6.777,7.52571,6.189,6.298105
"Ordu","Ordu",8,36.05,40.85,12.269,13.62446,6.8224,6.938163
"Ordu","Ordu",8,36.8,41.8,9.8009,10.88369,6.5784,6.691583
"Ordu","Ordu",8,36.3,41.4,11.435,12.69832,6.7454,6.860304
"Ordu","Ordu",7.5,37.4,41.7,6.4377,7.148925,6.1359,6.244466
"Ordu","Ordu",6.5,36.9,41.45,2.7453,3.048595,5.296,5.39509
"Ordu","Ordu",8,36.9,40.5,22.186,24.63707,7.4918,7.614077
"Ordu","Ordu",6,37.7,41.95,.65538,.7277852,4.0571,4.140378
"Ordu","Ordu",7,36.15,40.1,3.6694,4.074789,5.5733,5.675626
"Ordu","Ordu",8,37.2,39.7,9.3354,10.36676,6.5262,6.638863
"Ordu","Ordu",7.5,36,41.35,6.4614,7.175243,6.1397,6.248294
"Ordu","Ordu",8,37.75,41.3,12.081,13.41569,6.8055,6.92104
"Ordu","Ordu",7,37.5,40.65,8.1586,9.059947,6.383,6.494186
"Ordu","Ordu",7,36.4,39.95,3.6425,4.044917,5.5661,5.668401
"Ordu","Ordu",7,36.95,42,2.9621,3.289347,5.3677,5.467723
"Ordu","Ordu",7,36.1,41.75,3.0275,3.361973,5.3885,5.488705
"Ordu","Ordu",6.5,35.85,40.45,1.9177,2.129564,4.9653,5.060495
"Ordu","Ordu",7,35.9,40.4,3.744,4.15763,5.5928,5.695415
"Ordu","Ordu",6,36.4,41.2,1.4618,1.623297,4.7242,4.816359
"Ordu","Ordu",6.5,36.85,42,1.4915,1.656278,4.7418,4.834181
"Ordu","Ordu",6.5,35.8,41.75,1.3663,1.517246,4.6654,4.756806
"Ordu","Ordu",7.5,37,41.7,6.6838,7.422214,6.1746,6.283616
"Ordu","Ordu",7.5,36.95,41.25,11.378,12.63502,6.7399,6.854797
"Ordu","Ordu",6,37.05,41.05,3.801,4.220927,5.6076,5.710301
"Ordu","Ordu",7,36.15,41.6,3.3974,3.772738,5.4988,5.60029
"Ordu","Ordu",6.5,36.95,40.8,24.453,27.15452,7.6053,7.72863
"Ordu","Ordu",7.5,35.85,41.8,4.9279,5.472325,5.8642,5.969862
"Ordu","Ordu",8,36.45,41,16.406,18.2185,7.1461,7.265074
"Ordu","Ordu",7,37.05,39.85,3.721,4.132089,5.5868,5.689352
"Ordu","Ordu",6.5,37.9,41.75,1.5561,1.728015,4.779,4.871891
"Ordu","Ordu",6.5,36.2,41.2,2.4646,2.736884,5.1951,5.293067
"Ordu","Ordu",7.5,38.35,41.6,5.0754,5.636121,5.8939,5.999794
"Ordu","Ordu",6.5,36.4,41.25,2.7922,3.100677,5.3119,5.411225
"Ordu","Ordu",7.5,38.05,39.85,5.2797,5.862991,5.9336,6.039991
"Ordu","Ordu",7,38.6,41.35,2.7443,3.047485,5.2956,5.394744
"Ordu","Ordu",6,38.35,41.25,.76478,.8492714,4.1802,4.265179
"Ordu","Ordu",8,37.6,41.95,8.6023,9.552666,6.439,6.550819
"Ordu","Ordu",8,36.6,41.35,13.437,14.92149,6.9228,7.039514
"Ordu","Ordu",7,35.4,41.3,2.7359,3.038157,5.2927,5.391827
"Ordu","Ordu",6,36.9,41.6,1.0778,1.196873,4.4627,4.551558
"Ordu","Ordu",7,38.35,41.6,2.8,3.109339,5.3145,5.413885
"Ordu","Ordu",6.5,37.95,39.9,1.5945,1.770657,4.8005,4.893658
"Ordu","Ordu",7.5,38.45,41.35,5.3132,5.900192,5.94,6.046449
"Ordu","Ordu",7.5,35.3,40.8,5.0395,5.596254,5.8867,5.992581
"Ordu","Ordu",6.5,37.4,40.1,2.4376,2.706901,5.1849,5.282716
"Ordu","Ordu",6,37.8,41.65,.81739,.9076937,4.234,4.319739
"Ordu","Ordu",8,36.85,39.8,9.9648,11.06569,6.5962,6.709609
"Ordu","Ordu",6,36.05,41.4,.90619,1.006304,4.3184,4.405242
"Ordu","Ordu",7,35.65,40.4,3.2059,3.560082,5.4431,5.543953
"Ordu","Ordu",6.5,35.7,41.15,1.7183,1.908135,4.8668,4.960817
"Ordu","Ordu",6,35.45,40.65,.69965,.776946,4.1089,4.192914
"Ordu","Ordu",7,36.75,41.5,4.6292,5.140625,5.8018,5.906703
"Ordu","Ordu",7.5,36.5,41.9,5.4571,6.05999,5.967,6.07378
"Ordu","Ordu",6.5,38.4,41.45,1.4714,1.633958,4.7299,4.822155
"Ordu","Ordu",8,36.7,39.75,9.5186,10.5702,6.547,6.659888
"Ordu","Ordu",6,38.25,39.85,.62146,.6901177,4.0153,4.097997
"Ordu","Ordu",7,36.3,39.95,3.513,3.90111,5.5311,5.632942
"Ordu","Ordu",7.5,36.7,41.95,5.4273,6.026898,5.9615,6.068173
"Ordu","Ordu",6,36.85,41.9,.75586,.839366,4.1707,4.255606
"Ordu","Ordu",7,38.15,40.45,3.7794,4.196941,5.602,5.704684
"Ordu","Ordu",7.5,38.25,40.1,5.5,6.10763,5.975,6.081802
"Ordu","Ordu",7.5,38.1,40.7,7.2222,8.020095,6.2551,6.364936
"Ordu","Ordu",6,38.2,40.25,.81157,.9012307,4.2282,4.313856
"Ordu","Ordu",7,36.7,41.1,8.151,9.051507,6.382,6.493192
"Ordu","Ordu",7.5,37.55,40.1,7.3975,8.214762,6.2801,6.390238
