location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Osmaniye","OsmanİYe",8,35.75,37.25,13.183,14.63943,6.9016,7.018172
"Osmaniye","OsmanİYe",7.5,36.25,36.3,6.5224,7.242982,6.1494,6.25809
"Osmaniye","OsmanİYe",8,35.8,36.65,11.289,12.53619,6.7314,6.846148
"Osmaniye","OsmanİYe",6.5,35.8,38.4,1.3448,1.493371,4.6517,4.742896
"Osmaniye","OsmanİYe",6,35.65,37.5,1.1069,1.229188,4.4852,4.574316
"Osmaniye","OsmanİYe",8,35.5,36.45,9.0856,10.08936,6.4972,6.609586
"Osmaniye","OsmanİYe",8,36.75,38.2,9.8988,10.9924,6.5891,6.702383
"Osmaniye","OsmanİYe",7.5,36.45,37.65,11.427,12.68943,6.7446,6.859533
"Osmaniye","OsmanİYe",8,37.95,36.55,8.4321,9.363663,6.4179,6.529414
"Osmaniye","OsmanİYe",7,36.4,38.3,3.2099,3.564524,5.4443,5.54516
"Osmaniye","OsmanİYe",7,37.15,36.6,4.5318,5.032465,5.7806,5.885318
"Osmaniye","OsmanİYe",6,37.15,37.8,1.1798,1.310142,4.5393,4.629105
"Osmaniye","OsmanİYe",8,35.15,37.9,8.199,9.10481,6.3882,6.499456
"Osmaniye","OsmanİYe",6.5,35.85,36,1.3566,1.506475,4.6592,4.750555
"Osmaniye","OsmanİYe",6,36.2,36.6,1.3361,1.48371,4.646,4.737211
"Osmaniye","OsmanİYe",7,36.4,36.75,6.8976,7.659634,6.2073,6.31659
"Osmaniye","OsmanİYe",7,37.2,36.95,5.9636,6.622447,6.0574,6.165095
"Osmaniye","OsmanİYe",7,36.7,38.2,3.5093,3.897001,5.53,5.631912
"Osmaniye","OsmanİYe",6,37.55,36.6,.87282,.9692475,4.2876,4.374006
"Osmaniye","OsmanİYe",7.5,36.75,38.45,5.179,5.751166,5.9142,6.020355
"Osmaniye","OsmanİYe",6,37.9,36.95,.78132,.8676388,4.1974,4.282675
"Osmaniye","OsmanİYe",7,36.55,37.55,9.0175,10.01374,6.4892,6.601479
"Osmaniye","OsmanİYe",6,37.35,37.5,1.3136,1.458724,4.6314,4.722357
"Osmaniye","OsmanİYe",6.5,36.15,37.8,2.6549,2.948208,5.2645,5.363287
"Osmaniye","OsmanİYe",7,35.3,37.1,3.4483,3.829262,5.5131,5.614787
"Osmaniye","OsmanİYe",7,35.15,37.4,3.0965,3.438596,5.41,5.510409
"Osmaniye","OsmanİYe",6,35.95,38.3,.69355,.7701721,4.1019,4.18585
"Osmaniye","OsmanİYe",8,36.45,38.5,8.3157,9.234403,6.4031,6.514549
"Osmaniye","OsmanİYe",8,37.3,38.2,9.0472,10.04672,6.4927,6.605021
"Osmaniye","OsmanİYe",8,37.9,37.55,9.2875,10.31357,6.5207,6.633304
"Osmaniye","OsmanİYe",6,36.5,37.45,3.8747,4.30277,5.6263,5.729255
"Osmaniye","OsmanİYe",6,37.2,37.6,1.4244,1.581765,4.7016,4.793457
"Osmaniye","OsmanİYe",7.5,36.95,36.15,5.7833,6.422228,6.026,6.133416
"Osmaniye","OsmanİYe",7.5,37.1,36.4,6.7199,7.462302,6.1802,6.28925
"Osmaniye","OsmanİYe",8,36.3,37.1,25.634,28.466,7.6607,7.784525
"Osmaniye","OsmanİYe",8,35.8,36.2,8.8981,9.881145,6.475,6.58713
"Osmaniye","OsmanİYe",7,38.05,36.7,2.8194,3.130882,5.321,5.420472
"Osmaniye","OsmanİYe",7,36.2,38.15,3.5371,3.927872,5.5377,5.639628
"Osmaniye","OsmanİYe",7.5,35.95,36.75,8.4656,9.400864,6.4221,6.533658
"Osmaniye","OsmanİYe",6,36.4,36.7,1.7785,1.974985,4.8976,4.991943
"Osmaniye","OsmanİYe",6.5,37.6,36.9,2.0953,2.326785,5.0457,5.141835
"Osmaniye","OsmanİYe",8,37.8,36.7,9.3413,10.37331,6.5269,6.639546
"Osmaniye","OsmanİYe",7.5,37.95,37.05,5.7339,6.367371,6.0173,6.124582
"Osmaniye","OsmanİYe",7.5,36.4,37.2,27.579,30.62588,7.747,7.871658
"Osmaniye","OsmanİYe",6.5,35.45,37.75,1.7319,1.923237,4.8739,4.967932
"Osmaniye","OsmanİYe",8,36.1,38.05,10.462,11.61782,6.6487,6.762697
"Osmaniye","OsmanİYe",6.5,37.65,36.55,1.6875,1.873932,4.8508,4.944518
"Osmaniye","OsmanİYe",6,36.2,38.5,.61961,.6880633,4.013,4.095629
"Osmaniye","OsmanİYe",7.5,37.55,37.35,7.488,8.31526,6.2928,6.40309
"Osmaniye","OsmanİYe",6,36,36.7,1.3172,1.462722,4.6338,4.724749
"Osmaniye","OsmanİYe",6.5,36.05,37.35,4.1124,4.56673,5.6847,5.788264
