location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Pendik","PendİK",6,28.2,39.9,.66631,.7399226,4.0702,4.153629
"Pendik","PendİK",7,30.65,41.4,3.0041,3.335987,5.3811,5.481245
"Pendik","PendİK",7,29.4,41.45,5.6418,6.265095,6.0008,6.107927
"Pendik","PendİK",8,30.05,42,8.3961,9.323686,6.4133,6.524836
"Pendik","PendİK",6.5,28.4,41.4,2.2272,2.473257,5.1016,5.198382
"Pendik","PendİK",7,29.65,39.9,3.4494,3.830483,5.5134,5.615098
"Pendik","PendİK",6.5,30.35,40.85,2.1533,2.391192,5.0706,5.167078
"Pendik","PendİK",6,28,40.65,.89801,.9972205,4.3109,4.397679
"Pendik","PendİK",6,29.15,40.25,1.4512,1.611526,4.7178,4.809921
"Pendik","PendİK",7,29.6,41.05,9.4652,10.5109,6.541,6.653798
"Pendik","PendİK",7,28.55,40.65,5.917,6.570699,6.0494,6.156991
"Pendik","PendİK",7.5,30.25,39.9,5.2203,5.797029,5.9222,6.02845
"Pendik","PendİK",7,30.85,40.35,2.7118,3.011395,5.2844,5.383415
"Pendik","PendİK",7,28.45,41.95,2.9271,3.25048,5.3565,5.456325
"Pendik","PendİK",8,28.7,41.6,11.291,12.53841,6.7316,6.846344
"Pendik","PendİK",7.5,30.5,40.5,6.0525,6.721169,6.0725,6.1804
"Pendik","PendİK",8,28.1,40.9,11.067,12.28966,6.7097,6.824304
"Pendik","PendİK",7,27.8,41.3,3.0783,3.418385,5.4043,5.504726
"Pendik","PendİK",7,27.7,40.2,2.6969,2.994848,5.2792,5.378181
"Pendik","PendİK",7.5,28.4,40.45,7.7176,8.570226,6.3245,6.435078
"Pendik","PendİK",6,27.5,41.1,.62292,.691739,4.0171,4.099863
"Pendik","PendİK",7,29.25,40.05,4.2012,4.66534,5.7057,5.809529
"Pendik","PendİK",8,30.05,39.9,9.0261,10.02329,6.4902,6.602506
"Pendik","PendİK",6,28.15,41.15,1.0119,1.123693,4.4099,4.497962
"Pendik","PendİK",7.5,30.65,40.25,5.2176,5.794031,5.9217,6.027922
"Pendik","PendİK",7,28.35,40.75,4.9972,5.549281,5.8783,5.984023
"Pendik","PendİK",6.5,30.15,41.6,1.812,2.012186,4.9143,5.008863
"Pendik","PendİK",8,29.4,41.95,9.4132,10.45315,6.5351,6.647837
"Pendik","PendİK",7.5,29.35,40.9,35.625,39.56078,8.0536,8.1811
"Pendik","PendİK",8,30.6,40.8,9.7026,10.77452,6.5675,6.680641
"Pendik","PendİK",7.5,28.65,40,6.3161,7.013891,6.1163,6.224622
"Pendik","PendİK",8,27.45,40.95,8.1244,9.021968,6.3786,6.489707
"Pendik","PendİK",7,30.5,41.2,3.483,3.867795,5.5228,5.624562
