location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Rize","RİZe",6,40.45,41.3,2.3041,2.558653,5.1328,5.229994
"Rize","RİZe",6,40.75,39.9,.63532,.7055089,4.0326,4.115551
"Rize","RİZe",7.5,42.45,41.45,5.6152,6.235557,5.996,6.103072
"Rize","RİZe",7,42.4,40.55,2.8758,3.193513,5.3397,5.439396
"Rize","RİZe",7.5,39.4,41.15,5.4074,6.004799,5.9578,6.064414
"Rize","RİZe",6.5,41,41.5,5.9156,6.569144,6.0491,6.156747
"Rize","RİZe",8,42.6,41.6,8.4052,9.333791,6.4145,6.525995
"Rize","RİZe",6,41.25,41.35,3.8527,4.278339,5.6208,5.723631
"Rize","RİZe",7.5,41.7,41.45,9.285,10.31079,6.5204,6.633013
"Rize","RİZe",8,41.75,41.9,10.585,11.75441,6.6614,6.775478
"Rize","RİZe",8,40.05,41.4,12.337,13.69997,6.8286,6.944298
"Rize","RİZe",6,41.3,41.5,2.4437,2.713675,5.1872,5.285063
"Rize","RİZe",6.5,39.85,41,2.0889,2.319678,5.0429,5.139011
"Rize","RİZe",7.5,40.7,40.55,8.4546,9.388648,6.4207,6.532266
"Rize","RİZe",7.5,40.35,40.65,8.0334,8.920915,6.3667,6.477704
"Rize","RİZe",6.5,41.15,40,1.5139,1.681153,4.7549,4.847417
"Rize","RİZe",6.5,40.95,41.35,11.044,12.26412,6.7074,6.822018
"Rize","RİZe",7,40.4,41.4,6.7736,7.521935,6.1884,6.29758
"Rize","RİZe",8,39.45,41.15,9.0411,10.03994,6.492,6.604294
"Rize","RİZe",7,41.45,40.55,4.6532,5.167277,5.8069,5.911911
"Rize","RİZe",7,40.05,41.1,4.818,5.350284,5.8417,5.947032
"Rize","RİZe",7,40.4,40.75,5.4004,5.997026,5.9565,6.063088
"Rize","RİZe",8,39.6,41.45,9.5205,10.57231,6.5472,6.660105
