location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sakarya","Sakarya",7.5,31.45,41.85,4.9542,5.501531,5.8696,5.975257
"Sakarya","Sakarya",7,30.7,40.15,5.0575,5.616243,5.8903,5.996203
"Sakarya","Sakarya",6,30.2,41.6,1.0487,1.164558,4.4398,4.528255
"Sakarya","Sakarya",8,32.1,40.55,8.2935,9.20975,6.4003,6.511693
"Sakarya","Sakarya",6.5,31.05,41.85,1.5435,1.714023,4.7719,4.864646
"Sakarya","Sakarya",7,29.05,41.2,3.2196,3.575295,5.4472,5.548082
"Sakarya","Sakarya",6.5,29,40.35,1.5809,1.755555,4.793,4.886003
"Sakarya","Sakarya",7,30.95,40,3.9351,4.369843,5.6414,5.744549
"Sakarya","Sakarya",7.5,29.35,40,5.6801,6.307627,6.0077,6.114882
"Sakarya","Sakarya",8,30.2,41,24.037,26.69256,7.5852,7.708354
"Sakarya","Sakarya",6,29.9,41.65,.90772,1.008003,4.3198,4.40665
"Sakarya","Sakarya",6,28.9,40.7,.73791,.8194329,4.1514,4.23604
"Sakarya","Sakarya",6,31.25,40.3,1.0956,1.21664,4.4766,4.565542
"Sakarya","Sakarya",6,28.85,40.55,.69749,.7745474,4.1064,4.190419
"Sakarya","Sakarya",6,31.05,40.3,1.305,1.449174,4.6257,4.71662
"Sakarya","Sakarya",6,30.2,40.1,1.285,1.426964,4.6124,4.703149
"Sakarya","Sakarya",7.5,31.4,41.55,5.8539,6.500628,6.0384,6.145925
"Sakarya","Sakarya",7,31.5,41,4.0392,4.485443,5.667,5.770424
"Sakarya","Sakarya",7,31.45,40.65,4.2831,4.756289,5.7247,5.828789
"Sakarya","Sakarya",7,29.7,41.85,3.0008,3.332323,5.3801,5.480188
"Sakarya","Sakarya",7,31.5,39.8,2.8009,3.110338,5.3148,5.414191
"Sakarya","Sakarya",7.5,30.55,40.55,17.997,19.98528,7.2511,7.37108
"Sakarya","Sakarya",6,31.45,40.5,1.0378,1.152454,4.431,4.519381
