location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Samsun","Samsun",8,37.75,41.3,8.4765,9.412968,6.4234,6.535035
"Samsun","Samsun",6.5,36.8,41.4,3.348,3.717881,5.4847,5.586034
"Samsun","Samsun",6.5,36.85,40.6,1.7062,1.894698,4.8606,4.954445
"Samsun","Samsun",7,36.7,40.55,3.3604,3.731651,5.4883,5.58963
"Samsun","Samsun",6.5,36.3,40.95,3.2208,3.576628,5.4475,5.548443
"Samsun","Samsun",6.5,35.65,40.9,2.7002,2.998513,5.2804,5.379343
"Samsun","Samsun",6,35,40.9,.84901,.942807,4.2649,4.351075
"Samsun","Samsun",7.5,34.75,41.1,5.8586,6.505847,6.0392,6.146753
"Samsun","Samsun",7.5,34.75,40.75,5.2039,5.778817,5.919,6.025242
"Samsun","Samsun",6,35.45,41.65,1.8716,2.078371,4.9434,5.038294
"Samsun","Samsun",7,35.45,41.95,5.1469,5.71552,5.9079,6.014024
"Samsun","Samsun",6.5,34.7,41.75,1.7085,1.897252,4.8618,4.955659
"Samsun","Samsun",6.5,35.65,41.45,5.6037,6.222786,5.9939,6.100966
"Samsun","Samsun",6,34.75,41.85,.80487,.8937905,4.2215,4.307038
"Samsun","Samsun",8,35.2,40.8,10.232,11.36241,6.6247,6.738429
"Samsun","Samsun",8,35.4,40.65,10.036,11.14476,6.6039,6.717356
"Samsun","Samsun",6,37.3,41.55,.94704,1.051667,4.3548,4.442141
"Samsun","Samsun",6,35.5,40.25,.62667,.6959033,4.0219,4.104635
"Samsun","Samsun",7,35.75,40.75,4.3804,4.864338,5.7469,5.851246
"Samsun","Samsun",6,35.35,40.95,1.1422,1.268388,4.5118,4.601229
"Samsun","Samsun",7.5,34.9,40.8,5.639,6.261986,6.0003,6.107417
"Samsun","Samsun",8,34.65,41,8.8736,9.853938,6.472,6.584164
"Samsun","Samsun",7,34.9,41.45,3.9254,4.359071,5.639,5.742107
"Samsun","Samsun",7,36.45,41.85,7.2076,8.003882,6.253,6.362804
"Samsun","Samsun",8,35.95,40.8,12.666,14.06532,6.8575,6.973556
"Samsun","Samsun",7,34.7,41.2,3.2902,3.653695,5.468,5.569113
"Samsun","Samsun",7.5,34.7,41.05,5.6353,6.257877,5.9997,6.106743
"Samsun","Samsun",6,36.65,41.35,2.0925,2.323675,5.0445,5.140601
"Samsun","Samsun",6,35.3,41.25,1.4249,1.58232,4.7019,4.793766
"Samsun","Samsun",6.5,36.8,41.45,3.3887,3.763077,5.4963,5.597793
"Samsun","Samsun",8,35.1,40.85,10.091,11.20583,6.6098,6.723306
"Samsun","Samsun",7.5,37.8,41.85,4.944,5.490204,5.8675,5.973167
"Samsun","Samsun",8,36.15,40.35,9.0783,10.08125,6.4963,6.608719
"Samsun","Samsun",6.5,36.75,40.35,1.4503,1.610526,4.7173,4.809372
"Samsun","Samsun",7,34.45,41.3,2.9013,3.22183,5.3481,5.447844
"Samsun","Samsun",6.5,35.55,41.45,4.5715,5.07655,5.7893,5.894083
"Samsun","Samsun",8,35.85,40.85,13.098,14.54504,6.8945,7.010946
"Samsun","Samsun",8,35,40.5,8.3891,9.315912,6.4124,6.523944
"Samsun","Samsun",7,37.45,40.85,2.9535,3.279797,5.365,5.464934
"Samsun","Samsun",7,34.95,40.5,2.7584,3.063143,5.3004,5.399621
"Samsun","Samsun",6.5,36.45,40.65,2.0508,2.277369,5.0261,5.122045
"Samsun","Samsun",7,35.6,40.35,2.9857,3.315554,5.3753,5.475342
"Samsun","Samsun",6,36.25,41.3,4.3216,4.799042,5.7336,5.837729
"Samsun","Samsun",8,35.8,41.4,26.507,29.43544,7.7001,7.824354
"Samsun","Samsun",8,36.25,40.85,13.243,14.70606,6.9067,7.023246
"Samsun","Samsun",6.5,35.6,41.3,4.4681,4.961727,5.7666,5.871109
"Samsun","Samsun",6.5,36.95,41.85,2.4671,2.739661,5.1961,5.29402
"Samsun","Samsun",6.5,37.05,41.55,2.5108,2.788188,5.2124,5.310546
"Samsun","Samsun",7.5,34.65,41.6,5.8522,6.49874,6.0381,6.145626
"Samsun","Samsun",7,36.45,40.75,4.3339,4.812701,5.7364,5.84057
"Samsun","Samsun",7,36,41.9,7.8208,8.684827,6.3385,6.449178
"Samsun","Samsun",7,35.85,40.95,5.8272,6.470978,6.0337,6.141211
"Samsun","Samsun",6,37,41.1,1.1084,1.230854,4.4864,4.575475
"Samsun","Samsun",7.5,36.45,41.4,16.252,18.04749,7.1355,7.254323
"Samsun","Samsun",6.5,36.25,40.4,1.6498,1.832067,4.8307,4.924206
"Samsun","Samsun",7.5,35.4,40.3,5.0399,5.596699,5.8868,5.992662
"Samsun","Samsun",8,35.55,40.7,10.78,11.97095,6.6812,6.795468
"Samsun","Samsun",8,35.95,40.6,10.697,11.87878,6.6728,6.787
"Samsun","Samsun",8,35,41.5,11.484,12.75273,6.7501,6.865018
"Samsun","Samsun",7.5,34.6,41.5,5.7139,6.345161,6.0137,6.120986
"Samsun","Samsun",6.5,36.95,41.35,2.7402,3.042932,5.2942,5.393321
"Samsun","Samsun",7.5,36.6,41.05,9.3955,10.4335,6.533,6.645801
"Samsun","Samsun",6.5,35.9,40.65,2.1323,2.367872,5.0617,5.158008
"Samsun","Samsun",8,37.7,41.15,8.4917,9.429847,6.4253,6.536953
"Samsun","Samsun",7.5,37.7,41.15,5.1563,5.725958,5.9098,6.015882
"Samsun","Samsun",8,35,40.8,9.5073,10.55765,6.5457,6.658602
"Samsun","Samsun",7,36.85,41.45,5.7685,6.405793,6.0234,6.130777
"Samsun","Samsun",7,36.6,41.2,6.7093,7.450531,6.1786,6.287598
"Samsun","Samsun",8,35.75,41.1,16.681,18.52389,7.1649,7.284046
"Samsun","Samsun",7,34.7,41.3,3.3568,3.727653,5.4872,5.588587
"Samsun","Samsun",7,36,41.75,11.551,12.82713,6.7564,6.871435
"Samsun","Samsun",8,36.4,40.4,9.2156,10.23372,6.5124,6.624911
"Samsun","Samsun",7.5,36,40.65,7.079,7.861074,6.2342,6.343854
"Samsun","Samsun",7,35.9,41.75,10.628,11.80216,6.6658,6.779914
"Samsun","Samsun",6,35.75,41,1.6627,1.846392,4.8376,4.931202
"Samsun","Samsun",8,37.3,41.6,10.548,11.71332,6.6576,6.771647
"Samsun","Samsun",6,36.85,41.05,1.2218,1.356782,4.5692,4.659336
"Samsun","Samsun",7.5,35.65,41.55,14.865,16.50726,7.0353,7.153101
"Samsun","Samsun",7,34.8,41.9,3.4,3.775625,5.4995,5.601035
"Samsun","Samsun",6,36.7,41.8,1.6587,1.84195,4.8355,4.929038
"Samsun","Samsun",7,36.25,40.35,3.101,3.443593,5.4113,5.511809
"Samsun","Samsun",7,36.2,40.2,2.784,3.091571,5.3091,5.408422
