location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sancaktepe","Sancaktepe",7.5,28.35,40.15,5.9115,6.564591,6.0484,6.156031
"Sancaktepe","Sancaktepe",8,28.1,41.25,10.792,11.98428,6.6824,6.796688
"Sancaktepe","Sancaktepe",7.5,28.95,40.3,8.1158,9.012418,6.3774,6.488577
"Sancaktepe","Sancaktepe",8,28.5,40,9.1921,10.20763,6.5096,6.622156
"Sancaktepe","Sancaktepe",6.5,27.6,41.4,1.404,1.559111,4.689,4.78074
"Sancaktepe","Sancaktepe",6,29.9,41.3,1.5137,1.680931,4.7548,4.8473
"Sancaktepe","Sancaktepe",7,28.25,41.05,4.6331,5.144956,5.8026,5.907551
"Sancaktepe","Sancaktepe",6.5,29.9,41.75,1.9753,2.193527,4.9921,5.087581
"Sancaktepe","Sancaktepe",7,29.65,40,3.4184,3.796058,5.5047,5.606295
"Sancaktepe","Sancaktepe",7,30.05,40.6,4.6576,5.172163,5.8079,5.912862
"Sancaktepe","Sancaktepe",8,28.8,40.6,15.965,17.72878,7.1154,7.234039
"Sancaktepe","Sancaktepe",6.5,29,40.9,9.5862,10.64527,6.5546,6.667554
"Sancaktepe","Sancaktepe",7.5,28.9,40.45,9.4751,10.52189,6.5421,6.654929
"Sancaktepe","Sancaktepe",8,28.6,39.95,9.1361,10.14544,6.5031,6.615563
"Sancaktepe","Sancaktepe",7,30.3,41.8,3.1016,3.444259,5.4115,5.511996
"Sancaktepe","Sancaktepe",6,28,41.5,.80521,.8941681,4.2218,4.307385
"Sancaktepe","Sancaktepe",7,28.35,39.95,2.929,3.25259,5.3571,5.456946
"Sancaktepe","Sancaktepe",6.5,30.3,40.4,1.8152,2.01574,4.9159,5.010465
"Sancaktepe","Sancaktepe",6.5,29.7,39.85,1.5281,1.696922,4.7631,4.855719
"Sancaktepe","Sancaktepe",8,28.65,40.7,15.57,17.29014,7.0872,7.205574
"Sancaktepe","Sancaktepe",8,28.15,41.25,11.098,12.32409,6.7128,6.827378
"Sancaktepe","Sancaktepe",7,28.2,41.95,2.9085,3.229825,5.3505,5.450218
"Sancaktepe","Sancaktepe",8,28.95,39.75,8.5614,9.507247,6.434,6.545711
"Sancaktepe","Sancaktepe",8,30.9,41.15,8.4348,9.366661,6.4182,6.529757
"Sancaktepe","Sancaktepe",7,29.05,40.25,4.604,5.112641,5.7964,5.901209
"Sancaktepe","Sancaktepe",8,29.75,41.95,9.6499,10.716,6.5617,6.674734
"Sancaktepe","Sancaktepe",6,30,39.95,.70499,.782876,4.115,4.199055
"Sancaktepe","Sancaktepe",6.5,28.55,41.15,3.4236,3.801833,5.5062,5.607776
"Sancaktepe","Sancaktepe",6.5,30.95,41.2,1.3728,1.524464,4.6695,4.760974
"Sancaktepe","Sancaktepe",8,29.85,39.85,8.6595,9.616185,6.4461,6.557928
"Sancaktepe","Sancaktepe",7,30.25,40.1,3.0393,3.375076,5.3922,5.492448
"Sancaktepe","Sancaktepe",6.5,27.85,41.65,1.4758,1.638844,4.7325,4.8248
"Sancaktepe","Sancaktepe",7,29.7,40.3,4.4498,4.941405,5.7625,5.866993
"Sancaktepe","Sancaktepe",7,28.75,40.05,3.5278,3.917545,5.5351,5.637053
"Sancaktepe","Sancaktepe",8,29.35,40,10.053,11.16364,6.6057,6.719198
"Sancaktepe","Sancaktepe",7,28.7,41.5,5.1794,5.75161,5.9143,6.020434
"Sancaktepe","Sancaktepe",6.5,29.7,41.25,4.0778,4.528307,5.6763,5.779868
"Sancaktepe","Sancaktepe",6.5,27.7,40.75,1.5456,1.716355,4.7731,4.865857
"Sancaktepe","Sancaktepe",8,28.7,39.95,9.3018,10.32944,6.5223,6.634966
"Sancaktepe","Sancaktepe",8,30.75,41.4,8.6793,9.638172,6.4485,6.560379
"Sancaktepe","Sancaktepe",6,30.35,40.8,.99972,1.110167,4.3998,4.487722
"Sancaktepe","Sancaktepe",6,29.9,41.65,1.0405,1.155452,4.4332,4.521586
"Sancaktepe","Sancaktepe",7,30.1,41.65,3.7257,4.137308,5.5881,5.690594
"Sancaktepe","Sancaktepe",8,29.75,39.95,9.2948,10.32167,6.5215,6.634153
"Sancaktepe","Sancaktepe",6,28.15,42,.63832,.7088404,4.0363,4.119307
"Sancaktepe","Sancaktepe",6.5,28.4,40.45,2.2272,2.473257,5.1016,5.198382
"Sancaktepe","Sancaktepe",7,30.8,41.4,2.8603,3.176301,5.3346,5.434228
"Sancaktepe","Sancaktepe",8,27.75,40.35,8.4032,9.33157,6.4142,6.525741
"Sancaktepe","Sancaktepe",7,30.25,41.2,4.2824,4.755511,5.7246,5.828626
"Sancaktepe","Sancaktepe",8,29,42,9.7377,10.8135,6.5714,6.68456
"Sancaktepe","Sancaktepe",7.5,28.6,40.45,8.1269,9.024744,6.3789,6.490035
"Sancaktepe","Sancaktepe",7.5,29.05,41.15,20.555,22.82588,7.4034,7.524872
"Sancaktepe","Sancaktepe",7,29.65,40.95,9.6385,10.70334,6.5604,6.673452
"Sancaktepe","Sancaktepe",7,28.75,40.8,7.9958,8.879161,6.3617,6.472709
"Sancaktepe","Sancaktepe",8,29.1,41.1,34.504,38.31594,8.0149,8.142074
"Sancaktepe","Sancaktepe",8,30.4,41,10.783,11.97429,6.6815,6.795774
"Sancaktepe","Sancaktepe",6,28.35,40.7,1.2429,1.380213,4.5838,4.674181
"Sancaktepe","Sancaktepe",8,27.9,40.2,8.4511,9.384762,6.4202,6.531823
"Sancaktepe","Sancaktepe",7,28.55,39.85,2.8964,3.216389,5.3465,5.446226
"Sancaktepe","Sancaktepe",7,30.2,41,4.6296,5.141069,5.8019,5.90679
"Sancaktepe","Sancaktepe",7,28.95,41.8,4.1003,4.553293,5.6818,5.785335
"Sancaktepe","Sancaktepe",7,29.75,39.85,2.9867,3.316665,5.3756,5.475664
"Sancaktepe","Sancaktepe",6.5,28.9,41.9,1.9152,2.126788,4.9641,5.059303
"Sancaktepe","Sancaktepe",7.5,27.7,40.5,5.1999,5.774375,5.9183,6.024459
"Sancaktepe","Sancaktepe",7,28.1,40.55,3.6759,4.082006,5.575,5.677364
"Sancaktepe","Sancaktepe",6.5,28.2,40.55,2.0558,2.282921,5.0283,5.124287
"Sancaktepe","Sancaktepe",7.5,29.55,40.35,8.432,9.363551,6.4178,6.529401
"Sancaktepe","Sancaktepe",7,30.95,40.7,2.7096,3.008951,5.2836,5.382644
"Sancaktepe","Sancaktepe",7.5,29.9,40.35,7.3025,8.109266,6.2666,6.376594
"Sancaktepe","Sancaktepe",6,28.95,40.4,1.4731,1.635845,4.731,4.823177
"Sancaktepe","Sancaktepe",7.5,29.9,41.25,9.5721,10.62961,6.553,6.665959
"Sancaktepe","Sancaktepe",8,29.1,40.55,17.318,19.23126,7.2074,7.326924
