location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sanliurfa","ŞAnliurfa",7.5,38.2,37.8,5.2288,5.806468,5.9238,6.030108
"Sanliurfa","ŞAnliurfa",6.5,38.45,37.6,1.8691,2.075595,4.9422,5.037076
"Sanliurfa","ŞAnliurfa",7,38,36.5,4.3556,4.836799,5.7413,5.845565
"Sanliurfa","ŞAnliurfa",6.5,39.4,36.1,2.5691,2.852929,5.2338,5.3322
"Sanliurfa","ŞAnliurfa",6,39.45,37.35,1.1749,1.304701,4.5358,4.625517
"Sanliurfa","ŞAnliurfa",6,40.15,37.45,.69029,.7665519,4.0982,4.182053
"Sanliurfa","ŞAnliurfa",8,39.65,36.65,14.63,16.24629,7.0174,7.135108
"Sanliurfa","ŞAnliurfa",6,38.1,37.15,1.0884,1.208644,4.471,4.55991
"Sanliurfa","ŞAnliurfa",7,38,36.65,4.494,4.990489,5.7723,5.876908
"Sanliurfa","ŞAnliurfa",6.5,39.45,36.35,3.3821,3.755748,5.4944,5.595894
"Sanliurfa","ŞAnliurfa",6,39.8,36.75,1.3113,1.45617,4.6299,4.720826
"Sanliurfa","ŞAnliurfa",7.5,38.45,36.3,9.6154,10.67769,6.5578,6.670851
"Sanliurfa","ŞAnliurfa",8,40.5,36.45,8.446,9.379098,6.4196,6.531177
"Sanliurfa","ŞAnliurfa",8,38.2,37.75,8.8053,9.778092,6.4638,6.575857
"Sanliurfa","ŞAnliurfa",6.5,38.75,37,5.5458,6.15849,5.9834,6.090306
"Sanliurfa","ŞAnliurfa",6.5,40.2,36.95,1.7651,1.960105,4.8908,4.985096
"Sanliurfa","ŞAnliurfa",7.5,37.45,36.65,5.3603,5.952496,5.9489,6.055467
"Sanliurfa","ŞAnliurfa",6.5,38.9,36.8,16.741,18.59051,7.169,7.288147
"Sanliurfa","ŞAnliurfa",7.5,40.1,37.4,5.5582,6.172259,5.9856,6.092597
"Sanliurfa","ŞAnliurfa",6,38.15,37.55,.80773,.8969665,4.2244,4.309955
"Sanliurfa","ŞAnliurfa",6,39.8,37.45,.85204,.9461718,4.2678,4.354024
"Sanliurfa","ŞAnliurfa",7.5,40.4,36.35,5.2961,5.881203,5.9367,6.043157
"Sanliurfa","ŞAnliurfa",8,38.75,37.5,11.535,12.80937,6.7548,6.869906
"Sanliurfa","ŞAnliurfa",7,38.45,37.3,4.788,5.316969,5.8354,5.94072
"Sanliurfa","ŞAnliurfa",6.5,39.15,36.7,10.892,12.09533,6.6924,6.806803
"Sanliurfa","ŞAnliurfa",7.5,38.4,36,7.142,7.931035,6.2435,6.353176
"Sanliurfa","ŞAnliurfa",8,38.9,36.35,19.714,21.89197,7.3554,7.476328
"Sanliurfa","ŞAnliurfa",7.5,39,36.6,31.003,34.42815,7.8863,8.012263
"Sanliurfa","ŞAnliurfa",8,39.3,36.4,17.877,19.85202,7.2435,7.363388
"Sanliurfa","ŞAnliurfa",7,38.55,37.6,3.7084,4.118097,5.5835,5.686016
"Sanliurfa","ŞAnliurfa",7.5,38.55,37.2,9.488,10.53622,6.5435,6.656402
"Sanliurfa","ŞAnliurfa",6.5,37.95,36.3,2.0214,2.24472,5.013,5.10876
"Sanliurfa","ŞAnliurfa",7,37.9,36.75,4.1162,4.57095,5.6856,5.789183
"Sanliurfa","ŞAnliurfa",6,39.35,37.3,1.34,1.488041,4.6485,4.739763
"Sanliurfa","ŞAnliurfa",7,39.7,37.2,4.4302,4.91964,5.7581,5.862568
"Sanliurfa","ŞAnliurfa",7.5,38.45,36.95,11.338,12.5906,6.7361,6.850918
"Sanliurfa","ŞAnliurfa",8,38.15,37.05,12.406,13.77659,6.8347,6.950492
"Sanliurfa","ŞAnliurfa",7.5,40.3,36.55,5.766,6.403017,6.023,6.13033
"Sanliurfa","ŞAnliurfa",8,39.4,37.15,14.588,16.19966,7.0143,7.131864
