location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sariyer","Sariyer",6,28,41.65,.9385,1.042184,4.3473,4.434543
"Sariyer","Sariyer",8,29.4,40.7,15.228,16.91036,7.0623,7.180394
"Sariyer","Sariyer",8,29,40.9,24.514,27.22226,7.6082,7.731576
"Sariyer","Sariyer",7.5,30.75,40.9,4.992,5.543507,5.8772,5.982967
"Sariyer","Sariyer",7.5,28.6,41.45,11.829,13.13585,6.7824,6.897705
"Sariyer","Sariyer",8,29.85,40.6,11.301,12.54951,6.7326,6.847318
"Sariyer","Sariyer",7.5,29.1,40.35,7.3258,8.13514,6.27,6.379955
"Sariyer","Sariyer",8,28.05,41.05,12.06,13.39237,6.8036,6.919112
"Sariyer","Sariyer",7,29.8,40.65,4.4676,4.961172,5.7665,5.870996
"Sariyer","Sariyer",8,28.1,41.9,9.8094,10.89312,6.5793,6.692524
"Sariyer","Sariyer",6.5,27.8,41.15,1.951,2.166543,4.9809,5.07624
"Sariyer","Sariyer",7,28.35,41.55,5.1975,5.77171,5.9178,6.023988
"Sariyer","Sariyer",6,27.5,41.15,.72495,.8050411,4.1373,4.221654
"Sariyer","Sariyer",8,28.15,41.2,13.049,14.49063,6.8904,7.006762
"Sariyer","Sariyer",8,27.95,40.7,10.363,11.50788,6.6384,6.752311
"Sariyer","Sariyer",8,28.5,41.45,15.931,17.69103,7.113,7.231615
"Sariyer","Sariyer",8,28.05,41,11.963,13.28465,6.7947,6.910169
"Sariyer","Sariyer",6,29.5,40.6,1.3685,1.519689,4.6668,4.758219
"Sariyer","Sariyer",6.5,29.25,40.4,2.3535,2.61351,5.1524,5.249812
"Sariyer","Sariyer",7.5,29.3,40.2,6.3084,7.00534,6.115,6.223354
"Sariyer","Sariyer",7.5,27.7,40.95,6.0533,6.722057,6.0727,6.180537
"Sariyer","Sariyer",6,27.8,41.55,.8472,.940797,4.2632,4.349309
"Sariyer","Sariyer",7.5,28.4,40.9,9.973,11.0748,6.5971,6.710503
"Sariyer","Sariyer",8,30.6,41.15,8.9207,9.906242,6.4777,6.589859
"Sariyer","Sariyer",7,30,41.85,3.5285,3.918322,5.5353,5.637247
