location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Siirt","SİİRt",7.5,41.8,39.1,6.5322,7.253865,6.1509,6.259656
"Siirt","SİİRt",7.5,40.8,37.7,6.7151,7.456972,6.1795,6.288502
"Siirt","SİİRt",6.5,43.05,37.65,1.6185,1.797309,4.8137,4.907029
"Siirt","SİİRt",7,40.1,38.15,2.7307,3.032382,5.2909,5.390018
"Siirt","SİİRt",6,40.25,38.75,.61704,.6852094,4.0097,4.092328
"Siirt","SİİRt",6.5,41.5,38.1,7.7759,8.634967,6.3324,6.443064
"Siirt","SİİRt",8,42.65,38.15,12.925,14.35293,6.8799,6.996109
"Siirt","SİİRt",6.5,43.1,38.75,1.5315,1.700697,4.765,4.857697
"Siirt","SİİRt",8,40.2,37.9,8.4342,9.365994,6.4181,6.52968
"Siirt","SİİRt",6,41.55,37.3,.98447,1.093232,4.387,4.474748
"Siirt","SİİRt",6,41.2,37.7,1.3791,1.53146,4.6735,4.764997
"Siirt","SİİRt",6.5,41.55,36.85,1.366,1.516913,4.6652,4.756614
"Siirt","SİİRt",8,41.55,38.5,18.991,21.08909,7.3125,7.433067
"Siirt","SİİRt",8,43.2,37.75,8.8452,9.822401,6.4686,6.580717
"Siirt","SİİRt",6.5,42.1,39.15,1.7887,1.986312,4.9027,4.997124
"Siirt","SİİRt",6,43.15,38.45,.76216,.846362,4.1774,4.262377
"Siirt","SİİRt",7.5,42.15,38.45,12.617,14.0109,6.8532,6.969243
"Siirt","SİİRt",7.5,41.35,37.05,5.496,6.103188,5.9742,6.081057
"Siirt","SİİRt",6.5,42.3,38.1,4.4672,4.960728,5.7664,5.870906
"Siirt","SİİRt",6,41.8,39.45,.64456,.7157698,4.044,4.12707
"Siirt","SİİRt",7.5,42,38.3,20.297,22.53937,7.3889,7.510175
"Siirt","SİİRt",6,42.2,39.2,.78008,.8662618,4.1962,4.281375
"Siirt","SİİRt",6,43,37.65,.77906,.8651291,4.1951,4.280304
"Siirt","SİİRt",8,42.25,38,18.453,20.49165,7.2797,7.399893
"Siirt","SİİRt",8,42.25,37.4,11.14,12.37073,6.7169,6.831531
"Siirt","SİİRt",7,42.7,38.85,3.546,3.937755,5.5401,5.642087
"Siirt","SİİRt",8,40.65,37.8,10.193,11.3191,6.6206,6.734265
"Siirt","SİİRt",6,42.25,37.35,.9728,1.080273,4.377,4.464699
"Siirt","SİİRt",6,41.2,38.1,2.0199,2.243055,5.0123,5.108078
"Siirt","SİİRt",7,42.3,39.15,3.3247,3.692007,5.478,5.579244
"Siirt","SİİRt",6.5,41.7,39.2,1.7504,1.943781,4.8834,4.977531
"Siirt","SİİRt",7,41.15,39.3,2.8994,3.21972,5.3475,5.447217
"Siirt","SİİRt",7.5,42.9,38.9,5.5864,6.203575,5.9908,6.097792
"Siirt","SİİRt",6.5,42.45,38.3,3.3906,3.765187,5.4969,5.598339
"Siirt","SİİRt",6,42.05,37.3,.9779,1.085937,4.3814,4.469103
"Siirt","SİİRt",8,40.4,38.95,8.1636,9.065499,6.3836,6.49484
"Siirt","SİİRt",6,41.8,37.6,1.629,1.808969,4.8195,4.912824
"Siirt","SİİRt",7.5,40.55,38.3,6.3048,7.001342,6.1144,6.222761
"Siirt","SİİRt",7,42.25,37.15,3.2897,3.65314,5.4678,5.568965
"Siirt","SİİRt",6.5,40.7,38,2.096,2.327562,5.046,5.142143
"Siirt","SİİRt",7,42.9,38.3,3.9249,4.358516,5.6389,5.741981
"Siirt","SİİRt",7,42.05,38.7,5.7877,6.427114,6.0268,6.1342
"Siirt","SİİRt",8,43.3,37.6,8.2344,9.144121,6.3928,6.504055
"Siirt","SİİRt",6,42.1,39.1,.88746,.9855049,4.3012,4.387836
"Siirt","SİİRt",6.5,42.95,38.2,1.9874,2.206964,4.9976,5.093182
"Siirt","SİİRt",7.5,41.15,38.6,8.5882,9.537008,6.4373,6.549061
"Siirt","SİİRt",7,40.1,38.35,2.71,3.009396,5.2838,5.382784
"Siirt","SİİRt",6,40.2,37.95,.65638,.7288956,4.0583,4.141599
"Siirt","SİİRt",6.5,42.6,37.45,1.8943,2.103579,4.9542,5.049285
"Siirt","SİİRt",7,43.1,37.95,3.3485,3.718436,5.4848,5.586179
"Siirt","SİİRt",7,40.45,37.45,2.8307,3.14343,5.3248,5.42429
"Siirt","SİİRt",8,40.8,38.85,9.7407,10.81683,6.5717,6.684894
"Siirt","SİİRt",6,42.25,39.4,.64345,.7145371,4.0426,4.125694
"Siirt","SİİRt",8,43.2,38.75,8.5356,9.478597,6.4308,6.542477
"Siirt","SİİRt",8,40.55,38.3,10.093,11.20806,6.61,6.723522
"Siirt","SİİRt",8,41.75,39.35,8.859,9.837726,6.4703,6.582393
"Siirt","SİİRt",7,43.15,38.55,3.1328,3.478906,5.4211,5.521655
"Siirt","SİİRt",6,41.4,39.15,.82671,.9180434,4.2432,4.329083
"Siirt","SİİRt",6,42.8,38.7,.89707,.9961766,4.31,4.396807
