location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sile","ŞİLe",7.5,29.9,40.3,6.7295,7.472962,6.1817,6.290743
"Sile","ŞİLe",7.5,31.35,41.4,4.9539,5.501197,5.8695,5.975195
"Sile","ŞİLe",7,29.95,39.95,2.8745,3.192069,5.3393,5.438964
"Sile","ŞİLe",6,29.65,40.8,2.5539,2.83605,5.2283,5.326597
"Sile","ŞİLe",8,30.45,40.65,11.342,12.59504,6.7364,6.851306
"Sile","ŞİLe",8,29.3,40.05,9.0605,10.06149,6.4943,6.606604
"Sile","ŞİLe",7.5,29.8,40.9,15.495,17.20686,7.0818,7.200095
"Sile","ŞİLe",6,28.65,40.9,1.1443,1.27072,4.5133,4.602807
"Sile","ŞİLe",7.5,29.8,41.15,26.832,29.79635,7.7145,7.838877
"Sile","ŞİLe",6,28.9,41.65,1.253,1.391429,4.5907,4.681208
"Sile","ŞİLe",7.5,29.75,41.85,8.3724,9.297367,6.4103,6.521813
"Sile","ŞİLe",7.5,29.8,41.4,17.336,19.25125,7.2086,7.328115
"Sile","ŞİLe",7,29.75,41.75,5.6991,6.328726,6.0111,6.118318
"Sile","ŞİLe",7,29.1,41.45,6.9332,7.699167,6.2126,6.321991
"Sile","ŞİLe",7,30.8,41.15,3.8779,4.306323,5.6271,5.73007
"Sile","ŞİLe",6,29.2,40.15,.79331,.8809534,4.2098,4.295158
"Sile","ŞİLe",7.5,29.4,39.85,4.9393,5.484984,5.8666,5.972203
"Sile","ŞİLe",6.5,30.65,41.25,2.3153,2.57109,5.1373,5.23452
"Sile","ŞİLe",7,29.15,39.9,2.7383,3.040822,5.2936,5.392661
"Sile","ŞİLe",7.5,29.75,41.8,8.8806,9.861712,6.4729,6.585012
"Sile","ŞİLe",7,28.85,41.25,5.7951,6.435332,6.0281,6.135517
"Sile","ŞİLe",7,30.45,41.15,5.2985,5.883868,5.9372,6.04362
"Sile","ŞİLe",6.5,31,41.2,1.7341,1.92568,4.875,4.969078
"Sile","ŞİLe",7,28.7,41.35,4.8284,5.361833,5.8438,5.949213
"Sile","ŞİLe",6.5,29.8,41.45,5.8681,6.516397,6.0409,6.148425
"Sile","ŞİLe",6,30.95,40.75,.7696,.854624,4.1853,4.270311
"Sile","ŞİLe",6.5,29.4,40.1,1.6735,1.858385,4.8434,4.937022
"Sile","ŞİLe",6,29.75,41.95,1.1271,1.25162,4.5005,4.589808
"Sile","ŞİLe",8,31,40.85,9.3301,10.36087,6.5256,6.638249
"Sile","ŞİLe",6,30.5,41.7,1.0263,1.139684,4.4217,4.509929
"Sile","ŞİLe",6,30.25,41.7,1.2516,1.389874,4.5898,4.680237
"Sile","ŞİLe",7,30.05,41.25,9.203,10.21973,6.5109,6.623435
"Sile","ŞİLe",7.5,30.65,41.55,6.9371,7.703498,6.2132,6.322581
"Sile","ŞİLe",7,30.7,41.5,3.9396,4.374839,5.6425,5.74568
"Sile","ŞİLe",7.5,28.6,41.9,5.9854,6.646656,6.0611,6.168868
"Sile","ŞİLe",7,29.85,40.55,5.182,5.754498,5.9148,6.020946
"Sile","ŞİLe",7.5,28.1,41.35,5.5679,6.183031,5.9874,6.094387
"Sile","ŞİLe",8,28.35,41.8,9.1573,10.16898,6.5056,6.618063
