location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Silivri","SİLİVrİ",6,27.3,40.25,.77349,.8589437,4.1893,4.274433
"Silivri","SİLİVrİ",7.5,28.2,40.5,9.5745,10.63227,6.5533,6.666231
"Silivri","SİLİVrİ",7,28.3,40,3.2944,3.658359,5.4692,5.570352
"Silivri","SİLİVrİ",8,27.25,40,8.2603,9.172882,6.3961,6.507408
"Silivri","SİLİVrİ",8,28.45,40.75,19.821,22.01079,7.3616,7.482608
"Silivri","SİLİVrİ",6,27.2,40.9,1.0855,1.205424,4.4687,4.557632
"Silivri","SİLİVrİ",6.5,29.65,40.65,1.5884,1.763883,4.7971,4.890232
"Silivri","SİLİVrİ",7.5,27.9,40.75,12.315,13.67554,6.8265,6.942317
"Silivri","SİLİVrİ",6.5,29.75,40.95,1.5914,1.767215,4.7988,4.891918
"Silivri","SİLİVrİ",6.5,29.35,41.85,1.6034,1.780541,4.8055,4.898637
"Silivri","SİLİVrİ",8,27.1,40.35,9.1474,10.15799,6.5044,6.616896
"Silivri","SİLİVrİ",8,28.15,41.7,13.634,15.14026,6.939,7.055816
"Silivri","SİLİVrİ",8,28.05,39.85,8.6247,9.57754,6.4418,6.553608
"Silivri","SİLİVrİ",7.5,28.15,41.05,39.673,44.056,8.1845,8.31326
"Silivri","SİLİVrİ",6.5,27,40.45,1.6032,1.780318,4.8053,4.898525
"Silivri","SİLİVrİ",7.5,29.15,41.3,8.0786,8.971108,6.3726,6.483681
"Silivri","SİLİVrİ",6.5,27.2,41.35,2.1864,2.427949,5.0846,5.181215
"Silivri","SİLİVrİ",6,29.7,41.35,.74831,.8309819,4.1627,4.247426
"Silivri","SİLİVrİ",8,28.95,40.55,12.121,13.4601,6.8092,6.924703
"Silivri","SİLİVrİ",7.5,29.5,40.2,5.0635,5.622906,5.8915,5.997408
"Silivri","SİLİVrİ",7,28.45,41.85,4.3578,4.839242,5.7418,5.84607
"Silivri","SİLİVrİ",6,27.6,41.8,.99888,1.109234,4.3991,4.487012
"Silivri","SİLİVrİ",8,29.05,40.3,10.049,11.15919,6.6052,6.718765
"Silivri","SİLİVrİ",7.5,28.05,40.9,19.449,21.59769,7.3398,7.460642
