location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sinop","SİNop",6.5,34.05,41.1,1.9431,2.15777,4.9772,5.072526
"Sinop","SİNop",7,35.05,41.5,5.8961,6.54749,6.0457,6.153337
"Sinop","SİNop",6.5,34,41.15,2.0025,2.223732,5.0045,5.100129
"Sinop","SİNop",6.5,34.6,41.35,3.0693,3.408391,5.4015,5.501905
"Sinop","SİNop",7.5,34.6,40.95,6.223,6.910505,6.101,6.209196
"Sinop","SİNop",7,35.25,40.7,2.7006,2.998957,5.2805,5.379483
"Sinop","SİNop",7,35.45,41.85,5.1988,5.773154,5.918,6.024243
"Sinop","SİNop",7,34.55,40.95,3.532,3.922209,5.5363,5.638217
"Sinop","SİNop",6,35.45,41.35,.99165,1.101206,4.393,4.480878
"Sinop","SİNop",8,33.5,41.6,10.837,12.03425,6.6869,6.80125
"Sinop","SİNop",8,35.6,41.8,11.913,13.22913,6.7901,6.905533
"Sinop","SİNop",6,35.7,41.95,1.06,1.177107,4.4488,4.537371
"Sinop","SİNop",7.5,34.65,41.3,8.7399,9.705467,6.4559,6.567848
"Sinop","SİNop",7,33.5,41.4,3.5879,3.984284,5.5515,5.65359
"Sinop","SİNop",7,35.8,41.5,3.4942,3.880233,5.5259,5.627698
"Sinop","SİNop",7.5,34.1,40.8,5.3593,5.951385,5.9487,6.055276
"Sinop","SİNop",8,33.7,41.35,10.756,11.9443,6.6788,6.793026
"Sinop","SİNop",6.5,36.25,41.55,1.3927,1.546563,4.682,4.773627
"Sinop","SİNop",8,35.95,41.85,9.833,10.91933,6.5819,6.695135
"Sinop","SİNop",6,35.45,41.45,1.0812,1.200649,4.4654,4.554245
"Sinop","SİNop",6,34.45,40.8,.73099,.8117484,4.1439,4.228386
"Sinop","SİNop",6.5,33.05,41.9,1.5853,1.760441,4.7954,4.888485
"Sinop","SİNop",6.5,33.45,40.95,1.3819,1.53457,4.6753,4.76678
"Sinop","SİNop",7.5,34.4,41.1,7.0038,7.777566,6.2231,6.332629
"Sinop","SİNop",6.5,35.3,40.9,1.5458,1.716577,4.7732,4.865972
"Sinop","SİNop",7,33.9,41.9,6.4011,7.108282,6.13,6.238529
"Sinop","SİNop",8,33.35,41.55,9.9191,11.01494,6.5913,6.704609
"Sinop","SİNop",6.5,35.35,40.9,1.5228,1.691036,4.76,4.852629
"Sinop","SİNop",6,33.15,41.95,.79355,.8812199,4.21,4.295406
"Sinop","SİNop",6.5,35.8,41.2,1.5462,1.717021,4.7734,4.866203
"Sinop","SİNop",6.5,35,41.55,3.6539,4.057576,5.5692,5.671469
"Sinop","SİNop",6.5,34.05,42,4.5351,5.036129,5.7813,5.886049
"Sinop","SİNop",6,33.7,41.85,1.3463,1.495037,4.6526,4.743873
"Sinop","SİNop",6.5,34.5,41.8,11.03,12.24857,6.7061,6.820624
"Sinop","SİNop",8,33.65,41.45,11.041,12.26079,6.7072,6.82172
"Sinop","SİNop",8,34.1,41.5,14.464,16.06195,7.0047,7.122239
"Sinop","SİNop",6.5,34.85,41.05,1.9858,2.205187,4.9969,5.092443
"Sinop","SİNop",8,34.5,42,46.993,52.1847,8.3931,8.52367
"Sinop","SİNop",7.5,35.2,41,5.9635,6.622336,6.0573,6.165078
"Sinop","SİNop",6,34.7,41.1,1.0275,1.141016,4.4226,4.51092
"Sinop","SİNop",6.5,36.3,41.55,1.3551,1.504809,4.6582,4.749584
"Sinop","SİNop",7,35.15,41.6,6.0929,6.766032,6.0793,6.187289
"Sinop","SİNop",8,34.05,41.45,13.493,14.98368,6.9274,7.044169
"Sinop","SİNop",8,35.2,41.6,14.522,16.12636,7.0091,7.12675
"Sinop","SİNop",8,36.3,41.8,8.4031,9.331458,6.4142,6.525728
"Sinop","SİNop",6,35.45,41.5,1.1274,1.251953,4.5008,4.590035
"Sinop","SİNop",7.5,36.2,41.35,4.9104,5.452892,5.8607,5.966257
"Sinop","SİNop",6.5,34,40.8,1.4772,1.640398,4.7333,4.82564
"Sinop","SİNop",6.5,33.6,41.5,2.1146,2.348217,5.0541,5.150302
"Sinop","SİNop",6.5,34.8,41.15,2.2474,2.495688,5.1099,5.206779
"Sinop","SİNop",8,33.1,41.7,9.1274,10.13578,6.5021,6.614535
"Sinop","SİNop",7,34.25,41.45,5.9627,6.621448,6.0572,6.164939
"Sinop","SİNop",6,34.7,40.95,.85652,.9511467,4.2721,4.358368
"Sinop","SİNop",6,36.25,41.95,.6745,.7490175,4.0798,4.163435
"Sinop","SİNop",7.5,33.9,41.8,10.187,11.31244,6.62,6.733623
"Sinop","SİNop",7,33.95,41.15,3.7648,4.180728,5.5982,5.700871
"Sinop","SİNop",7.5,34.3,41.9,20.152,22.37836,7.3806,7.50184
"Sinop","SİNop",6.5,34.05,40.7,1.3836,1.536458,4.6763,4.767861
"Sinop","SİNop",6.5,34.8,41.25,2.5591,2.841825,5.2301,5.328517
