location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sirnak","ŞIrnak",7.5,42,38.4,5.2383,5.817018,5.9257,6.03196
"Sirnak","ŞIrnak",6.5,43.75,36.95,2.3549,2.615065,5.1529,5.250368
"Sirnak","ŞIrnak",6.5,42.55,37.35,3.4097,3.786397,5.5023,5.603811
"Sirnak","ŞIrnak",8,43.25,38.75,8.8883,9.870262,6.4738,6.585944
"Sirnak","ŞIrnak",6.5,43.3,37.3,6.2789,6.972581,6.1102,6.218483
"Sirnak","ŞIrnak",7,43.55,38.15,5.1621,5.732399,5.9109,6.017026
"Sirnak","ŞIrnak",8,41.5,37.4,8.185,9.089263,6.3864,6.497633
"Sirnak","ŞIrnak",6.5,43.2,36.5,1.6972,1.884703,4.8559,4.949679
"Sirnak","ŞIrnak",7.5,42.85,36.4,5.3789,5.973151,5.9524,6.059009
"Sirnak","ŞIrnak",7,43.4,36.55,3.4058,3.782066,5.5012,5.602696
"Sirnak","ŞIrnak",7.5,42.7,37,8.4035,9.331903,6.4143,6.525779
"Sirnak","ŞIrnak",8,42.2,36.9,9.8155,10.8999,6.58,6.6932
"Sirnak","ŞIrnak",7,42.15,36.85,3.2737,3.635372,5.4632,5.564234
"Sirnak","ŞIrnak",6,42.2,38.4,.74886,.8315926,4.1633,4.248024
"Sirnak","ŞIrnak",6,42.4,38.3,.90959,1.01008,4.3215,4.408368
"Sirnak","ŞIrnak",7,43.65,37.3,6.9414,7.708273,6.2138,6.323232
"Sirnak","ŞIrnak",7,42.7,36.95,4.7138,5.234571,5.8198,5.924953
"Sirnak","ŞIrnak",7.5,42.7,38,9.7153,10.78863,6.5689,6.682061
"Sirnak","ŞIrnak",6,42.75,38.35,1.0333,1.147457,4.4274,4.515693
"Sirnak","ŞIrnak",7.5,41.6,38.05,4.9583,5.506083,5.8704,5.976096
"Sirnak","ŞIrnak",7,41.5,37.7,2.7286,3.030051,5.2902,5.389286
"Sirnak","ŞIrnak",6.5,44,38.35,1.7842,1.981315,4.9005,4.994842
"Sirnak","ŞIrnak",6,42.85,37.25,2.3358,2.593855,5.1454,5.242754
"Sirnak","ŞIrnak",6.5,42,38.45,1.4253,1.582764,4.7021,4.794014
"Sirnak","ŞIrnak",8,42.2,37.6,11.921,13.23801,6.7908,6.906276
"Sirnak","ŞIrnak",6,42.05,37.5,.97796,1.086003,4.3814,4.469155
"Sirnak","ŞIrnak",7.5,43.15,37.8,19.466,21.61657,7.3408,7.461654
"Sirnak","ŞIrnak",6.5,42.8,37.45,5.8023,6.443327,6.0294,6.136796
"Sirnak","ŞIrnak",6.5,43.35,38.35,2.3016,2.555876,5.1318,5.228981
"Sirnak","ŞIrnak",6.5,43.4,37.45,8.1827,9.086709,6.3861,6.497333
"Sirnak","ŞIrnak",6,41.55,37.65,.64658,.7180129,4.0464,4.12957
"Sirnak","ŞIrnak",7,43.55,36.75,3.9686,4.407043,5.6497,5.752942
"Sirnak","ŞIrnak",6.5,43.9,36.55,1.543,1.713468,4.7716,4.864357
"Sirnak","ŞIrnak",8,41.95,37.6,10.2,11.32688,6.6214,6.735013
"Sirnak","ŞIrnak",6,43.55,37.95,1.9227,2.135116,4.9677,5.062875
"Sirnak","ŞIrnak",7.5,42.25,38.5,5.4536,6.056103,5.9664,6.073123
"Sirnak","ŞIrnak",6.5,42.15,37.15,1.9995,2.220401,5.0031,5.098752
"Sirnak","ŞIrnak",8,43.9,37.95,12.766,14.17636,6.8662,6.982313
"Sirnak","ŞIrnak",6,42.4,36.45,.65016,.7219884,4.0508,4.133982
"Sirnak","ŞIrnak",8,43,37.75,27.124,30.12061,7.7273,7.851789
"Sirnak","ŞIrnak",7,42.3,38.45,3.1953,3.548311,5.4399,5.540748
"Sirnak","ŞIrnak",6.5,44,36.6,1.543,1.713468,4.7716,4.864357
"Sirnak","ŞIrnak",6,41.95,37.3,.85291,.9471379,4.2687,4.354869
"Sirnak","ŞIrnak",7.5,42.3,37.5,8.3062,9.223853,6.4019,6.513328
"Sirnak","ŞIrnak",7.5,42.55,37.8,10.092,11.20695,6.6099,6.723414
"Sirnak","ŞIrnak",7,43.3,38.4,4.1372,4.59427,5.6906,5.794244
"Sirnak","ŞIrnak",7,42.5,38.65,2.9861,3.315999,5.3754,5.475471
"Sirnak","ŞIrnak",6,42.75,37.7,2.724,3.024942,5.2886,5.387682
"Sirnak","ŞIrnak",7,42.8,37.35,8.676,9.634508,6.4481,6.55997
"Sirnak","ŞIrnak",7,43.75,36.4,2.8579,3.173635,5.3339,5.433426
"Sirnak","ŞIrnak",7,43.5,36.5,3.2222,3.578182,5.4479,5.548864
"Sirnak","ŞIrnak",7.5,42.15,36.75,5.5422,6.154492,5.9827,6.08964
"Sirnak","ŞIrnak",7,43.15,37.3,11.268,12.51287,6.7294,6.844099
"Sirnak","ŞIrnak",6,43.25,36.65,.9368,1.040296,4.3458,4.433023
"Sirnak","ŞIrnak",6,42.85,36.45,.73238,.813292,4.1454,4.229929
"Sirnak","ŞIrnak",7.5,43.3,36.95,8.9367,9.924009,6.4796,6.591787
"Sirnak","ŞIrnak",7.5,43.4,38.55,6.2207,6.907951,6.1006,6.208813
