location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sisli","ŞİŞLİ",7.5,29.2,41.25,17.933,19.9142,7.2471,7.366984
"Sisli","ŞİŞLİ",7,30,40.95,4.401,4.887214,5.7516,5.855943
"Sisli","ŞİŞLİ",8,28.65,39.8,8.4094,9.338454,6.415,6.526529
"Sisli","ŞİŞLİ",7.5,30.3,40.25,5.0747,5.635343,5.8937,5.999654
"Sisli","ŞİŞLİ",7.5,28.65,40.6,10.394,11.54231,6.6417,6.755572
"Sisli","ŞİŞLİ",7.5,28.75,41.6,9.6832,10.75298,6.5654,6.67847
"Sisli","ŞİŞLİ",6,28.95,39.85,.6924,.768895,4.1006,4.184512
"Sisli","ŞİŞLİ",6.5,30.7,41.25,1.3806,1.533126,4.6744,4.765953
"Sisli","ŞİŞLİ",7.5,28.1,40.85,8.287,9.202532,6.3995,6.510855
"Sisli","ŞİŞLİ",7.5,29.2,39.8,5.1383,5.70597,5.9062,6.012322
"Sisli","ŞİŞLİ",6.5,27.85,41.2,2.1204,2.354658,5.0565,5.152834
"Sisli","ŞİŞLİ",6.5,28.75,41.7,2.7504,3.054259,5.2977,5.396857
"Sisli","ŞİŞLİ",6.5,28.35,40.8,3.4023,3.77818,5.5002,5.601694
"Sisli","ŞİŞLİ",8,27.55,40.9,9.4017,10.44038,6.5338,6.646515
"Sisli","ŞİŞLİ",6,29.7,40.85,1.5616,1.734123,4.7822,4.875038
"Sisli","ŞİŞLİ",6.5,28.6,40.6,3.4003,3.775959,5.4996,5.601121
"Sisli","ŞİŞLİ",7,29.1,41.45,7.9399,8.817085,6.3544,6.465243
"Sisli","ŞİŞLİ",6.5,29.75,41.15,3.0961,3.438151,5.4098,5.510284
"Sisli","ŞİŞLİ",7.5,30.6,40.55,4.9498,5.496644,5.8687,5.974356
"Sisli","ŞİŞLİ",8,28.8,40.3,11.896,13.21025,6.7886,6.903953
"Sisli","ŞİŞLİ",7,29,41.2,19.054,21.15905,7.3163,7.436896
"Sisli","ŞİŞLİ",7.5,30.2,41.95,5.1036,5.667436,5.8994,6.005428
"Sisli","ŞİŞLİ",6.5,28.35,40.15,1.776,1.972209,4.8963,4.990669
"Sisli","ŞİŞLİ",6.5,29.2,41.1,10.198,11.32466,6.6211,6.734799
"Sisli","ŞİŞLİ",7.5,29.6,41.1,11.189,12.42514,6.7217,6.836357
"Sisli","ŞİŞLİ",7.5,30.05,41.85,5.6319,6.254102,5.999,6.106122
"Sisli","ŞİŞLİ",6.5,28,40.3,1.7171,1.906802,4.8663,4.960186
"Sisli","ŞİŞLİ",6,29.1,40.55,1.797,1.995529,4.9069,5.001321
"Sisli","ŞİŞLİ",6.5,29.4,40.6,3.275,3.636816,5.4635,5.564619
"Sisli","ŞİŞLİ",7,29.1,40.35,4.771,5.298091,5.8319,5.937127
"Sisli","ŞİŞLİ",6,28.25,41.95,.81469,.9046954,4.2313,4.317014
"Sisli","ŞİŞLİ",7,28.55,42,3.5364,3.927095,5.5375,5.639435
"Sisli","ŞİŞLİ",6,28.8,41.45,2.2936,2.546993,5.1286,5.225733
"Sisli","ŞİŞLİ",7,28.25,39.9,2.8131,3.123886,5.3189,5.418337
"Sisli","ŞİŞLİ",6,30.5,40.75,.70218,.7797555,4.1118,4.195829
"Sisli","ŞİŞLİ",7.5,29.8,40.15,5.7436,6.378142,6.019,6.126322
"Sisli","ŞİŞLİ",7,29.3,41.7,4.9349,5.480098,5.8657,5.9713
"Sisli","ŞİŞLİ",7,30.25,40.6,3.3196,3.686343,5.4765,5.577753
"Sisli","ŞİŞLİ",7,29.9,41.6,3.9458,4.381724,5.6441,5.747237
"Sisli","ŞİŞLİ",7,30.7,41.4,2.7005,2.998846,5.2805,5.379448
"Sisli","ŞİŞLİ",7,29.6,41.7,4.3272,4.805261,5.7349,5.839023
"Sisli","ŞİŞLİ",8,27.75,41.25,10.361,11.50566,6.6383,6.7521
"Sisli","ŞİŞLİ",6,29.45,40.05,.7934,.8810533,4.2099,4.295251
"Sisli","ŞİŞLİ",8,29.85,41.6,11.098,12.32409,6.7127,6.827378
"Sisli","ŞİŞLİ",7,28.95,41.2,19.045,21.14906,7.3158,7.436349
"Sisli","ŞİŞLİ",8,29.3,41.3,20.414,22.6693,7.3955,7.51686
"Sisli","ŞİŞLİ",7,29.8,40.35,3.7086,4.118319,5.5836,5.686069
"Sisli","ŞİŞLİ",7.5,28.2,42,5.724,6.356377,6.0155,6.122803
"Sisli","ŞİŞLİ",7,28.9,39.8,2.8605,3.176523,5.3347,5.434295
"Sisli","ŞİŞLİ",7.5,28.95,41.55,10.826,12.02204,6.6858,6.800137
"Sisli","ŞİŞLİ",6,28.95,41.9,1.0374,1.15201,4.4307,4.519053
"Sisli","ŞİŞLİ",7.5,30.5,41.55,5.2104,5.786035,5.9203,6.026515
"Sisli","ŞİŞLİ",6,27.55,40.95,.78417,.8708036,4.2004,4.285657
"Sisli","ŞİŞLİ",8,27.8,41.05,10.803,11.9965,6.6835,6.797805
"Sisli","ŞİŞLİ",6.5,28.25,40.05,1.5814,1.75611,4.7932,4.886285
"Sisli","ŞİŞLİ",7,27.8,40.75,3.7223,4.133533,5.5872,5.689695
"Sisli","ŞİŞLİ",7,30.1,40.25,3.0448,3.381184,5.3939,5.494188
"Sisli","ŞİŞLİ",6,29.25,40.9,3.8138,4.235141,5.6108,5.713616
"Sisli","ŞİŞLİ",7.5,29.25,39.85,5.2826,5.866211,5.9342,6.040551
"Sisli","ŞİŞLİ",7.5,29.3,40.1,6.2603,6.951926,6.1071,6.215401
"Sisli","ŞİŞLİ",8,28,40.75,11.593,12.87377,6.7604,6.875441
"Sisli","ŞİŞLİ",6.5,30.2,41.9,1.456,1.616856,4.7207,4.812841
"Sisli","ŞİŞLİ",7.5,28.15,41.65,7.0052,7.779121,6.2233,6.332839
"Sisli","ŞİŞLİ",8,29,41.35,22.694,25.20119,7.5181,7.640643
"Sisli","ŞİŞLİ",6,29.7,40.55,1.1878,1.319026,4.5451,4.634935
"Sisli","ŞİŞLİ",7.5,29.05,40.25,7.3321,8.142137,6.2709,6.380862
"Sisli","ŞİŞLİ",7,30.25,40.35,2.9922,3.322773,5.3773,5.477431
"Sisli","ŞİŞLİ",7,29.5,40,3.153,3.501338,5.4272,5.527863
"Sisli","ŞİŞLİ",8,27.35,40.6,8.2751,9.189318,6.398,6.50932
"Sisli","ŞİŞLİ",6,27.7,40.65,.81278,.9025744,4.2294,4.315082
"Sisli","ŞİŞLİ",7,30.5,41.1,3.1034,3.446258,5.4121,5.512556
"Sisli","ŞİŞLİ",8,30.45,41.45,8.9151,9.900023,6.477,6.589183
"Sisli","ŞİŞLİ",7.5,27.9,40.9,7.2078,8.004104,6.253,6.362833
"Sisli","ŞİŞLİ",8,28.45,41.05,18.591,20.6449,7.2882,7.408486
"Sisli","ŞİŞLİ",6.5,28.05,41.65,1.9947,2.215071,5.0009,5.096546
"Sisli","ŞİŞLİ",7,28.85,40.7,8.5829,9.531122,6.4366,6.548399
"Sisli","ŞİŞLİ",8,30.45,41.65,8.5273,9.46938,6.4298,6.541434
"Sisli","ŞİŞLİ",7,30.35,41.4,3.2597,3.619825,5.459,5.560077
"Sisli","ŞİŞLİ",8,28.2,40.05,8.9621,9.952216,6.4826,6.594842
"Sisli","ŞİŞLİ",7.5,28.65,41.15,17.631,19.57884,7.2277,7.347471
"Sisli","ŞİŞLİ",7.5,27.8,40.8,6.6,7.329155,6.1616,6.270432
"Sisli","ŞİŞLİ",7,30.35,40.4,2.917,3.239265,5.3532,5.453013
"Sisli","ŞİŞLİ",7,28.3,40.1,3.2677,3.628709,5.4614,5.562455
"Sisli","ŞİŞLİ",7,29.95,40.3,3.3455,3.715105,5.484,5.585307
"Sisli","ŞİŞLİ",7.5,29.95,40,5.0686,5.628569,5.8925,5.998431
"Sisli","ŞİŞLİ",8,28.3,41.1,15.68,17.4123,7.0951,7.213566
"Sisli","ŞİŞLİ",7,27.9,41.5,3.7899,4.208601,5.6047,5.707418
"Sisli","ŞİŞLİ",6,29.15,40.4,1.341,1.489151,4.6492,4.740417
"Sisli","ŞİŞLİ",6,29.25,41.4,2.3837,2.647047,5.1642,5.261746
"Sisli","ŞİŞLİ",6.5,29.8,41.8,1.8836,2.091697,4.9491,5.044119
"Sisli","ŞİŞLİ",7,27.65,40.95,3.5016,3.88845,5.5279,5.629765
"Sisli","ŞİŞLİ",8,29.55,40.65,14.14,15.70216,6.9795,7.096731
"Sisli","ŞİŞLİ",6.5,28.15,41.5,2.3952,2.659817,5.1686,5.266255
"Sisli","ŞİŞLİ",6,28.45,41.55,1.4345,1.592981,4.7077,4.799693
"Sisli","ŞİŞLİ",6.5,27.45,41.25,1.5588,1.731013,4.7806,4.873437
"Sisli","ŞİŞLİ",6,30.05,40.15,.68431,.7599113,4.0913,4.175045
