location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sivas","SİVas",6,38.5,39.9,4.7081,5.228242,5.8186,5.923733
"Sivas","SİVas",8,38.4,41.15,9.4915,10.5401,6.5439,6.656801
"Sivas","SİVas",6,39.4,39.3,.7508,.833747,4.1653,4.250132
"Sivas","SİVas",6,38.25,38.9,.71014,.7885949,4.1208,4.204938
"Sivas","SİVas",7.5,39.15,41.1,5.4062,6.003467,5.9576,6.064187
"Sivas","SİVas",6,37.65,40.05,1.7297,1.920794,4.8727,4.966784
"Sivas","SİVas",6.5,39.9,40.35,1.491,1.655723,4.7415,4.833884
"Sivas","SİVas",7.5,39.8,40.25,5.6566,6.28153,6.0035,6.11062
"Sivas","SİVas",7.5,37.25,41.1,4.9857,5.53651,5.8759,5.981685
"Sivas","SİVas",6.5,38.25,40.7,2.9211,3.243818,5.3545,5.454359
"Sivas","SİVas",7.5,38,39.75,12.214,13.56338,6.8175,6.933178
"Sivas","SİVas",7.5,39.1,40.15,9.525,10.5773,6.5477,6.660616
"Sivas","SİVas",6.5,38.45,39.5,3.1348,3.481127,5.4217,5.522271
"Sivas","SİVas",7.5,37.75,39.25,6.4757,7.191123,6.142,6.250598
"Sivas","SİVas",6,39.45,40.5,.9163,1.017531,4.3275,4.414507
"Sivas","SİVas",7.5,37.2,40.25,6.784,7.533484,6.19,6.299186
"Sivas","SİVas",7.5,37.3,40.35,7.0916,7.875067,6.2361,6.345724
"Sivas","SİVas",8,36.95,39.4,8.4599,9.394534,6.4213,6.532937
"Sivas","SİVas",7,37.5,39.8,4.8151,5.347063,5.8411,5.946424
"Sivas","SİVas",7,38.4,39.9,15.716,17.45227,7.0977,7.216171
"Sivas","SİVas",6.5,39.15,39.75,2.6171,2.906232,5.2511,5.349703
"Sivas","SİVas",7.5,37.3,39.65,6.681,7.419104,6.1742,6.283178
"Sivas","SİVas",7,39.3,39.2,3.1165,3.460805,5.4161,5.516619
"Sivas","SİVas",8,39.5,40.5,10.122,11.24026,6.6131,6.726647
"Sivas","SİVas",7.5,37.95,40.7,8.3027,9.219967,6.4015,6.512877
"Sivas","SİVas",6.5,37.85,39.4,2.3444,2.603405,5.1488,5.246189
"Sivas","SİVas",8,38.8,40.05,20.269,22.50828,7.3873,7.50857
"Sivas","SİVas",8,37,40.6,9.044,10.04316,6.4923,6.60464
"Sivas","SİVas",6,38.45,39.55,1.7288,1.919795,4.8723,4.966314
"Sivas","SİVas",7.5,39.45,40.5,6.5073,7.226214,6.147,6.255672
"Sivas","SİVas",7.5,37.9,40.05,14.354,15.9398,6.9962,7.113637
"Sivas","SİVas",8,38.65,40.25,22.942,25.47659,7.5308,7.653417
"Sivas","SİVas",8,38.35,41.15,9.4961,10.54521,6.5444,6.657326
"Sivas","SİVas",7,36.9,40.85,2.6955,2.993294,5.2787,5.377688
"Sivas","SİVas",7.5,38.35,41,6.6163,7.347256,6.1641,6.273009
"Sivas","SİVas",7,39.3,41,3.05,3.386958,5.3955,5.495831
"Sivas","SİVas",7.5,37.7,39.85,9.9988,11.10345,6.5999,6.713314
"Sivas","SİVas",7.5,36.75,40.25,5.2589,5.839893,5.9296,6.035963
"Sivas","SİVas",7,39.7,40.25,3.3738,3.746531,5.4921,5.593503
"Sivas","SİVas",6,37.4,40.95,.74574,.8281279,4.1599,4.244625
"Sivas","SİVas",6.5,39.3,39.9,2.4283,2.696574,5.1813,5.279128
"Sivas","SİVas",6,37.5,41.15,.66613,.7397228,4.07,4.153412
"Sivas","SİVas",7.5,39.3,39.7,7.2324,8.031422,6.2566,6.366423
"Sivas","SİVas",7.5,39.15,41.05,5.5642,6.178922,5.9867,6.093704
"Sivas","SİVas",6.5,38.75,39.95,5.4676,6.07165,5.969,6.075748
"Sivas","SİVas",6.5,39.85,40.7,1.3912,1.544897,4.681,4.772678
"Sivas","SİVas",6,38.95,39.9,1.8804,2.088143,4.9476,5.042569
"Sivas","SİVas",7.5,37.15,40.05,6.6472,7.38157,6.169,6.277876
"Sivas","SİVas",7,39.5,39.25,2.955,3.281463,5.3655,5.465421
"Sivas","SİVas",7.5,37.95,40.35,12.575,13.96426,6.8496,6.965533
"Sivas","SİVas",8,38.2,40.65,14.353,15.93869,6.9961,7.113559
"Sivas","SİVas",6,38.35,41,.93822,1.041873,4.347,4.434293
"Sivas","SİVas",6,37.15,40.75,.7446,.826862,4.1587,4.24338
"Sivas","SİVas",6,39.1,39.25,.84551,.9389203,4.2616,4.347657
"Sivas","SİVas",6.5,38.05,39.45,2.7345,3.036602,5.2923,5.39134
"Sivas","SİVas",8,38.1,40.05,29.897,33.19996,7.8429,7.968465
"Sivas","SİVas",7.5,37.1,40.25,6.3646,7.067749,6.1241,6.232578
"Sivas","SİVas",7.5,37.65,39.55,7.7696,8.627971,6.3315,6.442204
"Sivas","SİVas",7,39.45,39.8,3.9086,4.340415,5.6348,5.737865
"Sivas","SİVas",6.5,38.55,38.9,1.5268,1.695478,4.7623,4.854962
"Sivas","SİVas",6,38.25,39.35,1.2152,1.349453,4.5645,4.654646
"Sivas","SİVas",7,39.25,39.65,4.2337,4.701431,5.7133,5.817212
"Sivas","SİVas",8,39.65,39.6,9.2773,10.30224,6.5195,6.632117
"Sivas","SİVas",7,39.6,39.7,3.4179,3.795503,5.5046,5.606152
"Sivas","SİVas",6.5,39.35,40.2,2.35,2.609623,5.151,5.24842
"Sivas","SİVas",6.5,39.2,39.2,1.6565,1.839507,4.8343,4.927845
"Sivas","SİVas",7,38.95,40.2,6.8448,7.601,6.1993,6.308533
"Sivas","SİVas",6.5,38.45,39.95,11.643,12.9293,6.7651,6.880191
"Sivas","SİVas",6.5,36.95,40.75,1.4418,1.601087,4.7121,4.804177
"Sivas","SİVas",6,37,40.55,.74604,.8284611,4.1602,4.244953
"Sivas","SİVas",7,39.5,39.85,3.822,4.244247,5.6129,5.715735
"Sivas","SİVas",7,39.3,40.05,4.6738,5.190153,5.8113,5.916361
"Sivas","SİVas",8,38.6,39.9,24.337,27.02571,7.5997,7.723008
"Sivas","SİVas",7,40.05,40.25,2.7535,3.057701,5.2988,5.397929
"Sivas","SİVas",6,38.2,39.55,1.7075,1.896141,4.8613,4.955131
"Sivas","SİVas",7.5,36.9,40.2,5.7013,6.331169,6.0115,6.118714
"Sivas","SİVas",7.5,38.75,39.15,6.3091,7.006117,6.1151,6.22347
"Sivas","SİVas",7,39.25,38.95,2.7287,3.030162,5.2903,5.389321
"Sivas","SİVas",7.5,37.5,41.15,5.2007,5.775263,5.9184,6.024615
"Sivas","SİVas",8,38.5,39.15,10.413,11.56341,6.6436,6.757567
"Sivas","SİVas",7,38.35,40.5,7.6377,8.481499,6.3136,6.424045
"Sivas","SİVas",7,37.35,40,4.4706,4.964503,5.7671,5.87167
"Sivas","SİVas",6.5,37.95,39.3,2.1811,2.422064,5.0824,5.178964
"Sivas","SİVas",6.5,39.95,40.3,1.4572,1.618189,4.7214,4.81357
"Sivas","SİVas",8,37.15,40.3,10.376,11.52232,6.6398,6.753679
"Sivas","SİVas",7.5,38.3,39,5.842,6.487413,6.0363,6.143826
"Sivas","SİVas",6.5,38.7,40.1,6.7165,7.458526,6.1797,6.28872
"Sivas","SİVas",7.5,37.85,39.4,7.5606,8.395881,6.303,6.413299
"Sivas","SİVas",7.5,38.2,40.3,18.361,20.38949,7.274,7.394133
"Sivas","SİVas",7,39.55,39.85,3.687,4.094333,5.5779,5.680326
"Sivas","SİVas",7.5,39.4,39.5,6.2297,6.917945,6.1021,6.210313
"Sivas","SİVas",7.5,37.95,40.25,14.183,15.74991,6.9828,7.100147
"Sivas","SİVas",7.5,37.25,39.6,6.3628,7.06575,6.1238,6.232284
"Sivas","SİVas",6.5,37.2,40.25,2.0403,2.265708,5.0215,5.117319
"Sivas","SİVas",8,37.95,39,9.2112,10.22884,6.5119,6.624396
"Sivas","SİVas",6.5,39.55,39.75,1.8578,2.063046,4.9367,5.031554
"Sivas","SİVas",7,37.6,40.65,4.2731,4.745184,5.7224,5.826455
"Sivas","SİVas",8,38.8,40.45,15.746,17.48559,7.0999,7.218337
"Sivas","SİVas",6,37.65,38.9,.63985,.7105394,4.0382,4.121217
"Sivas","SİVas",8,38.75,40.2,20.936,23.24897,7.4246,7.546272
"Sivas","SİVas",8,38.25,41,10.497,11.65669,6.6524,6.766347
"Sivas","SİVas",8,38.25,39.85,25.854,28.7103,7.6707,7.794677
"Sivas","SİVas",8,38.45,40.75,12.976,14.40956,6.8842,7.000502
"Sivas","SİVas",7,39.15,39.7,4.7142,5.235016,5.8199,5.925039
"Sivas","SİVas",6,39.45,41.1,.62561,.6947262,4.0205,4.103289
"Sivas","SİVas",7,39.55,40.8,3.065,3.403615,5.4002,5.500555
"Sivas","SİVas",6,37.3,40.55,.9321,1.035077,4.3416,4.42881
"Sivas","SİVas",7,39.2,39.6,4.2513,4.720975,5.7174,5.82135
"Sivas","SİVas",7.5,37.1,40.6,5.8199,6.462872,6.0325,6.139918
"Sivas","SİVas",7.5,39.2,39.35,6.3013,6.997456,6.1139,6.222184
"Sivas","SİVas",6,38.65,39.1,.85049,.9444505,4.2664,4.352517
"Sivas","SİVas",7,39.65,39.85,3.4441,3.824598,5.512,5.613598
"Sivas","SİVas",7.5,39.1,40.25,9.2725,10.29691,6.519,6.631558
"Sivas","SİVas",6,39.35,39.35,.80078,.8892487,4.2174,4.302852
"Sivas","SİVas",7.5,37.65,39.4,6.961,7.730038,6.2168,6.326191
"Sivas","SİVas",6.5,38.8,41.05,1.764,1.958883,4.8903,4.984532
"Sivas","SİVas",8,39.3,40.3,11.978,13.30131,6.7961,6.911556
"Sivas","SİVas",8,39.45,40.6,10.024,11.13143,6.6026,6.716053
"Sivas","SİVas",6,36.75,40.25,.67676,.7515272,4.0825,4.166123
"Sivas","SİVas",8,38.5,39.6,16.071,17.84649,7.1229,7.241569
"Sivas","SİVas",8,38.85,39.35,11.344,12.59726,6.7367,6.851501
"Sivas","SİVas",7,40.05,39.95,2.7575,3.062143,5.3001,5.399311
"Sivas","SİVas",7.5,37.9,39.35,7.361,8.17423,6.275,6.385015
"Sivas","SİVas",7,37.75,40.5,5.4092,6.006798,5.9581,6.064754
"Sivas","SİVas",7.5,36.9,40.15,5.7173,6.348937,6.0143,6.121598
