location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sultanbeyli","Sultanbeylİ",6.5,30.55,41.4,1.7372,1.929123,4.8766,4.970691
"Sultanbeyli","Sultanbeylİ",7,30.1,40.95,5.4974,6.104743,5.9745,6.081318
"Sultanbeyli","Sultanbeylİ",7,30.05,41.7,3.7256,4.137197,5.588,5.690567
"Sultanbeyli","Sultanbeylİ",6.5,28.35,40.5,2.1555,2.393636,5.0715,5.168023
"Sultanbeyli","Sultanbeylİ",8,29.2,40.2,12.037,13.36683,6.8015,6.916997
"Sultanbeyli","Sultanbeylİ",7.5,28.35,41.15,7.884,8.75501,6.3469,6.45773
"Sultanbeyli","Sultanbeylİ",7,30.2,41.65,3.6015,3.999387,5.5551,5.657298
"Sultanbeyli","Sultanbeylİ",8,28.8,41.75,10.862,12.06201,6.6894,6.803777
"Sultanbeyli","Sultanbeylİ",7,29.05,39.9,3.3163,3.682678,5.4756,5.576786
"Sultanbeyli","Sultanbeylİ",6.5,28.25,41.75,1.6252,1.804749,4.8174,4.91073
"Sultanbeyli","Sultanbeylİ",7.5,28.3,40.6,7.184,7.977674,6.2496,6.359349
"Sultanbeyli","Sultanbeylİ",6.5,29.45,41.25,5.7062,6.33661,6.0124,6.119598
"Sultanbeyli","Sultanbeylİ",7.5,28.35,40.25,6.1888,6.872527,6.0953,6.203477
"Sultanbeyli","Sultanbeylİ",8,27.95,40.95,9.8574,10.94643,6.5845,6.697827
"Sultanbeyli","Sultanbeylİ",6.5,30.65,41.5,1.5676,1.740785,4.7855,4.878459
"Sultanbeyli","Sultanbeylİ",7,29.85,40.5,5.4238,6.023011,5.9608,6.067513
"Sultanbeyli","Sultanbeylİ",6,28.05,40.05,.63344,.7034212,4.0303,4.11319
"Sultanbeyli","Sultanbeylİ",6.5,28.2,40.8,2.1694,2.409071,5.0775,5.173978
"Sultanbeyli","Sultanbeylİ",7.5,28.55,40.95,9.781,10.86159,6.5762,6.689376
"Sultanbeyli","Sultanbeylİ",8,28.15,41.55,9.6492,10.71523,6.5616,6.674655
"Sultanbeyli","Sultanbeylİ",7,29.1,41.95,3.4951,3.881232,5.5261,5.62795
"Sultanbeyli","Sultanbeylİ",7,27.75,40.45,2.8311,3.143875,5.3249,5.424425
"Sultanbeyli","Sultanbeylİ",7.5,28.6,41.6,7.1797,7.972899,6.2489,6.358718
"Sultanbeyli","Sultanbeylİ",6,30.1,41.85,.78291,.8694044,4.1991,4.28434
"Sultanbeyli","Sultanbeylİ",7,29.15,41.65,4.8178,5.350061,5.8416,5.94699
"Sultanbeyli","Sultanbeylİ",7,28.45,41.7,3.5863,3.982508,5.551,5.653153
"Sultanbeyli","Sultanbeylİ",7.5,28.35,41.95,5.2914,5.875984,5.9358,6.042251
"Sultanbeyli","Sultanbeylİ",6.5,29.1,39.95,1.7955,1.993863,4.9061,5.000564
"Sultanbeyli","Sultanbeylİ",6,28.45,40.95,1.4207,1.577656,4.6993,4.791162
"Sultanbeyli","Sultanbeylİ",6.5,28.35,40.95,2.5644,2.84771,5.2321,5.330471
"Sultanbeyli","Sultanbeylİ",7,28.45,40.95,5.285,5.868877,5.9346,6.041015
"Sultanbeyli","Sultanbeylİ",7.5,29.7,39.85,5.5732,6.188917,5.9884,6.095363
"Sultanbeyli","Sultanbeylİ",6.5,28.25,40,1.4633,1.624963,4.7251,4.817266
"Sultanbeyli","Sultanbeylİ",7.5,30.05,40.25,6.6982,7.438204,6.1769,6.285867
"Sultanbeyli","Sultanbeylİ",6,28.75,40.45,1.3895,1.543009,4.68,4.771603
"Sultanbeyli","Sultanbeylİ",6,28.25,41.2,1.0635,1.180993,4.4516,4.540177
"Sultanbeyli","Sultanbeylİ",6,29.55,41.1,4.0926,4.544743,5.6799,5.783467
"Sultanbeyli","Sultanbeylİ",6.5,30.3,41.4,2.0703,2.299023,5.0347,5.130763
"Sultanbeyli","Sultanbeylİ",6,30,42,.71474,.7937031,4.1259,4.210163
"Sultanbeyli","Sultanbeylİ",7.5,30.75,40.6,5.5234,6.133615,5.9793,6.086155
"Sultanbeyli","Sultanbeylİ",6.5,27.8,41.5,1.4516,1.61197,4.7181,4.810164
"Sultanbeyli","Sultanbeylİ",6.5,29.55,41.05,8.3187,9.237734,6.4035,6.514935
"Sultanbeyli","Sultanbeylİ",8,29.65,40,10.02,11.12699,6.6021,6.715619
"Sultanbeyli","Sultanbeylİ",6.5,30.75,41.05,1.6459,1.827736,4.8286,4.922081
"Sultanbeyli","Sultanbeylİ",7,29.9,41.6,4.3432,4.823029,5.7385,5.842713
"Sultanbeyli","Sultanbeylİ",6,28.15,41.45,.8622,.9574542,4.2775,4.363846
"Sultanbeyli","Sultanbeylİ",7.5,29.6,41.8,6.873,7.632316,6.2036,6.312843
"Sultanbeyli","Sultanbeylİ",8,28.95,40.9,24.28,26.96241,7.597,7.720236
"Sultanbeyli","Sultanbeylİ",7.5,30.65,40.65,5.8773,6.526613,6.0425,6.150041
"Sultanbeyli","Sultanbeylİ",6.5,28.8,41.65,2.3099,2.565093,5.1351,5.23234
