location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Sultangazi","Sultangazİ",7,29.4,39.9,2.834,3.147095,5.3259,5.425403
"Sultangazi","Sultangazİ",6,29.35,41,2.5079,2.784968,5.2113,5.309457
"Sultangazi","Sultangazİ",6.5,27.8,41.5,2.045,2.270928,5.0236,5.119437
"Sultangazi","Sultangazİ",7,27.6,40.8,3.5177,3.906329,5.5324,5.634249
"Sultangazi","Sultangazİ",7,28.35,40.05,3.1686,3.518661,5.4319,5.532632
"Sultangazi","Sultangazİ",6,29.35,40.45,1.1806,1.311031,4.5399,4.62969
"Sultangazi","Sultangazİ",7.5,28.6,40.5,8.8647,9.844055,6.471,6.583085
"Sultangazi","Sultangazİ",7,30.1,40.75,3.5212,3.910216,5.5333,5.635222
"Sultangazi","Sultangazİ",6.5,29.4,41.25,4.2596,4.730193,5.7193,5.823297
"Sultangazi","Sultangazİ",8,30.05,41.4,10.377,11.52343,6.64,6.753785
"Sultangazi","Sultangazİ",6,28.65,41,5.282,5.865545,5.934,6.040435
"Sultangazi","Sultangazİ",6,29.55,41.05,1.7776,1.973986,4.8971,4.991485
"Sultangazi","Sultangazİ",7,28.1,41.6,4.5228,5.02247,5.7787,5.883321
"Sultangazi","Sultangazİ",6,28.05,40.25,.80748,.8966889,4.2241,4.3097
"Sultangazi","Sultangazİ",7.5,29.25,40.75,11.439,12.70276,6.7457,6.86069
"Sultangazi","Sultangazİ",6,27.8,40.8,1.0166,1.128912,4.4137,4.501884
"Sultangazi","Sultangazİ",7.5,28.75,40.75,13.703,15.21688,6.9445,7.061476
"Sultangazi","Sultangazİ",7.5,27.55,41.35,6.12,6.796126,6.0839,6.191886
"Sultangazi","Sultangazİ",6,28.65,41.35,3.3522,3.722545,5.4859,5.587253
"Sultangazi","Sultangazİ",6,27.5,40.25,.61542,.6834104,4.0077,4.090241
"Sultangazi","Sultangazİ",7,29.2,40.4,4.5666,5.071109,5.7882,5.893005
"Sultangazi","Sultangazİ",6,28.8,41.45,2.7714,3.077579,5.3049,5.404099
"Sultangazi","Sultangazİ",7,29.3,41.75,4.7076,5.227687,5.8185,5.923625
"Sultangazi","Sultangazİ",7.5,28.6,41.15,21.339,23.69649,7.4467,7.568525
"Sultangazi","Sultangazİ",7,27.5,41,3.4196,3.797391,5.5051,5.606637
"Sultangazi","Sultangazİ",6.5,28.55,41,7.0558,7.835311,6.2308,6.340402
"Sultangazi","Sultangazİ",8,30.3,40.6,8.8011,9.773429,6.4633,6.575344
"Sultangazi","Sultangazİ",7.5,27.55,42,4.9524,5.499532,5.8692,5.974888
"Sultangazi","Sultangazİ",6.5,28.15,40.1,1.592,1.767881,4.7992,4.892255
"Sultangazi","Sultangazİ",8,27.95,40.3,9.5622,10.61861,6.5519,6.664838
"Sultangazi","Sultangazİ",6.5,27.45,41.85,1.4001,1.55478,4.6866,4.778291
"Sultangazi","Sultangazİ",6.5,28.45,41.55,3.3722,3.744754,5.4916,5.593041
"Sultangazi","Sultangazİ",7.5,29,41.3,20.014,22.22511,7.3727,7.493857
"Sultangazi","Sultangazİ",8,28,40.5,10.776,11.96651,6.6808,6.795062
"Sultangazi","Sultangazİ",6.5,28.95,40.3,2.2605,2.510236,5.1152,5.212188
"Sultangazi","Sultangazİ",6.5,29.6,42,1.728,1.918906,4.8719,4.965897
