location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Tekirdag","TekİRdaĞ",8,28.9,40.9,11.798,13.10142,6.7795,6.894804
"Tekirdag","TekİRdaĞ",6.5,26.85,40.5,1.5507,1.722018,4.776,4.868793
"Tekirdag","TekİRdaĞ",8,29.1,40.6,9.4756,10.52245,6.5421,6.654986
"Tekirdag","TekİRdaĞ",6,29.1,40.65,.81573,.9058503,4.2324,4.318065
"Tekirdag","TekİRdaĞ",6,28.8,41.8,1.1151,1.238294,4.4914,4.580634
"Tekirdag","TekİRdaĞ",6,29.05,40.35,.68114,.756391,4.0876,4.17131
"Tekirdag","TekİRdaĞ",6,27.65,40.8,1.6702,1.85472,4.8416,4.935247
"Tekirdag","TekİRdaĞ",6.5,27.35,40.85,2.7925,3.10101,5.312,5.411327
"Tekirdag","TekİRdaĞ",6,28.7,40.8,1.2475,1.385321,4.587,4.677387
"Tekirdag","TekİRdaĞ",6,27.9,40.3,.86956,.9656273,4.2845,4.370899
"Tekirdag","TekİRdaĞ",7,29.15,41.85,3.4289,3.807718,5.5077,5.609284
"Tekirdag","TekİRdaĞ",6.5,26.4,41.7,1.4282,1.585985,4.7039,4.795808
"Tekirdag","TekİRdaĞ",6.5,27.95,41.15,12.529,13.91318,6.8455,6.961457
"Tekirdag","TekİRdaĞ",8,27.25,40.7,11.452,12.7172,6.747,6.861942
"Tekirdag","TekİRdaĞ",7.5,28.2,41.2,24.137,26.80361,7.5901,7.713257
"Tekirdag","TekİRdaĞ",7,28.1,40.3,3.5654,3.959299,5.5454,5.647429
"Tekirdag","TekİRdaĞ",6,28.6,40.35,.82135,.9120912,4.2379,4.32372
"Tekirdag","TekİRdaĞ",7,29.55,41.7,2.9145,3.236488,5.3524,5.452191
"Tekirdag","TekİRdaĞ",7.5,28.4,40.45,6.8253,7.579346,6.1963,6.305543
"Tekirdag","TekİRdaĞ",7.5,26.7,41.95,5.4451,6.046664,5.9648,6.071525
"Tekirdag","TekİRdaĞ",7.5,26.95,41.45,7.3543,8.166789,6.274,6.384053
"Tekirdag","TekİRdaĞ",7,28,40.7,5.7185,6.350269,6.0146,6.121814
"Tekirdag","TekİRdaĞ",7.5,29.45,41.65,5.5694,6.184697,5.9877,6.094663
"Tekirdag","TekİRdaĞ",6.5,29.6,40.7,1.3516,1.500922,4.656,4.747316
"Tekirdag","TekİRdaĞ",6.5,27.3,40.25,1.5629,1.735566,4.7829,4.87578
"Tekirdag","TekİRdaĞ",8,27.3,40.45,10.039,11.14809,6.6042,6.717681
"Tekirdag","TekİRdaĞ",7,28.35,41.9,5.0508,5.608803,5.889,5.994856
"Tekirdag","TekİRdaĞ",6,27.8,40.2,.77387,.8593657,4.1897,4.274835
"Tekirdag","TekİRdaĞ",7.5,28.25,40.15,5.5589,6.173037,5.9858,6.092727
"Tekirdag","TekİRdaĞ",6,29,41.25,1.1798,1.310142,4.5393,4.629105
"Tekirdag","TekİRdaĞ",8,27,40.45,9.1841,10.19874,6.5087,6.621216
"Tekirdag","TekİRdaĞ",7,27.8,40.25,3.3854,3.759413,5.4954,5.596844
"Tekirdag","TekİRdaĞ",7,28.2,40.3,3.5375,3.928316,5.5378,5.639739
"Tekirdag","TekİRdaĞ",7,27.35,41.2,6.6038,7.333375,6.1622,6.271034
"Tekirdag","TekİRdaĞ",7,28.25,40.6,4.8011,5.331516,5.8382,5.943481
"Tekirdag","TekİRdaĞ",8,26.9,40.8,10.228,11.35797,6.6243,6.738002
"Tekirdag","TekİRdaĞ",7,26.35,41.1,2.8663,3.182963,5.3366,5.436232
"Tekirdag","TekİRdaĞ",7,26.6,40.65,2.9144,3.236377,5.3524,5.452158
"Tekirdag","TekİRdaĞ",6,27.8,40.45,1.0318,1.145791,4.4261,4.514461
"Tekirdag","TekİRdaĞ",8,27.4,40.85,13.66,15.16913,6.941,7.057951
"Tekirdag","TekİRdaĞ",7.5,26.25,41.5,4.9464,5.492869,5.868,5.97366
"Tekirdag","TekİRdaĞ",6,28.7,40.25,.72373,.8036863,4.1359,4.220289
"Tekirdag","TekİRdaĞ",7.5,26.75,40.75,5.8199,6.462872,6.0325,6.139918
"Tekirdag","TekİRdaĞ",8,27.8,40.1,8.8288,9.804189,6.4667,6.578722
"Tekirdag","TekİRdaĞ",7.5,26.4,40.9,5.1476,5.716297,5.9081,6.014163
"Tekirdag","TekİRdaĞ",7.5,26.6,40.95,5.7251,6.357598,6.0157,6.123001
"Tekirdag","TekİRdaĞ",8,27.8,40.35,10.34,11.48234,6.636,6.749885
"Tekirdag","TekİRdaĞ",7.5,27.4,41.25,11.568,12.84601,6.758,6.873058
"Tekirdag","TekİRdaĞ",7,26.9,41.25,4.1724,4.633359,5.6989,5.802677
"Tekirdag","TekİRdaĞ",7,28.4,40.55,4.34,4.819475,5.7378,5.841976
"Tekirdag","TekİRdaĞ",6,27.9,41.05,4.0632,4.512094,5.6728,5.776305
"Tekirdag","TekİRdaĞ",7.5,28.85,41.05,8.4075,9.336345,6.4148,6.526288
"Tekirdag","TekİRdaĞ",8,28.5,40.7,12.749,14.15749,6.8647,6.980829
"Tekirdag","TekİRdaĞ",6.5,26.65,41.6,1.7131,1.90236,4.8642,4.958083
