location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Tokat","Tokat",6.5,38.35,40.95,1.4639,1.625629,4.7255,4.817629
"Tokat","Tokat",6,36.2,41.3,.79645,.8844403,4.213,4.2984
"Tokat","Tokat",7,38,41.25,2.9733,3.301785,5.3713,5.471345
"Tokat","Tokat",7.5,36.1,39.5,5.8789,6.52839,6.0428,6.150322
"Tokat","Tokat",7.5,37.8,39.25,4.9802,5.530403,5.8748,5.980566
"Tokat","Tokat",7,36.7,40.9,6.0625,6.732274,6.0742,6.182109
"Tokat","Tokat",7,36.6,40.05,8.0158,8.90137,6.3644,6.475368
"Tokat","Tokat",6.5,37.9,40.5,2.3728,2.634943,5.1599,5.257454
"Tokat","Tokat",7.5,36.45,39.65,7.3683,8.182336,6.276,6.386061
"Tokat","Tokat",6,37.2,39.65,1.1642,1.292819,4.528,4.617636
"Tokat","Tokat",7,37.35,40.3,9.0238,10.02073,6.4899,6.602231
"Tokat","Tokat",8,37.8,39.45,9.033,10.03095,6.491,6.603329
"Tokat","Tokat",6,35.45,39.9,.69198,.7684286,4.1001,4.184023
"Tokat","Tokat",6.5,36.85,40.2,9.9015,10.9954,6.5893,6.702679
"Tokat","Tokat",8,36,41.5,8.2635,9.176435,6.3965,6.507822
"Tokat","Tokat",6,36.6,41.25,.95916,1.065126,4.3653,4.45282
"Tokat","Tokat",6.5,36.15,40.1,2.8693,3.186295,5.3376,5.437232
"Tokat","Tokat",7,36.5,40.7,7.2687,8.071733,6.2618,6.371701
"Tokat","Tokat",7.5,36.9,39.8,9.5875,10.64671,6.5547,6.667702
"Tokat","Tokat",6,37.8,40.15,1.2362,1.372773,4.5792,4.669491
"Tokat","Tokat",7,36.4,40.05,6.5231,7.24376,6.1495,6.258202
"Tokat","Tokat",6.5,36.7,39.85,3.3399,3.708886,5.4824,5.583678
"Tokat","Tokat",6.5,36,40.15,2.5196,2.797961,5.2157,5.313843
"Tokat","Tokat",8,36,40.05,11.965,13.28687,6.795,6.910354
"Tokat","Tokat",6.5,37.6,41.35,1.6398,1.820962,4.8253,4.918749
"Tokat","Tokat",6,37.15,41.65,.64392,.715059,4.0432,4.126277
"Tokat","Tokat",7,36,41.25,3.2054,3.559526,5.4429,5.543802
"Tokat","Tokat",6.5,36.8,39.3,1.685,1.871156,4.8494,4.943183
"Tokat","Tokat",7.5,36.85,40.35,48.571,53.93703,8.4341,8.565064
"Tokat","Tokat",6.5,37.55,40.9,2.5422,2.823057,5.224,5.322263
"Tokat","Tokat",7,36.75,41.5,3.1525,3.500782,5.427,5.527709
"Tokat","Tokat",6,37.85,39.95,1.0416,1.156674,4.4341,4.522484
"Tokat","Tokat",7.5,36.05,41.45,5.1907,5.764159,5.9165,6.022655
"Tokat","Tokat",6.5,37.75,39.45,1.6057,1.783095,4.8067,4.89992
"Tokat","Tokat",7.5,38.05,40.3,6.8764,7.636092,6.2041,6.313362
"Tokat","Tokat",8,38.2,39.5,8.2196,9.127686,6.3909,6.502134
"Tokat","Tokat",8,36.85,39.9,16.412,18.22517,7.1466,7.265491
"Tokat","Tokat",7,35.95,40.2,4.5752,5.080659,5.7901,5.894897
"Tokat","Tokat",6,36.85,40.85,1.966,2.1832,4.9878,5.083255
"Tokat","Tokat",6.5,37.5,40.65,3.4508,3.832038,5.5138,5.615495
"Tokat","Tokat",8,37.15,40.3,28.754,31.93069,7.7965,7.92162
"Tokat","Tokat",7,35.9,41.4,2.8289,3.141432,5.3242,5.423683
"Tokat","Tokat",6.5,36.45,39.75,2.5539,2.83605,5.2283,5.326597
"Tokat","Tokat",6.5,36.35,40.8,3.0655,3.404171,5.4004,5.500712
"Tokat","Tokat",8,37.3,40.3,21.78,24.18621,7.4704,7.592443
"Tokat","Tokat",6.5,38.5,39.85,1.3625,1.513026,4.663,4.754362
"Tokat","Tokat",6.5,36.85,39.95,4.2833,4.756511,5.7248,5.828835
"Tokat","Tokat",6,38.25,39.7,.6762,.7509053,4.0818,4.165458
"Tokat","Tokat",6.5,35.4,40.9,1.445,1.604641,4.7141,4.806136
"Tokat","Tokat",7,37.9,39.75,3.5624,3.955967,5.5446,5.646604
"Tokat","Tokat",7,37.25,41.5,3.0925,3.434154,5.4087,5.509162
"Tokat","Tokat",6.5,37,40.5,12.068,13.40125,6.8044,6.919847
"Tokat","Tokat",7.5,37.75,40.45,8.7211,9.68459,6.4536,6.565536
"Tokat","Tokat",6,37.75,41.45,.66555,.7390787,4.0693,4.152714
"Tokat","Tokat",6.5,35.9,41.2,1.621,1.800085,4.8151,4.908412
"Tokat","Tokat",8,36.65,40.6,22.589,25.08459,7.5127,7.635197
