location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Trabzon","Trabzon",8,41.2,41.2,8.5978,9.547668,6.4385,6.550259
"Trabzon","Trabzon",6.5,40.75,41.95,1.4145,1.570771,4.6955,4.787306
"Trabzon","Trabzon",8,40.5,41.8,9.6606,10.72789,6.5629,6.675936
"Trabzon","Trabzon",7.5,40.15,40.35,7.3831,8.198771,6.2781,6.38818
"Trabzon","Trabzon",6,40.15,40.8,1.9013,2.111352,4.9576,5.052651
"Trabzon","Trabzon",8,40.2,41.95,9.6828,10.75254,6.5653,6.678425
"Trabzon","Trabzon",6.5,41,41.45,1.5691,1.742451,4.7864,4.879313
"Trabzon","Trabzon",8,38.3,41.2,10.133,11.25247,6.6143,6.72783
"Trabzon","Trabzon",8,38.5,42,8.483,9.420186,6.4242,6.535856
"Trabzon","Trabzon",7,38.95,41.3,6.0847,6.756926,6.078,6.185894
"Trabzon","Trabzon",7,41.3,41.05,2.7693,3.075247,5.3041,5.403377
"Trabzon","Trabzon",7,39.3,40.9,12.606,13.99869,6.8523,6.968272
"Trabzon","Trabzon",7.5,39.65,41.15,27.521,30.56147,7.7445,7.869143
"Trabzon","Trabzon",6,40.4,41.9,.78818,.8752567,4.2045,4.289837
"Trabzon","Trabzon",6.5,41.25,40.7,1.3835,1.536346,4.6762,4.767797
"Trabzon","Trabzon",7,40.25,40.6,5.0855,5.647336,5.8958,6.001815
"Trabzon","Trabzon",8,40.4,40.45,11.122,12.35074,6.7151,6.829752
"Trabzon","Trabzon",6,39.2,40.5,1.541,1.711247,4.7704,4.863202
"Trabzon","Trabzon",8,40,41.6,13.16,14.61389,6.8997,7.016221
"Trabzon","Trabzon",8,39.8,41.25,23.043,25.58875,7.5359,7.658583
"Trabzon","Trabzon",6.5,38.2,41.85,1.3727,1.524353,4.6694,4.76091
"Trabzon","Trabzon",7,39.85,40.25,4.3052,4.78083,5.7298,5.83393
"Trabzon","Trabzon",7,38.4,40.35,3.1963,3.549421,5.4402,5.541051
"Trabzon","Trabzon",7.5,40.9,41.3,6.0197,6.684745,6.0669,6.174777
"Trabzon","Trabzon",7.5,40.5,42,5.3675,5.960491,5.9503,6.056839
"Trabzon","Trabzon",7,40.6,40.25,3.2366,3.594173,5.4522,5.553184
"Trabzon","Trabzon",6,41.2,40.9,.67428,.7487732,4.0796,4.163173
"Trabzon","Trabzon",6,39.95,41.45,1.8014,2.000415,4.9091,5.003539
"Trabzon","Trabzon",8,41.15,41.6,8.2426,9.153227,6.3938,6.505117
"Trabzon","Trabzon",6.5,39.85,40.35,2.5953,2.882024,5.2433,5.341789
"Trabzon","Trabzon",7.5,40.3,41.8,6.452,7.164805,6.1382,6.246777
"Trabzon","Trabzon",6.5,38.1,41.5,1.5061,1.672491,4.7504,4.842828
"Trabzon","Trabzon",6,40.45,41.05,1.3561,1.505919,4.6589,4.750231
"Trabzon","Trabzon",8,38.2,40.3,8.4814,9.418409,6.424,6.535654
"Trabzon","Trabzon",6.5,39.85,40.65,4.2873,4.760953,5.7257,5.829768
"Trabzon","Trabzon",6.5,39.2,40,1.7157,1.905247,4.8655,4.959451
"Trabzon","Trabzon",7.5,40.15,40.05,5.896,6.547379,6.0457,6.15332
"Trabzon","Trabzon",7.5,40.15,41.7,7.356,8.168677,6.2743,6.384297
"Trabzon","Trabzon",7.5,39.5,39.95,5.8687,6.517063,6.041,6.14853
"Trabzon","Trabzon",6.5,39.55,41.15,13.271,14.73715,6.909,7.025608
"Trabzon","Trabzon",6.5,39.2,40.1,1.8893,2.098026,4.9519,5.046875
"Trabzon","Trabzon",6.5,39.6,41.3,6.5199,7.240206,6.149,6.25769
"Trabzon","Trabzon",6.5,38.95,40.95,3.8638,4.290665,5.6236,5.726472
"Trabzon","Trabzon",7.5,38.75,41.95,5.6968,6.326172,6.0107,6.117902
"Trabzon","Trabzon",6.5,39.7,40.7,5.4449,6.046442,5.9648,6.071487
"Trabzon","Trabzon",7.5,39.25,40.35,8.0933,8.987432,6.3745,6.485618
"Trabzon","Trabzon",7.5,40.1,41.1,12.581,13.97093,6.8501,6.966063
"Trabzon","Trabzon",7.5,39.45,40.95,31.464,34.94008,7.904,8.0301
"Trabzon","Trabzon",8,39.65,40.4,13.699,15.21244,6.9442,7.061148
"Trabzon","Trabzon",8,39.9,41.65,12.987,14.42178,6.8851,7.001447
"Trabzon","Trabzon",8,39.75,41.85,11.209,12.44735,6.7236,6.838322
"Trabzon","Trabzon",6,40.65,41.15,1.0648,1.182437,4.4526,4.541217
"Trabzon","Trabzon",7.5,41.2,40.95,5.26,5.841115,5.9298,6.036176
"Trabzon","Trabzon",6,39.55,40.05,.88439,.9820957,4.2984,4.384953
"Trabzon","Trabzon",7.5,38.25,40.95,6.2056,6.891183,6.0981,6.20629
"Trabzon","Trabzon",6,38.75,40.45,1.0351,1.149456,4.4289,4.51717
"Trabzon","Trabzon",6,39.1,40.2,.96889,1.075931,4.3737,4.461309
"Trabzon","Trabzon",6,39.9,41.1,3.8109,4.231921,5.6101,5.712866
"Trabzon","Trabzon",6,39.8,41.75,1.185,1.315917,4.543,4.632899
"Trabzon","Trabzon",7.5,38.65,41.1,8.2327,9.142233,6.3925,6.503834
"Trabzon","Trabzon",6.5,37.85,41.35,1.3561,1.505919,4.6589,4.750231
"Trabzon","Trabzon",6,40.6,40.65,1.0107,1.12236,4.4089,4.496958
"Trabzon","Trabzon",6.5,40.15,40.85,3.8977,4.32831,5.6321,5.735104
"Trabzon","Trabzon",7,40.65,40.35,3.3446,3.714105,5.4837,5.585045
"Trabzon","Trabzon",7.5,39.7,41.6,9.4455,10.48902,6.5387,6.651543
"Trabzon","Trabzon",6.5,39,39.8,1.3983,1.552782,4.6855,4.777158
"Trabzon","Trabzon",6,38.95,41,1.9989,2.219735,5.0028,5.098477
"Trabzon","Trabzon",6,40.35,39.9,.65507,.7274409,4.0567,4.139999
"Trabzon","Trabzon",7.5,38.25,41.5,5.744,6.378586,6.0191,6.126394
"Trabzon","Trabzon",7,40.95,41.2,3.3563,3.727098,5.4871,5.588442
"Trabzon","Trabzon",6,39.65,41.75,1.217,1.351452,4.5658,4.655928
"Trabzon","Trabzon",7,40.25,41.2,6.106,6.780579,6.0815,6.189514
"Trabzon","Trabzon",6,39.8,40.7,2.6368,2.928109,5.2581,5.356804
"Trabzon","Trabzon",8,38.75,40.1,9.2581,10.28092,6.5173,6.629879
"Trabzon","Trabzon",6.5,38.8,41.1,3.1198,3.46447,5.4171,5.517641
"Trabzon","Trabzon",6,39.6,41.9,.98969,1.099029,4.3914,4.479208
"Trabzon","Trabzon",6,39.3,40.2,1.0322,1.146235,4.4265,4.51479
"Trabzon","Trabzon",6.5,38,40.8,1.5026,1.668604,4.7483,4.840762
"Trabzon","Trabzon",6.5,38.5,40.5,1.8878,2.096361,4.9512,5.04615
"Trabzon","Trabzon",6,41.1,40.75,.70553,.7834756,4.1156,4.199674
"Trabzon","Trabzon",7.5,40.7,41.8,5.5526,6.166041,5.9846,6.091563
"Trabzon","Trabzon",7.5,39.6,40.4,9.0253,10.0224,6.4901,6.60241
"Trabzon","Trabzon",6.5,40.1,41.5,2.9385,3.26314,5.3602,5.460051
"Trabzon","Trabzon",8,39.9,41.35,18.127,20.12964,7.2594,7.379362
"Trabzon","Trabzon",6.5,41.15,41.3,1.4857,1.649837,4.7384,4.830726
"Trabzon","Trabzon",7.5,37.95,41.5,5.0132,5.567049,5.8815,5.987268
"Trabzon","Trabzon",7,38.55,40.2,3.155,3.503558,5.4278,5.528475
"Trabzon","Trabzon",7.5,40.6,40.95,7.5472,8.381001,6.3011,6.411421
"Trabzon","Trabzon",7.5,39.55,39.7,4.9759,5.525628,5.874,5.979689
"Trabzon","Trabzon",7.5,38.3,40.6,5.9685,6.627889,6.0582,6.165945
"Trabzon","Trabzon",7,39.45,40.3,4.6911,5.209364,5.815,5.920085
"Trabzon","Trabzon",7.5,39.4,40.9,23.563,26.16619,7.5619,7.684859
"Trabzon","Trabzon",6,38.65,39.95,.64844,.7200784,4.0487,4.131865
"Trabzon","Trabzon",7,40.7,41.8,3.1023,3.445036,5.4117,5.512214
"Trabzon","Trabzon",8,38.6,40.2,9.3094,10.33788,6.5232,6.635849
"Trabzon","Trabzon",6,38.45,40.85,1.0091,1.120583,4.4076,4.495617
"Trabzon","Trabzon",7.5,38.85,41.15,9.8213,10.90634,6.5806,6.693841
"Trabzon","Trabzon",7.5,38.5,41.75,5.8176,6.460318,6.0321,6.139511
"Trabzon","Trabzon",7,41,40.75,3.1937,3.546534,5.4395,5.540264
"Trabzon","Trabzon",7,40.7,41.9,2.9424,3.267471,5.3614,5.461322
"Trabzon","Trabzon",6.5,38.45,41.9,1.4926,1.6575,4.7425,4.834836
"Trabzon","Trabzon",6,39.65,40.15,.99675,1.106869,4.3973,4.485209
"Trabzon","Trabzon",8,39.45,40.2,11.329,12.58061,6.7352,6.850043
"Trabzon","Trabzon",6,40.25,40.7,1.502,1.667938,4.7479,4.840407
"Trabzon","Trabzon",7,38.6,41.7,3.5341,3.924541,5.5369,5.638798
"Trabzon","Trabzon",6,38.55,40.05,.6701,.7441314,4.0747,4.15818
"Trabzon","Trabzon",7,39.2,40.55,6.0405,6.707843,6.0705,6.178346
"Trabzon","Trabzon",6,40.65,41.95,.67736,.7521935,4.0832,4.166835
"Trabzon","Trabzon",7.5,40,40.65,10.822,12.01759,6.6854,6.799731
"Trabzon","Trabzon",6.5,41.1,41.35,1.5163,1.683818,4.7562,4.848825
"Trabzon","Trabzon",7,39.9,40.65,7.2507,8.051744,6.2592,6.369087
"Trabzon","Trabzon",7.5,40.2,41.75,6.9364,7.70272,6.2131,6.322475
"Trabzon","Trabzon",7,40.55,41.95,3.0242,3.358308,5.3874,5.487656
"Trabzon","Trabzon",7.5,39.4,41.5,10.783,11.97429,6.6815,6.795774
"Trabzon","Trabzon",8,40.95,40.85,9.5926,10.65237,6.5553,6.668278
"Trabzon","Trabzon",7.5,38.1,41.05,5.713,6.344162,6.0136,6.120824
"Trabzon","Trabzon",8,39.55,41.3,23.441,26.03072,7.5559,7.678741
"Trabzon","Trabzon",6.5,39.75,41.1,11.267,12.51176,6.7293,6.844001
"Trabzon","Trabzon",6,40.05,40.25,1.0239,1.137019,4.4197,4.507945
"Trabzon","Trabzon",7,39.7,40.45,5.7499,6.385138,6.0201,6.127451
"Trabzon","Trabzon",6,41.35,41,.61438,.6822556,4.0063,4.088899
"Trabzon","Trabzon",8,40.15,40.65,14.491,16.09194,7.0068,7.124341
"Trabzon","Trabzon",6.5,41.25,40.75,1.3963,1.550561,4.6842,4.775898
"Trabzon","Trabzon",7.5,39.35,40.25,7.4782,8.304378,6.2915,6.401705
"Trabzon","Trabzon",7.5,40,41.95,6.2894,6.984241,6.1119,6.220219
"Trabzon","Trabzon",6.5,38.4,40.45,1.7229,1.913243,4.8692,4.963229
"Trabzon","Trabzon",6.5,40.8,40.15,1.4198,1.576657,4.6988,4.790603
"Trabzon","Trabzon",8,38.3,40.95,10.219,11.34798,6.6234,6.737042
"Trabzon","Trabzon",7,40.7,40.9,4.0278,4.472784,5.6642,5.76762
"Trabzon","Trabzon",6.5,40.75,40.15,1.4515,1.611859,4.718,4.810103
"Trabzon","Trabzon",8,41.05,41.5,8.7414,9.707133,6.4561,6.568032
"Trabzon","Trabzon",7.5,39.85,40.55,10.439,11.59228,6.6463,6.760292
"Trabzon","Trabzon",8,38.4,41.3,10.499,11.65891,6.6526,6.766556
"Trabzon","Trabzon",7,39.75,41.85,4.1219,4.57728,5.6869,5.790559
"Trabzon","Trabzon",8,38.25,41.05,9.9761,11.07824,6.5974,6.710841
"Trabzon","Trabzon",7,39,39.8,2.7853,3.093015,5.3096,5.408866
"Trabzon","Trabzon",7,39.4,40.3,4.658,5.172607,5.808,5.912949
"Trabzon","Trabzon",7.5,40.4,41,8.976,9.967651,6.4843,6.596511
"Trabzon","Trabzon",7.5,38.9,41.65,7.3591,8.172119,6.2747,6.384742
"Trabzon","Trabzon",7,38.4,41.8,3.047,3.383627,5.3946,5.494883
"Trabzon","Trabzon",7.5,38.55,41.55,6.5609,7.285736,6.1555,6.26423
"Trabzon","Trabzon",7,39.15,40.9,9.2371,10.2576,6.5149,6.627427
"Trabzon","Trabzon",6.5,38.85,41.35,2.8831,3.201619,5.3421,5.441822
"Trabzon","Trabzon",8,38.75,40.35,10.569,11.73664,6.6598,6.773823
"Trabzon","Trabzon",6,39.6,40.9,8.1394,9.038626,6.3805,6.491673
"Trabzon","Trabzon",6.5,39.9,40.65,4.0965,4.549074,5.6808,5.784414
"Trabzon","Trabzon",6.5,39.9,41,7.2852,8.090055,6.2642,6.374092
"Trabzon","Trabzon",7,39.35,41,16.847,18.70823,7.1761,7.295362
"Trabzon","Trabzon",8,39.7,40.4,13.629,15.13471,6.9385,7.055405
"Trabzon","Trabzon",6,40.8,41.4,.85679,.9514465,4.2724,4.358629
"Trabzon","Trabzon",7.5,40.25,40.4,7.3493,8.161237,6.2733,6.383335
"Trabzon","Trabzon",7.5,38.5,41.5,6.5337,7.255531,6.1512,6.259895
"Trabzon","Trabzon",6,40.55,41.3,1.1187,1.242292,4.4942,4.583395
"Trabzon","Trabzon",6,40.25,41.4,1.4227,1.579877,4.7005,4.792403
"Trabzon","Trabzon",7.5,39.3,40.95,20.349,22.59712,7.3918,7.513151
"Trabzon","Trabzon",6,39.35,40.1,.92162,1.023439,4.3323,4.419347
"Trabzon","Trabzon",6,39.7,41.95,.9247,1.026859,4.335,4.422138
"Trabzon","Trabzon",7,39.6,40.7,9.6904,10.76098,6.5662,6.679276
"Trabzon","Trabzon",8,39.45,41.85,11.262,12.5062,6.7288,6.843513
"Trabzon","Trabzon",8,41.35,41.1,8.1421,9.041624,6.3809,6.492027
"Trabzon","Trabzon",6,39.95,40.45,1.4139,1.570105,4.6952,4.786932
"Trabzon","Trabzon",7,39.85,40.4,5.1431,5.7113,5.9072,6.013272
"Trabzon","Trabzon",8,40,41.2,19.481,21.63322,7.3417,7.462546
"Trabzon","Trabzon",8,38.75,42,9.0217,10.0184,6.4897,6.60198
"Trabzon","Trabzon",6,39.6,41,18.639,20.6982,7.2911,7.411461
"Trabzon","Trabzon",7,40.65,41.4,3.8876,4.317095,5.6296,5.732539
"Trabzon","Trabzon",8,40.55,40.9,12.106,13.44345,6.8078,6.923331
"Trabzon","Trabzon",7,40.6,40.05,2.8844,3.203063,5.3426,5.442253
"Trabzon","Trabzon",7,38.8,40.5,4.3903,4.875332,5.7492,5.853506
"Trabzon","Trabzon",7.5,41.25,40.6,4.9243,5.468328,5.8635,5.969121
"Trabzon","Trabzon",6.5,38.85,40.3,2.0126,2.234948,5.009,5.10475
"Trabzon","Trabzon",7.5,40.85,40.5,5.7521,6.387581,6.0205,6.127845
"Trabzon","Trabzon",7.5,39.85,40.6,11.214,12.4529,6.7241,6.838812
"Trabzon","Trabzon",6.5,39.9,41.65,2.7054,3.004287,5.2822,5.38117
"Trabzon","Trabzon",6,38.95,41.3,1.6936,1.880706,4.854,4.947767
"Trabzon","Trabzon",7.5,40.25,40.65,8.8876,9.869485,6.4737,6.585859
"Trabzon","Trabzon",8,39.6,40.05,10.15,11.27135,6.6161,6.729657
"Trabzon","Trabzon",8,40.05,40.75,17.01,18.88923,7.187,7.306374
