location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Tunceli","Tuncelİ",7,40,39.95,2.94,3.264806,5.3606,5.46054
"Tunceli","Tuncelİ",6,38,40.15,.63971,.710384,4.038,4.121042
"Tunceli","Tuncelİ",6,40,39.35,.97611,1.083949,4.3799,4.46756
"Tunceli","Tuncelİ",7.5,38.25,39.35,9.4173,10.45771,6.5355,6.648308
"Tunceli","Tuncelİ",6,40.45,39.6,.63467,.7047871,4.0318,4.114736
"Tunceli","Tuncelİ",6,39.1,38.6,1.9267,2.139558,4.9696,5.064774
"Tunceli","Tuncelİ",7,40.05,39.35,3.7712,4.187835,5.5999,5.702544
"Tunceli","Tuncelİ",8,38.45,39.8,11.39,12.64835,6.7411,6.855959
"Tunceli","Tuncelİ",6,38.7,39.55,1.8016,2.000637,4.9091,5.00364
"Tunceli","Tuncelİ",7.5,39.4,38.75,10.863,12.06312,6.6895,6.803878
"Tunceli","Tuncelİ",7,40.1,40.05,2.6918,2.989185,5.2775,5.376383
"Tunceli","Tuncelİ",6,40.3,39.85,.62144,.6900955,4.0153,4.097972
"Tunceli","Tuncelİ",7.5,39.8,38.3,6.0616,6.731274,6.0741,6.181955
"Tunceli","Tuncelİ",6,39.6,39.15,1.7081,1.896808,4.8616,4.955448
"Tunceli","Tuncelİ",8,40.5,39.05,8.637,9.591199,6.4433,6.555137
"Tunceli","Tuncelİ",7.5,38.3,39.8,6.8837,7.644198,6.2052,6.314475
"Tunceli","Tuncelİ",7.5,38.35,38.45,7.7563,8.613201,6.3297,6.440385
"Tunceli","Tuncelİ",6,39.4,39.55,1.4741,1.636956,4.7315,4.823778
"Tunceli","Tuncelİ",6.5,38.15,39.3,2.8677,3.184518,5.3371,5.436699
"Tunceli","Tuncelİ",7,39.5,39,7.0698,7.850858,6.2329,6.342486
"Tunceli","Tuncelİ",6,37.45,39.45,.69888,.7760909,4.108,4.192026
