location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Tuzla","Tuzla",7,29.25,41.15,9.5845,10.64338,6.5544,6.667362
"Tuzla","Tuzla",6,28,41.05,.84872,.942485,4.2646,4.350792
"Tuzla","Tuzla",6.5,28.45,42,1.3561,1.505919,4.6589,4.750231
"Tuzla","Tuzla",8,30.2,41.4,10.79,11.98206,6.6822,6.796485
"Tuzla","Tuzla",6,28.8,41.8,.81561,.9057171,4.2322,4.317944
"Tuzla","Tuzla",8,29.15,39.9,10.432,11.58451,6.6457,6.759559
"Tuzla","Tuzla",6,30.25,40.6,1.1751,1.304923,4.5359,4.625664
"Tuzla","Tuzla",7,28.75,40.9,7.6186,8.460288,6.311,6.421391
"Tuzla","Tuzla",8,29.3,40.65,31.434,34.90677,7.9028,8.028946
"Tuzla","Tuzla",8,27.9,41.6,8.2962,9.212749,6.4007,6.51204
"Tuzla","Tuzla",6,30.2,40.5,1.1719,1.301369,4.5336,4.623313
"Tuzla","Tuzla",6.5,28.35,40.55,2.3645,2.625726,5.1567,5.254174
"Tuzla","Tuzla",7,30.65,41.65,2.7646,3.070028,5.3026,5.401759
"Tuzla","Tuzla",6,30.4,41.5,.79557,.8834631,4.2121,4.297493
"Tuzla","Tuzla",8,28.8,41.05,17.349,19.26568,7.2095,7.328974
"Tuzla","Tuzla",6,28.15,40.1,.74066,.8224867,4.1544,4.239064
"Tuzla","Tuzla",6.5,29.9,40.8,4.0309,4.476226,5.665,5.768384
"Tuzla","Tuzla",6,29.35,41.25,2.2263,2.472257,5.1012,5.198006
"Tuzla","Tuzla",6.5,30.65,41.3,1.6184,1.797198,4.8137,4.906973
"Tuzla","Tuzla",7,30.85,40.75,3.0425,3.37863,5.3932,5.493461
"Tuzla","Tuzla",8,30.9,41.25,8.4221,9.352557,6.4166,6.528144
"Tuzla","Tuzla",7.5,29.95,40.3,8.0297,8.916806,6.3662,6.477213
"Tuzla","Tuzla",7,29.25,39.95,3.963,4.400825,5.6483,5.751544
"Tuzla","Tuzla",6.5,29.1,41.2,4.5399,5.04146,5.7824,5.887112
"Tuzla","Tuzla",6.5,28.5,40.7,2.953,3.279242,5.3648,5.464771
"Tuzla","Tuzla",7,27.8,40.5,3.0227,3.356642,5.387,5.487179
"Tuzla","Tuzla",6.5,30.85,41,1.5333,1.702696,4.7661,4.858742
"Tuzla","Tuzla",7,30.2,40.6,4.7432,5.26722,5.826,5.931227
"Tuzla","Tuzla",6,28.8,41.2,1.7387,1.930788,4.8774,4.971471
"Tuzla","Tuzla",8,29.25,40.55,23.461,26.05293,7.5569,7.679747
"Tuzla","Tuzla",6,28.75,41.15,1.7555,1.949444,4.886,4.980162
"Tuzla","Tuzla",7.5,28.85,41.4,8.5417,9.485371,6.4315,6.543242
"Tuzla","Tuzla",7.5,29.3,40.15,8.449,9.382429,6.42,6.531557
"Tuzla","Tuzla",6,28.25,41.7,.71204,.7907048,4.1229,4.2071
"Tuzla","Tuzla",6,28.15,41.1,.95064,1.055665,4.3579,4.445325
"Tuzla","Tuzla",8,27.9,41.5,8.5466,9.490812,6.4321,6.543857
"Tuzla","Tuzla",6,29.45,41.85,.82804,.9195203,4.2445,4.33041
"Tuzla","Tuzla",6,30.4,41.45,.82203,.9128463,4.2386,4.324403
"Tuzla","Tuzla",6.5,29.9,41.45,2.3701,2.631944,5.1589,5.256388
"Tuzla","Tuzla",7.5,28.65,40.35,8.3515,9.274158,6.4077,6.519141
"Tuzla","Tuzla",8,29.35,40.8,59.018,65.5382,8.6785,8.811572
"Tuzla","Tuzla",6.5,29.4,41,9.4559,10.50057,6.5399,6.652734
