location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Umraniye","ÜMranİYe",7,28.95,40.2,4.1543,4.613259,5.6946,5.798349
"Umraniye","ÜMranİYe",8,30.05,42,8.8101,9.783423,6.4644,6.576443
"Umraniye","ÜMranİYe",8,28.55,41,17.357,19.27457,7.21,7.329503
"Umraniye","ÜMranİYe",7,29.45,40.95,12.046,13.37682,6.8023,6.917825
"Umraniye","ÜMranİYe",7.5,28.35,42,5.59,6.207572,5.9915,6.098453
"Umraniye","ÜMranİYe",7,28.9,40.55,6.5361,7.258196,6.1515,6.260278
"Umraniye","ÜMranİYe",7,28.3,40.3,3.6605,4.064905,5.5709,5.673241
"Umraniye","ÜMranİYe",7.5,30.15,41.95,5.3619,5.954273,5.9492,6.055772
"Umraniye","ÜMranİYe",6,30.25,40.55,.8869,.984883,4.3007,4.387311
"Umraniye","ÜMranİYe",6.5,30,40.35,1.9368,2.150774,4.9743,5.069555
"Umraniye","ÜMranİYe",7.5,28.9,41.4,12.333,13.69553,6.8281,6.943938
"Umraniye","ÜMranİYe",6,29.75,40.95,1.9829,2.201967,4.9956,5.091102
"Umraniye","ÜMranİYe",6.5,29.2,40.3,2.5274,2.806622,5.2185,5.316757
"Umraniye","ÜMranİYe",6.5,28.45,40.05,1.6514,1.833844,4.8316,4.925076
"Umraniye","ÜMranİYe",6,30.1,41.85,.76724,.8520032,4.1828,4.267802
"Umraniye","ÜMranİYe",8,30.1,41,12.309,13.66887,6.826,6.941776
"Umraniye","ÜMranİYe",7,28,41.1,4.0472,4.494327,5.6689,5.772388
"Umraniye","ÜMranİYe",7.5,30.3,40.15,5.2217,5.798584,5.9225,6.028723
"Umraniye","ÜMranİYe",8,29.55,41.95,10.086,11.20028,6.6092,6.722766
"Umraniye","ÜMranİYe",8,30.05,40.15,9.2397,10.26048,6.5152,6.627731
"Umraniye","ÜMranİYe",7.5,29.5,41.15,15.655,17.38453,7.0934,7.211754
"Umraniye","ÜMranİYe",6,30.75,41.2,.67651,.7512496,4.0822,4.165826
"Umraniye","ÜMranİYe",6.5,28.6,41.6,2.5971,2.884023,5.2439,5.342445
"Umraniye","ÜMranİYe",8,28.2,40.35,10.133,11.25247,6.6143,6.72783
"Umraniye","ÜMranİYe",7,27.75,40.85,3.3476,3.717437,5.4846,5.585917
"Umraniye","ÜMranİYe",7.5,28.35,40.8,8.9273,9.913571,6.4785,6.590655
"Umraniye","ÜMranİYe",8,30.2,40.1,8.659,9.61563,6.446,6.557866
"Umraniye","ÜMranİYe",6,29.45,40.5,1.5957,1.77199,4.8012,4.894331
"Umraniye","ÜMranİYe",6.5,29.7,41.3,3.5825,3.978288,5.55,5.652114
"Umraniye","ÜMranİYe",6.5,29.65,41.1,4.5894,5.096428,5.7932,5.898014
"Umraniye","ÜMranİYe",6,28.8,41.9,.94756,1.052245,4.3552,4.442601
"Umraniye","ÜMranİYe",6,30.45,40.7,.81242,.9021747,4.2291,4.314718
"Umraniye","ÜMranİYe",6,27.5,40.65,.64344,.7145261,4.0426,4.125682
"Umraniye","ÜMranİYe",8,28.3,42,8.9968,9.990749,6.4867,6.599003
"Umraniye","ÜMranİYe",6.5,29.25,40.7,5.4898,6.096303,5.9731,6.0799
"Umraniye","ÜMranİYe",6.5,29.65,41.05,4.6675,5.183156,5.81,5.915002
"Umraniye","ÜMranİYe",7.5,30.2,40.65,6.8052,7.557025,6.1933,6.302454
"Umraniye","ÜMranİYe",6,28.6,40.45,1.2809,1.422411,4.6097,4.700365
"Umraniye","ÜMranİYe",6.5,29.1,40.75,6.7008,7.441092,6.1773,6.286273
"Umraniye","ÜMranİYe",6.5,29.6,39.8,1.4256,1.583098,4.7023,4.794199
"Umraniye","ÜMranİYe",7.5,27.65,40.8,5.5887,6.206129,5.9912,6.098214
"Umraniye","ÜMranİYe",7.5,29.9,41.9,5.9637,6.622558,6.0574,6.165113
"Umraniye","ÜMranİYe",7.5,28.35,41.95,5.7605,6.396909,6.022,6.129347
"Umraniye","ÜMranİYe",6,29.1,41.75,1.2198,1.354561,4.5677,4.657917
"Umraniye","ÜMranİYe",8,29.15,41.4,19.136,21.25011,7.3213,7.441862
"Umraniye","ÜMranİYe",6,30.15,42,.67122,.7453751,4.076,4.159521
"Umraniye","ÜMranİYe",8,30.5,40.25,8.3569,9.280154,6.4084,6.519832
"Umraniye","ÜMranİYe",7.5,29.8,40.4,7.3892,8.205544,6.279,6.389052
"Umraniye","ÜMranİYe",7.5,29.05,40.2,7.235,8.034309,6.2569,6.366802
"Umraniye","ÜMranİYe",7.5,28.1,41.3,7.2207,8.018429,6.2549,6.364717
"Umraniye","ÜMranİYe",6.5,30.2,41.6,1.8382,2.041281,4.9272,5.021904
"Umraniye","ÜMranİYe",7.5,29.1,41.6,9.5355,10.58896,6.5489,6.661809
"Umraniye","ÜMranİYe",7,28,41.15,4.0229,4.467342,5.663,5.766412
"Umraniye","ÜMranİYe",6.5,28.45,41.55,2.4798,2.753764,5.2008,5.298849
"Umraniye","ÜMranİYe",8,28.65,40.4,12.437,13.81102,6.8374,6.953265
"Umraniye","ÜMranİYe",8,27.6,41.05,9.0227,10.01951,6.4898,6.602099
"Umraniye","ÜMranİYe",6.5,28.2,41.75,1.8011,2.000082,4.9089,5.003388
"Umraniye","ÜMranİYe",6,28.85,39.75,.64345,.7145371,4.0426,4.125694
"Umraniye","ÜMranİYe",7,27.65,41.55,2.9152,3.237266,5.3526,5.452421
"Umraniye","ÜMranİYe",8,29,39.95,9.4739,10.52056,6.5419,6.654792
"Umraniye","ÜMranİYe",7.5,29.05,41.7,8.3916,9.318688,6.4128,6.524263
"Umraniye","ÜMranİYe",6.5,27.7,40.7,1.6086,1.786315,4.8083,4.901535
"Umraniye","ÜMranİYe",6,28.5,41.75,1.0017,1.112366,4.4014,4.489395
"Umraniye","ÜMranİYe",6,30.05,40.5,1.0023,1.113032,4.4019,4.489901
"Umraniye","ÜMranİYe",7.5,29.7,40.5,8.4519,9.38565,6.4203,6.531924
"Umraniye","ÜMranİYe",7.5,29.2,40.25,7.6062,8.446519,6.3093,6.419666
"Umraniye","ÜMranİYe",8,27.8,40.95,9.9033,10.9974,6.5895,6.702877
"Umraniye","ÜMranİYe",8,29.7,42,9.5197,10.57142,6.5471,6.660014
"Umraniye","ÜMranİYe",8,28.65,40.35,11.952,13.27243,6.7937,6.90915
"Umraniye","ÜMranİYe",7,29.55,40.85,8.7992,9.771319,6.4631,6.575112
"Umraniye","ÜMranİYe",7,29.6,40.6,6.0236,6.689076,6.0676,6.175447
"Umraniye","ÜMranİYe",6.5,29.4,41.7,2.5782,2.863035,5.2371,5.33554
"Umraniye","ÜMranİYe",8,29.8,41.3,14.469,16.06751,7.0051,7.122628
"Umraniye","ÜMranİYe",7,27.95,41.45,3.5635,3.957189,5.5449,5.646906
"Umraniye","ÜMranİYe",7.5,29.55,40.3,7.4909,8.31848,6.2933,6.403499
"Umraniye","ÜMranİYe",6,30.35,40.65,.8621,.9573432,4.2774,4.36375
"Umraniye","ÜMranİYe",7,30.25,40.25,3.1117,3.455475,5.4146,5.515132
"Umraniye","ÜMranİYe",6,29.5,39.75,.63638,.7066861,4.0339,4.11688
"Umraniye","ÜMranİYe",6.5,28.8,41.45,3.6897,4.097331,5.5786,5.681046
"Umraniye","ÜMranİYe",7.5,28.05,41.3,6.9844,7.756023,6.2202,6.329715
"Umraniye","ÜMranİYe",6.5,28.3,40.05,1.5675,1.740674,4.7855,4.878402
"Umraniye","ÜMranİYe",6,29.9,41.35,1.352,1.501366,4.6563,4.747576
"Umraniye","ÜMranİYe",7,30.35,40.3,3.0503,3.387291,5.3956,5.495925
"Umraniye","ÜMranİYe",7.5,30.65,41.65,5.0335,5.589592,5.8855,5.991371
"Umraniye","ÜMranİYe",8,29.55,40.7,17.058,18.94254,7.1903,7.309598
"Umraniye","ÜMranİYe",7.5,28.4,41.8,6.4446,7.156587,6.137,6.245582
"Umraniye","ÜMranİYe",8,30.05,40.45,10.691,11.87212,6.6722,6.786386
"Umraniye","ÜMranİYe",7,29.2,39.95,3.3064,3.671685,5.4727,5.573882
"Umraniye","ÜMranİYe",6.5,28,41.6,1.7683,1.963658,4.8925,4.986735
"Umraniye","ÜMranİYe",8,27.95,41.8,8.8952,9.877925,6.4746,6.586779
"Umraniye","ÜMranİYe",6,29,40.1,.93317,1.036265,4.3426,4.429771
"Umraniye","ÜMranİYe",6.5,28.2,41.45,2.2202,2.465483,5.0987,5.195457
"Umraniye","ÜMranİYe",6.5,30.45,41.35,1.7389,1.93101,4.8775,4.971575
"Umraniye","ÜMranİYe",8,27.8,41.45,9.3916,10.42917,6.5326,6.645352
"Umraniye","ÜMranİYe",6,30.65,40.55,.67048,.7445534,4.0751,4.158635
"Umraniye","ÜMranİYe",6.5,28.65,40.85,4.5584,5.062004,5.7864,5.891199
"Umraniye","ÜMranİYe",6,28.7,39.75,.63031,.6999454,4.0264,4.109245
"Umraniye","ÜMranİYe",7.5,29.15,41.05,53.536,59.45056,8.5557,8.687716
"Umraniye","ÜMranİYe",7,28.75,41.3,7.9958,8.879161,6.3617,6.472709
"Umraniye","ÜMranİYe",6.5,28.25,40.6,2.3135,2.569091,5.1366,5.233794
"Umraniye","ÜMranİYe",7,30.4,41.15,3.6358,4.037476,5.5644,5.666595
"Umraniye","ÜMranİYe",6.5,27.4,40.9,1.3803,1.532793,4.6742,4.765761
"Umraniye","ÜMranİYe",6,29.6,40.85,2.4307,2.699239,5.1823,5.280055
"Umraniye","ÜMranİYe",6.5,30.6,41.25,1.6078,1.785427,4.8079,4.90109
"Umraniye","ÜMranİYe",7,28.1,41.8,3.2359,3.593396,5.452,5.552974
"Umraniye","ÜMranİYe",6,28.55,39.85,.66499,.7384568,4.0686,4.152039
"Umraniye","ÜMranİYe",6.5,30.65,40.7,1.5219,1.690037,4.7595,4.852103
"Umraniye","ÜMranİYe",6,29.45,41.2,3.2741,3.635816,5.4633,5.564353
"Umraniye","ÜMranİYe",6.5,28.25,40.55,2.2334,2.480142,5.1041,5.200966
"Umraniye","ÜMranİYe",6,29.85,41.15,1.6505,1.832844,4.8311,4.924587
"Umraniye","ÜMranİYe",6,29.15,40.3,1.2363,1.372884,4.5793,4.669561
"Umraniye","ÜMranİYe",7.5,30.05,41.95,5.5303,6.141277,5.9806,6.087435
"Umraniye","ÜMranİYe",7,28.35,40.3,3.7471,4.161073,5.5937,5.69623
"Umraniye","ÜMranİYe",8,29.65,41.1,18.507,20.55162,7.283,7.403263
"Umraniye","ÜMranİYe",7.5,30,41.65,6.7053,7.446089,6.178,6.286974
"Umraniye","ÜMranİYe",6.5,29.15,39.75,1.4267,1.584319,4.703,4.79488
"Umraniye","ÜMranİYe",8,29.2,41.65,13.594,15.09584,6.9357,7.052523
"Umraniye","ÜMranİYe",8,28.65,41.85,10.657,11.83436,6.6687,6.782897
"Umraniye","ÜMranİYe",6.5,29.6,40.85,4.6585,5.173162,5.8081,5.913057
"Umraniye","ÜMranİYe",7.5,30.7,41.65,4.9347,5.479877,5.8656,5.971259
"Umraniye","ÜMranİYe",7.5,29.05,40.4,9.0015,9.995969,6.4873,6.599566
"Umraniye","ÜMranİYe",7.5,27.5,41.3,5.1685,5.739506,5.9121,6.018289
"Umraniye","ÜMranİYe",7,27.45,41.3,2.7854,3.093126,5.3096,5.408901
"Umraniye","ÜMranİYe",6.5,27.75,41.65,1.4956,1.660831,4.7442,4.836617
"Umraniye","ÜMranİYe",7,30.2,40.3,3.2715,3.632929,5.4625,5.563582
"Umraniye","ÜMranİYe",8,29.15,41.85,11.302,12.55062,6.7326,6.847416
"Umraniye","ÜMranİYe",8,29.15,40.8,27.243,30.25275,7.7325,7.857015
"Umraniye","ÜMranİYe",6,29.5,40.6,1.8412,2.044612,4.9287,5.023387
"Umraniye","ÜMranİYe",6,29.05,40.65,2.554,2.836161,5.2283,5.326633
"Umraniye","ÜMranİYe",6.5,29.75,40.6,2.905,3.225939,5.3493,5.449064
"Umraniye","ÜMranİYe",7.5,28.7,41.25,12.804,14.21856,6.8695,6.985624
"Umraniye","ÜMranİYe",8,28.8,40,9.6205,10.68335,6.5584,6.671426
"Umraniye","ÜMranİYe",6,30.4,40.9,.89042,.9887919,4.3039,4.390608
"Umraniye","ÜMranİYe",7.5,29.3,39.85,5.4504,6.05255,5.9658,6.072521
"Umraniye","ÜMranİYe",6.5,28.5,39.85,1.4328,1.591093,4.7067,4.798646
"Umraniye","ÜMranİYe",6,27.9,40.85,.91145,1.012145,4.3231,4.410074
"Umraniye","ÜMranİYe",6,28.8,40.7,2.3385,2.596853,5.1465,5.243834
"Umraniye","ÜMranİYe",7.5,29.75,41,11.29,12.5373,6.7315,6.846246
"Umraniye","ÜMranİYe",7,27.65,40.65,3.0309,3.365748,5.3896,5.489785
