location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Usak","UŞAk",7.5,28.95,38.9,8.7738,9.743113,6.46,6.572006
"Usak","UŞAk",7.5,29.6,38.9,21.4,23.76423,7.45,7.57186
"Usak","UŞAk",6,30.05,38.1,1.3266,1.47316,4.6399,4.730966
"Usak","UŞAk",6.5,29.2,37.55,1.438,1.596868,4.7098,4.801846
"Usak","UŞAk",8,29.65,37.45,8.3845,9.310803,6.4119,6.523357
"Usak","UŞAk",8,31.05,39.4,8.7482,9.714684,6.4569,6.568867
"Usak","UŞAk",7,29.9,39.5,4.434,4.92386,5.759,5.863427
"Usak","UŞAk",7,31,38.55,3.5396,3.930648,5.5384,5.64032
"Usak","UŞAk",8,30.25,39.35,12.348,13.71218,6.8295,6.945288
"Usak","UŞAk",7.5,28.95,38.35,7.9178,8.792543,6.3514,6.462278
"Usak","UŞAk",6.5,28.4,39.05,1.6569,1.839951,4.8345,4.928062
"Usak","UŞAk",7,28.9,38.8,5.0794,5.640563,5.8947,6.000595
"Usak","UŞAk",7.5,28.55,39.6,5.1339,5.701084,5.9054,6.01145
"Usak","UŞAk",7.5,31.2,38.8,5.6208,6.241776,5.997,6.104096
"Usak","UŞAk",6.5,30,38.55,6.7665,7.51405,6.1874,6.296482
"Usak","UŞAk",7.5,30,38.55,17.287,19.19683,7.2053,7.324871
"Usak","UŞAk",7,30,38.65,13.836,15.36458,6.9553,7.072312
"Usak","UŞAk",6.5,28.7,38.55,2.1699,2.409626,5.0777,5.174191
"Usak","UŞAk",6.5,31.15,39.05,1.6005,1.77732,4.8038,4.897017
"Usak","UŞAk",6,30.25,38.95,2.1168,2.35066,5.055,5.151263
"Usak","UŞAk",8,30,39.65,10.414,11.56452,6.6437,6.757672
"Usak","UŞAk",8,29.95,38.2,14.789,16.42286,7.0295,7.14731
"Usak","UŞAk",7,29.35,39.5,4.1841,4.646351,5.7017,5.805466
"Usak","UŞAk",6.5,30.4,38.6,3.4843,3.869239,5.5231,5.624926
"Usak","UŞAk",7.5,28.65,37.95,5.4942,6.101189,5.9739,6.080721
"Usak","UŞAk",6,30.75,38.65,1.1229,1.246956,4.4973,4.586607
"Usak","UŞAk",7.5,30.8,39.1,6.7704,7.518381,6.188,6.297085
"Usak","UŞAk",7.5,30.15,39.8,5.7141,6.345383,6.0138,6.121022
"Usak","UŞAk",6.5,30.1,38.05,2.475,2.748433,5.199,5.297027
"Usak","UŞAk",6,28.8,38.15,.91119,1.011857,4.3229,4.409836
"Usak","UŞAk",7.5,29.2,39,10.652,11.82881,6.6682,6.782384
"Usak","UŞAk",6,31.35,39.15,.63046,.700112,4.0266,4.109434
"Usak","UŞAk",6.5,30.65,38.1,1.9183,2.13023,4.9656,5.060781
"Usak","UŞAk",7.5,29.4,39.95,5.2162,5.792476,5.9214,6.027648
"Usak","UŞAk",6.5,31.15,38.45,1.6058,1.783206,4.8067,4.899975
"Usak","UŞAk",7.5,28.95,38.3,7.6909,8.540576,6.3209,6.431403
"Usak","UŞAk",8,28.85,39.7,8.8411,9.817848,6.4681,6.580218
"Usak","UŞAk",7,29.6,39.65,3.7859,4.204159,5.6037,5.706377
"Usak","UŞAk",7.5,29.95,37.95,7.397,8.214207,6.2801,6.390166
"Usak","UŞAk",7,29.45,38.4,7.857,8.725026,6.3433,6.454084
"Usak","UŞAk",7,29.4,39.7,3.5125,3.900554,5.5309,5.632803
