location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Uskudar","ÜSkÜDar",7,28.65,40,3.2456,3.604168,5.4549,5.555874
"Uskudar","ÜSkÜDar",6.5,30.55,41.2,1.6143,1.792645,4.8115,4.904702
"Uskudar","ÜSkÜDar",8,29.85,40.25,10.006,11.11144,6.6007,6.714097
"Uskudar","ÜSkÜDar",7.5,28.45,41.85,6.5798,7.306724,6.1584,6.267232
"Uskudar","ÜSkÜDar",8,29.15,39.95,9.3392,10.37098,6.5266,6.639303
"Uskudar","ÜSkÜDar",6.5,29.9,41.65,2.1018,2.334003,5.0485,5.144694
"Uskudar","ÜSkÜDar",7.5,29.5,40.9,13.949,15.49006,6.9643,7.081445
"Uskudar","ÜSkÜDar",7.5,27.65,41.5,5.5174,6.126952,5.9782,6.085041
"Uskudar","ÜSkÜDar",6.5,29.05,39.75,1.3978,1.552226,4.6852,4.776844
"Uskudar","ÜSkÜDar",7.5,30.55,41.15,5.6724,6.299076,6.0063,6.113488
"Uskudar","ÜSkÜDar",7.5,27.35,40.75,4.9395,5.485207,5.8666,5.972244
"Uskudar","ÜSkÜDar",6,28.8,41.6,1.549,1.720131,4.775,4.867815
"Uskudar","ÜSkÜDar",6,29.55,40.7,1.8541,2.058938,4.9349,5.029739
"Uskudar","ÜSkÜDar",7,29.95,41.1,5.0811,5.64245,5.895,6.000935
"Uskudar","ÜSkÜDar",8,28.4,41.1,15.738,17.4767,7.0993,7.21776
"Uskudar","ÜSkÜDar",8,29.3,41.8,11.856,13.16583,6.7849,6.900227
"Uskudar","ÜSkÜDar",6,27.65,41.5,.72457,.8046191,4.1368,4.221229
"Uskudar","ÜSkÜDar",6,29.4,40.5,1.5158,1.683263,4.756,4.848532
"Uskudar","ÜSkÜDar",6,28.35,41.65,1.0845,1.204314,4.468,4.556845
"Uskudar","ÜSkÜDar",8,30.45,40.2,8.1307,9.028964,6.3794,6.490533
"Uskudar","ÜSkÜDar",7.5,28.3,40.6,7.9162,8.790767,6.3512,6.462064
"Uskudar","ÜSkÜDar",6,29.5,40.95,2.8665,3.183186,5.3367,5.436298
"Uskudar","ÜSkÜDar",7,28.05,41.85,3.2064,3.560637,5.4432,5.544105
"Uskudar","ÜSkÜDar",6.5,28.35,41.1,3.3548,3.725432,5.4867,5.588007
"Uskudar","ÜSkÜDar",6.5,29.2,40.6,4.0053,4.447798,5.6587,5.762064
"Uskudar","ÜSkÜDar",6,30.35,40.95,.88525,.9830508,4.2991,4.385761
"Uskudar","ÜSkÜDar",7.5,27.95,40.7,6.6529,7.3879,6.1698,6.278772
"Uskudar","ÜSkÜDar",6,27.7,40.85,.8073,.896489,4.2239,4.309517
"Uskudar","ÜSkÜDar",6,29.3,40.85,3.7822,4.20005,5.6027,5.705413
"Uskudar","ÜSkÜDar",7.5,27.85,41.85,5.3096,5.896194,5.9393,6.045756
"Uskudar","ÜSkÜDar",8,30.05,40.2,9.1781,10.19208,6.508,6.620511
"Uskudar","ÜSkÜDar",6,30.1,40.4,.84328,.936444,4.2594,4.345473
"Uskudar","ÜSkÜDar",7.5,28.05,40.4,6.1645,6.845542,6.0913,6.199397
"Uskudar","ÜSkÜDar",6.5,29.7,40.8,3.4161,3.793504,5.5041,5.605639
"Uskudar","ÜSkÜDar",7.5,28.25,40.6,7.6672,8.514257,6.3176,6.42813
"Uskudar","ÜSkÜDar",7.5,28.55,41.8,7.0641,7.844528,6.232,6.341638
"Uskudar","ÜSkÜDar",8,28.6,41.3,17.46,19.38895,7.2167,7.336287
"Uskudar","ÜSkÜDar",7.5,28,41.65,6.1801,6.862866,6.0939,6.202018
"Uskudar","ÜSkÜDar",6,28.25,40.3,.88396,.9816182,4.298,4.384548
"Uskudar","ÜSkÜDar",7,30.4,41.75,2.9412,3.266138,5.361,5.460931
"Uskudar","ÜSkÜDar",7,30,40.95,4.8032,5.333848,5.8386,5.943923
