location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Van","Van",8,43.85,38.85,9.369,10.40407,6.53,6.642747
"Van","Van",8,41.7,37.1,8.1276,9.025522,6.379,6.490127
"Van","Van",7.5,42.8,39.05,6.5848,7.312276,6.1592,6.268025
"Van","Van",6.5,43.75,37.65,2.0673,2.295691,5.0334,5.129426
"Van","Van",6.5,43.05,37.3,2.1581,2.396523,5.0727,5.169139
"Van","Van",8,43.7,38.2,12.603,13.99536,6.852,6.968008
"Van","Van",7.5,41.3,37.55,4.9771,5.52696,5.8742,5.979934
"Van","Van",8,43.15,38.75,12.899,14.32406,6.8776,6.993864
"Van","Van",6.5,43.95,38.95,1.4897,1.654279,4.7407,4.83311
"Van","Van",6.5,42.4,37.35,2.1781,2.418732,5.0811,5.177688
"Van","Van",6,43,39.25,.74069,.82252,4.1545,4.239097
"Van","Van",7,43.8,37.15,2.8771,3.194957,5.3402,5.439828
"Van","Van",6,43.2,37.15,.8361,.9284707,4.2524,4.338406
"Van","Van",6.5,43.5,39.05,1.6926,1.879595,4.8535,4.947235
"Van","Van",6,41.5,38.05,.82667,.9179989,4.2432,4.329043
"Van","Van",7,43.15,38.3,9.6827,10.75243,6.5653,6.678414
"Van","Van",7.5,42.3,38.35,11.454,12.71942,6.7472,6.862134
"Van","Van",6,42.6,39.25,.73954,.821243,4.1532,4.237834
"Van","Van",7,42.2,37.05,3.0421,3.378186,5.3931,5.493334
"Van","Van",6,42.3,39.05,.84791,.9415855,4.2639,4.350002
"Van","Van",8,41.5,37.8,9.4462,10.4898,6.5388,6.651623
"Van","Van",6.5,44,38.75,1.6141,1.792423,4.8114,4.904591
"Van","Van",8,41.7,38.35,10.7,11.88212,6.6731,6.787307
"Van","Van",8,43.05,37.7,16.728,18.57608,7.1681,7.28726
"Van","Van",8,43.35,39.35,8.3355,9.256391,6.4057,6.517091
"Van","Van",6,43.25,37.4,1.0955,1.216529,4.4765,4.565464
"Van","Van",8,43.4,38,16.296,18.09635,7.1385,7.257405
"Van","Van",7,42.95,37.05,3.2881,3.651363,5.4674,5.568493
"Van","Van",7,42.6,38.35,10.963,12.17417,6.6995,6.813934
"Van","Van",7.5,42.65,39.3,5.4289,6.028675,5.9618,6.068475
"Van","Van",6,42.55,38.15,4.9317,5.476545,5.865,5.970643
"Van","Van",7,41.95,37.2,3.1146,3.458695,5.4155,5.516031
"Van","Van",8,43.7,38.1,12.644,14.04088,6.8556,6.971622
