location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Yalova","Yalova",7,28.6,40.2,4.0735,4.523532,5.6753,5.77882
"Yalova","Yalova",6.5,30.9,41.4,1.4346,1.593092,4.7078,4.799755
"Yalova","Yalova",6,28.25,40.1,.74728,.8298381,4.1616,4.246305
"Yalova","Yalova",7.5,30,41.25,8.5349,9.477819,6.4307,6.542389
"Yalova","Yalova",6,29.6,40.2,1.8621,2.067821,4.9388,5.033659
"Yalova","Yalova",7,29.6,39.85,4.0856,4.536969,5.6782,5.781766
"Yalova","Yalova",6.5,28.25,41.15,1.724,1.914464,4.8698,4.963805
"Yalova","Yalova",6,27.95,40.7,.70925,.7876066,4.1198,4.203925
"Yalova","Yalova",6.5,30.15,40.35,3.0645,3.40306,5.4,5.500398
"Yalova","Yalova",8,28.55,41.4,9.8864,10.97863,6.5877,6.70102
"Yalova","Yalova",7,28.6,40.05,3.7002,4.108991,5.5814,5.683839
"Yalova","Yalova",8,29.35,39.5,8.7881,9.758992,6.4617,6.573756
"Yalova","Yalova",6,28.95,41.8,.70904,.7873734,4.1195,4.203685
"Yalova","Yalova",6,29.05,39.95,1.0655,1.183214,4.4531,4.541777
"Yalova","Yalova",7.5,30.65,40.2,6.2062,6.891849,6.0982,6.20639
"Yalova","Yalova",6,29.7,41.3,1.4586,1.619743,4.7223,4.81442
"Yalova","Yalova",6,30.3,39.6,.66547,.7389899,4.0692,4.152617
"Yalova","Yalova",6,28.75,41.4,.954,1.059396,4.3608,4.448288
"Yalova","Yalova",8,29.7,40.95,22.7,25.20785,7.5184,7.640954
"Yalova","Yalova",7,29.05,39.65,3.2246,3.580848,5.4487,5.549585
"Yalova","Yalova",6.5,29.3,41.9,1.493,1.657944,4.7427,4.835073
"Yalova","Yalova",6.5,29.7,40.55,8.7812,9.75133,6.4609,6.572912
"Yalova","Yalova",6,29.7,40.5,4.1044,4.557847,5.6827,5.786329
"Yalova","Yalova",8,28.8,41.65,9.364,10.39852,6.5295,6.642169
"Yalova","Yalova",8,28.6,41.65,8.9213,9.906908,6.4777,6.589931
"Yalova","Yalova",7.5,29.35,40.2,10.551,11.71665,6.658,6.771958
