location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Zonguldak","Zonguldak",7.5,31.85,41.9,7.4225,8.242524,6.2837,6.393802
"Zonguldak","Zonguldak",6.5,29.9,40.95,1.5867,1.761996,4.7962,4.889275
"Zonguldak","Zonguldak",7.5,32.25,41.2,8.7123,9.674818,6.4525,6.564452
"Zonguldak","Zonguldak",6,31.2,40.7,1.8495,2.053829,4.9327,5.027479
"Zonguldak","Zonguldak",8,30.75,40.15,9.1061,10.11212,6.4996,6.612016
"Zonguldak","Zonguldak",6,29.8,41.4,.68986,.7660744,4.0977,4.181551
"Zonguldak","Zonguldak",8,30.55,40.5,10.451,11.60561,6.6476,6.761547
"Zonguldak","Zonguldak",6.5,31.75,41.6,3.673,4.078786,5.5742,5.676589
"Zonguldak","Zonguldak",6,29.65,41.45,.62042,.6889628,4.014,4.096666
"Zonguldak","Zonguldak",7.5,30.1,41.4,6.2505,6.941043,6.1055,6.213774
"Zonguldak","Zonguldak",6,31.35,41.35,5.9767,6.636994,6.0596,6.167364
"Zonguldak","Zonguldak",7,30.5,40.8,4.4519,4.943738,5.763,5.867466
"Zonguldak","Zonguldak",6,30.65,41.45,1.4795,1.642952,4.7347,4.827018
"Zonguldak","Zonguldak",7.5,31.9,42,6.724,7.466855,6.1808,6.289888
"Zonguldak","Zonguldak",7,29.8,41.55,2.8872,3.206172,5.3435,5.443181
"Zonguldak","Zonguldak",7,31.25,41.1,20.385,22.6371,7.3939,7.515207
"Zonguldak","Zonguldak",7.5,30.35,41.75,6.3986,7.105505,6.1296,6.238122
"Zonguldak","Zonguldak",7,30.45,40.25,3.0508,3.387847,5.3958,5.496083
"Zonguldak","Zonguldak",7,32.8,41.65,3.0826,3.42316,5.4056,5.506072
"Zonguldak","Zonguldak",7.5,30.7,40.8,8.7785,9.748332,6.4606,6.572581
"Zonguldak","Zonguldak",6.5,30.5,40.95,2.5819,2.867143,5.2384,5.336895
"Zonguldak","Zonguldak",8,30.45,40.95,12.173,13.51785,6.8139,6.929449
"Zonguldak","Zonguldak",8,32.45,41.05,11.461,12.72719,6.7479,6.862808
"Zonguldak","Zonguldak",7.5,30.9,40.85,10.788,11.97984,6.682,6.796281
"Zonguldak","Zonguldak",6.5,31.7,40.8,4.0693,4.518868,5.6743,5.777795
"Zonguldak","Zonguldak",7,31.5,40.05,3.1378,3.484458,5.4226,5.523195
"Zonguldak","Zonguldak",8,30.5,41.75,10.912,12.11754,6.6944,6.808816
"Zonguldak","Zonguldak",8,31,41.35,20.788,23.08462,7.4165,7.538002
"Zonguldak","Zonguldak",6,31.2,41.75,1.5646,1.737454,4.7838,4.87675
"Zonguldak","Zonguldak",6.5,30.1,40.7,1.6751,1.860162,4.8442,4.937881
"Zonguldak","Zonguldak",8,31.35,41.15,60.031,66.66311,8.7,8.833297
"Zonguldak","Zonguldak",6,31.9,41.95,1.0167,1.129023,4.4138,4.501967
"Zonguldak","Zonguldak",6.5,29.9,41.65,1.5014,1.667272,4.7476,4.840053
"Zonguldak","Zonguldak",6.5,32.8,40.85,1.6256,1.805193,4.8176,4.910951
"Zonguldak","Zonguldak",6,31.7,40.1,.76228,.8464953,4.1775,4.262506
"Zonguldak","Zonguldak",8,31.95,40.15,9.2283,10.24782,6.5138,6.626398
"Zonguldak","Zonguldak",7.5,31.5,41.2,37.212,41.32311,8.1065,8.234473
"Zonguldak","Zonguldak",7,32.6,40.2,2.6916,2.988963,5.2774,5.376313
"Zonguldak","Zonguldak",7,32.5,41.8,3.4047,3.780845,5.5009,5.602381
"Zonguldak","Zonguldak",7,32.05,40.6,4.4605,4.953288,5.7649,5.869401
"Zonguldak","Zonguldak",7.5,30.1,40.5,5.4109,6.008686,5.9584,6.065076
"Zonguldak","Zonguldak",7.5,32.4,41.9,5.9953,6.65765,6.0628,6.170576
"Zonguldak","Zonguldak",7.5,31.1,41.55,12.148,13.49009,6.8115,6.92717
"Zonguldak","Zonguldak",7,31,40.4,4.1393,4.596602,5.6911,5.794749
"Zonguldak","Zonguldak",6,33.1,41,.6347,.7048205,4.0318,4.114773
"Zonguldak","Zonguldak",7,31.4,40.4,4.3897,4.874666,5.749,5.853369
"Zonguldak","Zonguldak",8,31.85,41.4,18.155,20.16073,7.2611,7.381138
"Zonguldak","Zonguldak",8,29.75,41,8.5688,9.515465,6.4349,6.546637
"Zonguldak","Zonguldak",8,30.45,41.2,12.62,14.01423,6.8535,6.969507
"Zonguldak","Zonguldak",6,31.1,41.3,4.067,4.516315,5.6737,5.777234
"Zonguldak","Zonguldak",8,31.9,41.7,13.401,14.88152,6.9198,7.036511
"Zonguldak","Zonguldak",6.5,32,41.9,2.1403,2.376756,5.0651,5.161472
"Zonguldak","Zonguldak",7.5,31,41.1,15.816,17.56332,7.1049,7.223378
"Zonguldak","Zonguldak",6,33.1,40.95,.63012,.6997344,4.0262,4.109004
"Zonguldak","Zonguldak",7,31.5,40.75,7.3372,8.147799,6.2716,6.381596
"Zonguldak","Zonguldak",7.5,32.9,40.9,5.456,6.058769,5.9668,6.073573
"Zonguldak","Zonguldak",6,31.75,40.75,1.8103,2.010298,4.9135,5.008011
"Zonguldak","Zonguldak",6,33,41.65,.63867,.7092291,4.0368,4.119744
"Zonguldak","Zonguldak",7,32,41.2,7.0395,7.817211,6.2284,6.337971
"Zonguldak","Zonguldak",6.5,29.85,41.3,1.5637,1.736455,4.7833,4.876236
"Zonguldak","Zonguldak",7.5,30.8,41.55,9.6221,10.68513,6.5586,6.671606
"Zonguldak","Zonguldak",6,30,40.5,.66513,.7386123,4.0688,4.152208
"Zonguldak","Zonguldak",7,29.9,41.3,3.169,3.519105,5.432,5.532754
"Zonguldak","Zonguldak",6,32.75,40.55,.6908,.7671183,4.0988,4.182648
"Zonguldak","Zonguldak",7.5,30,41.85,5.2533,5.833674,5.9286,6.034876
"Zonguldak","Zonguldak",6,30,41.95,.6427,.7137043,4.0417,4.124763
"Zonguldak","Zonguldak",6,31.05,41.6,1.9141,2.125566,4.9636,5.058778
"Zonguldak","Zonguldak",7,30.6,41.35,5.4594,6.062544,5.9675,6.074211
"Zonguldak","Zonguldak",8,32.6,41.6,9.9426,11.04104,6.5938,6.707183
"Zonguldak","Zonguldak",8,32.2,41.8,10.962,12.17306,6.6994,6.813834
"Zonguldak","Zonguldak",7,32.6,41.95,3.0117,3.344427,5.3835,5.483674
"Zonguldak","Zonguldak",8,30.35,41.9,9.5896,10.64904,6.555,6.667939
"Zonguldak","Zonguldak",7.5,30.45,40.45,6.1106,6.785687,6.0823,6.190294
"Zonguldak","Zonguldak",6.5,31.3,41.9,2.5362,2.816395,5.2218,5.320035
"Zonguldak","Zonguldak",6,31.05,41.75,1.462,1.623519,4.7243,4.81648
